"price","change","match_qtty","side","time","total_vol"
8990,-50,200,"bu","14:45:00",15200
9000,-40,100,"sd","13:59:08",15000
9000,-40,200,"bu","13:48:59",14900
9000,-40,800,"bu","13:48:36",14700
8900,-140,100,"sd","13:32:32",13900
8990,-50,1300,"sd","13:24:18",13800
8990,-50,200,"sd","13:20:58",12500
9000,-40,700,"sd","13:19:15",12300
9040,0,100,"sd","13:15:57",11600
9040,0,400,"bu","11:06:19",11500
9000,-40,1300,"bu","10:55:48",11100
9000,-40,700,"bu","10:52:34",9800
8990,-50,700,"bu","10:39:28",9100
8990,-50,8000,"bu","09:48:35",8400
8990,-50,100,"bu","09:28:24",400
8990,-50,100,"bu","09:27:54",300
8990,-50,100,"bu","09:27:02",200
8990,-50,100,"bu","09:26:08",100
