"price","change","match_qtty","side","time","total_vol"
32000,450,203500,"sd","14:45:02",4982800
31900,350,700,"sd","14:29:52",4779300
31900,350,100,"sd","14:29:52",4778600
31900,350,100,"sd","14:29:36",4778500
31900,350,300,"sd","14:29:36",4778400
31900,350,500,"sd","14:29:36",4778100
31900,350,100,"sd","14:29:36",4777600
31900,350,2000,"sd","14:29:36",4777500
31900,350,8000,"sd","14:29:36",4775500
31900,350,1000,"sd","14:29:36",4767500
31900,350,500,"sd","14:29:36",4766500
31900,350,100,"sd","14:29:36",4766000
31900,350,500,"sd","14:29:36",4765900
31900,350,1000,"sd","14:29:36",4765400
31900,350,100,"sd","14:29:36",4764400
31900,350,1800,"sd","14:29:36",4764300
31950,400,700,"bu","14:29:22",4762500
31900,350,100,"sd","14:29:07",4761800
31950,400,100,"bu","14:29:06",4761700
31900,350,100,"sd","14:28:59",4761600
31950,400,3700,"bu","14:28:56",4761500
31950,400,100,"bu","14:28:25",4757800
31900,350,200,"sd","14:28:08",4757700
31900,350,100,"sd","14:28:02",4757500
31900,350,700,"sd","14:27:58",4757400
31900,350,1200,"sd","14:27:58",4756700
31900,350,400,"sd","14:27:58",4755500
31950,400,100,"bu","14:27:39",4755100
31950,400,100,"bu","14:27:39",4755000
31950,400,100,"bu","14:27:29",4754900
31900,350,200,"sd","14:27:14",4754800
31900,350,100,"bu","14:27:08",4754600
31950,400,2000,"bu","14:27:06",4754500
31850,300,1700,"sd","14:27:02",4752500
31900,350,100,"sd","14:27:02",4750800
31900,350,1100,"sd","14:27:02",4750700
31900,350,1200,"sd","14:27:01",4749600
31950,400,400,"bu","14:27:00",4748400
31850,300,9400,"sd","14:26:51",4748000
31900,350,100,"sd","14:26:51",4738600
31900,350,200,"sd","14:26:51",4738500
31900,350,200,"sd","14:26:51",4738300
31900,350,1300,"sd","14:26:51",4738100
31950,400,300,"bu","14:26:44",4736800
31900,350,18600,"bu","14:26:27",4736500
31900,350,100,"bu","14:26:27",4717900
31900,350,1000,"bu","14:26:21",4717800
31850,300,300,"sd","14:26:20",4716800
31900,350,500,"sd","14:26:09",4716500
31900,350,100,"sd","14:26:09",4716000
31900,350,300,"sd","14:26:09",4715900
31900,350,200,"sd","14:26:09",4715600
31900,350,400,"sd","14:26:09",4715400
31900,350,1000,"sd","14:26:09",4715000
31900,350,1000,"sd","14:26:09",4714000
31900,350,1000,"sd","14:26:09",4713000
31900,350,3500,"sd","14:26:09",4712000
31900,350,800,"sd","14:26:09",4708500
31900,350,1800,"sd","14:26:09",4707700
31900,350,200,"sd","14:26:09",4705900
31900,350,1000,"sd","14:26:09",4705700
31900,350,7000,"sd","14:26:09",4704700
31900,350,100,"sd","14:26:09",4697700
31900,350,1000,"sd","14:26:04",4697600
31900,350,1000,"sd","14:26:02",4696600
31900,350,300,"sd","14:26:00",4695600
31900,350,1000,"sd","14:25:58",4695300
31900,350,700,"sd","14:25:57",4694300
31900,350,1000,"sd","14:25:54",4693600
31900,350,1000,"sd","14:25:53",4692600
31900,350,200,"sd","14:25:50",4691600
31900,350,300,"sd","14:25:45",4691400
31900,350,1000,"sd","14:25:45",4691100
31900,350,300,"sd","14:25:39",4690100
31900,350,1000,"sd","14:25:35",4689800
31900,350,300,"sd","14:25:28",4688800
31900,350,1000,"sd","14:25:26",4688500
31900,350,1000,"sd","14:25:21",4687500
31900,350,200,"sd","14:25:19",4686500
31900,350,200,"sd","14:25:16",4686300
31950,400,1600,"bu","14:25:11",4686100
31900,350,300,"sd","14:25:08",4684500
31900,350,300,"sd","14:24:58",4684200
31900,350,500,"sd","14:24:53",4683900
31900,350,300,"bu","14:24:50",4683400
31900,350,1100,"bu","14:24:50",4683100
31900,350,500,"bu","14:24:48",4682000
31900,350,500,"bu","14:24:44",4681500
31900,350,500,"sd","14:24:39",4681000
31900,350,100,"sd","14:24:39",4680500
31900,350,2000,"sd","14:24:39",4680400
31900,350,400,"sd","14:24:39",4678400
31900,350,2000,"sd","14:24:39",4678000
31900,350,500,"sd","14:24:39",4676000
31900,350,2600,"sd","14:24:39",4675500
31900,350,200,"sd","14:24:39",4672900
31900,350,100,"sd","14:24:39",4672700
31900,350,2000,"sd","14:24:37",4672600
31900,350,300,"sd","14:24:37",4670600
31900,350,1100,"sd","14:24:27",4670300
31900,350,200,"sd","14:24:27",4669200
31900,350,200,"sd","14:24:19",4669000
31950,400,100,"bu","14:24:13",4668800
31900,350,1000,"sd","14:24:12",4668700
31900,350,2800,"sd","14:24:08",4667700
31900,350,300,"sd","14:24:06",4664900
31900,350,5200,"sd","14:24:04",4664600
31900,350,1000,"sd","14:24:01",4659400
31900,350,300,"sd","14:23:56",4658400
31900,350,100,"sd","14:23:53",4658100
31900,350,300,"bu","14:23:52",4658000
31900,350,1400,"bu","14:23:52",4657700
31900,350,1200,"bu","14:23:52",4656300
31900,350,500,"bu","14:23:51",4655100
31900,350,1200,"bu","14:23:46",4654600
31900,350,100,"bu","14:23:41",4653400
31850,300,1000,"sd","14:23:39",4653300
31850,300,1000,"sd","14:23:37",4652300
31850,300,200,"sd","14:23:36",4651300
31850,300,500,"sd","14:23:35",4651100
31850,300,1000,"sd","14:23:33",4650600
31900,350,100,"bu","14:23:30",4649600
31850,300,200,"sd","14:23:29",4649500
31850,300,800,"sd","14:23:29",4649300
31850,300,200,"sd","14:23:26",4648500
31900,350,100,"bu","14:23:26",4648300
31900,350,100,"bu","14:23:26",4648200
31900,350,100,"bu","14:23:26",4648100
31900,350,500,"bu","14:23:25",4648000
31900,350,100,"bu","14:23:20",4647500
31900,350,200,"sd","14:23:19",4647400
31900,350,300,"sd","14:23:15",4647200
31900,350,1000,"sd","14:23:10",4646900
31900,350,400,"bu","14:23:05",4645900
31900,350,300,"bu","14:23:05",4645500
31900,350,200,"bu","14:23:05",4645200
31900,350,600,"bu","14:23:05",4645000
31850,300,300,"sd","14:23:05",4644400
31850,300,300,"sd","14:23:00",4644100
31850,300,500,"sd","14:23:00",4643800
31850,300,100,"sd","14:23:00",4643300
31850,300,100,"sd","14:23:00",4643200
31850,300,700,"sd","14:22:55",4643100
31850,300,100,"sd","14:22:55",4642400
31850,300,100,"sd","14:22:55",4642300
31850,300,100,"sd","14:22:55",4642200
31900,350,800,"bu","14:22:49",4642100
31900,350,100,"bu","14:22:48",4641300
31900,350,100,"bu","14:22:47",4641200
31900,350,1800,"sd","14:22:39",4641100
31900,350,26600,"sd","14:22:39",4639300
31900,350,300,"sd","14:22:33",4612700
31900,350,200,"sd","14:22:32",4612400
31900,350,2900,"sd","14:22:29",4612200
