"price","change","match_qtty","side","time","total_vol"
10750,100,200,"bu","14:44:59",3800
10600,-50,100,"sd","14:11:16",3600
10600,-50,100,"sd","14:11:16",3500
10600,-50,300,"sd","14:11:16",3400
10600,-50,100,"sd","14:11:16",3100
10600,-50,1000,"sd","14:11:16",3000
10600,-50,100,"sd","14:11:16",2000
10600,-50,200,"sd","14:11:16",1900
10600,-50,500,"sd","14:11:16",1700
10650,0,100,"sd","14:02:27",1200
10700,50,100,"bu","13:00:15",1100
10700,50,200,"sd","11:16:28",1000
10700,50,100,"bu","10:34:14",800
10700,50,100,"bu","10:27:12",700
10700,50,100,"bu","10:02:38",600
10600,-50,100,"sd","09:17:46",500
10600,-50,300,"sd","09:16:57",400
10600,-50,100,"sd","09:16:32",100
