"price","change","match_qtty","side","time","total_vol"
4300,200,100,"bu","15:00:01",2132500
4300,200,500,"bu","14:59:32",2132400
4300,200,10000,"bu","14:59:22",2131900
4300,200,1400,"bu","14:58:58",2121900
4300,200,900,"bu","14:58:30",2120500
4300,200,5000,"bu","14:56:42",2119600
4300,200,1000,"bu","14:54:42",2114600
4300,200,200,"bu","14:52:59",2113600
4300,200,7000,"bu","14:52:11",2113400
4300,200,2000,"bu","14:51:19",2106400
4300,200,2000,"bu","14:50:09",2104400
4300,200,1000,"bu","14:49:10",2102400
4300,200,100,"bu","14:49:01",2101400
4300,200,300,"bu","14:48:35",2101300
4300,200,1000,"bu","14:47:21",2101000
4300,200,300,"bu","14:46:37",2100000
4300,200,100,"bu","14:45:24",2099700
4300,200,3700,"bu","14:43:38",2099600
4300,200,1100,"bu","14:43:22",2095900
4300,200,4000,"bu","14:43:02",2094800
4200,100,3000,"sd","14:38:36",2090800
4200,100,1400,"sd","14:37:28",2087800
4300,200,2000,"bu","14:36:55",2086400
4300,200,1000,"bu","14:34:18",2084400
4300,200,200,"bu","14:31:07",2083400
4300,200,5000,"bu","14:30:54",2083200
4300,200,5000,"bu","14:30:00",2078200
4300,200,22400,"bu","14:29:06",2073200
4200,100,100,"sd","14:22:32",2050800
4200,100,100,"sd","14:22:28",2050700
4200,100,100,"sd","14:22:26",2050600
4200,100,3000,"sd","14:20:15",2050500
4200,100,500,"sd","14:18:07",2047500
4200,100,200,"sd","14:17:58",2047000
4200,100,400,"sd","14:17:19",2046800
4200,100,9600,"sd","14:16:29",2046400
4200,100,6000,"sd","14:13:58",2036800
4300,200,1000,"bu","14:13:38",2030800
4200,100,2000,"sd","14:13:31",2029800
4300,200,1000,"bu","14:10:12",2027800
4300,200,100,"bu","14:07:13",2026800
4300,200,1000,"bu","14:05:26",2026700
4200,100,1000,"sd","14:03:54",2025700
4200,100,2000,"sd","14:02:27",2024700
4300,200,600,"bu","14:01:58",2022700
4200,100,2000,"sd","13:57:23",2022100
4200,100,1000,"sd","13:57:11",2020100
4200,100,2100,"sd","13:55:45",2019100
4300,200,100,"bu","13:54:59",2017000
4200,100,100,"sd","13:54:50",2016900
4200,100,2500,"sd","13:51:45",2016800
4300,200,2000,"bu","13:46:38",2014300
4300,200,5000,"bu","13:42:23",2012300
4200,100,47400,"sd","13:38:21",2007300
4200,100,1500,"sd","13:38:00",1959900
4200,100,700,"sd","13:36:46",1958400
4200,100,1000,"sd","13:36:35",1957700
4200,100,1000,"sd","13:35:24",1956700
4200,100,2000,"sd","13:34:26",1955700
4200,100,1000,"sd","13:32:54",1953700
4200,100,1000,"sd","13:32:50",1952700
4200,100,15000,"sd","13:32:16",1951700
4200,100,1000,"sd","13:31:43",1936700
4300,200,100,"bu","13:31:27",1935700
4200,100,1000,"sd","13:30:50",1935600
4200,100,100,"sd","13:30:39",1934600
4200,100,1000,"sd","13:30:36",1934500
4200,100,10000,"sd","13:30:06",1933500
4200,100,3000,"sd","13:29:09",1923500
4200,100,50000,"sd","13:28:53",1920500
4200,100,126000,"sd","13:28:08",1870500
4200,100,700,"sd","13:26:29",1744500
4200,100,4000,"sd","13:25:50",1743800
4200,100,100,"sd","13:24:54",1739800
4200,100,100,"sd","13:18:26",1739700
4300,200,2500,"bu","13:17:55",1739600
4300,200,100,"bu","13:17:15",1737100
4300,200,500,"bu","13:16:32",1737000
4300,200,300,"bu","13:16:29",1736500
4300,200,1000,"bu","13:15:13",1736200
4300,200,5000,"bu","13:13:43",1735200
4200,100,2000,"sd","13:12:26",1730200
4200,100,20000,"sd","13:11:05",1728200
4200,100,400,"sd","13:10:32",1708200
4200,100,500,"sd","13:09:51",1707800
4200,100,100,"sd","13:08:52",1707300
4300,200,24900,"bu","13:02:30",1707200
4300,200,2900,"bu","13:01:34",1682300
4300,200,1300,"bu","13:01:30",1679400
4300,200,1400,"bu","13:00:48",1678100
4300,200,100,"bu","13:00:09",1676700
4300,200,3000,"bu","13:00:08",1676600
4300,200,3000,"bu","11:29:24",1673600
4300,200,5600,"bu","11:26:26",1670600
4300,200,1000,"bu","11:23:40",1665000
4300,200,10000,"bu","11:20:35",1664000
4300,200,2000,"bu","11:20:28",1654000
4300,200,100,"bu","11:18:06",1652000
4200,100,3000,"sd","11:17:27",1651900
4200,100,100,"sd","11:16:33",1648900
4200,100,500,"sd","11:16:15",1648800
4300,200,200,"bu","11:11:05",1648300
4300,200,1500,"bu","11:10:43",1648100
4300,200,100,"bu","11:09:16",1646600
4300,200,1000,"bu","11:06:47",1646500
4300,200,100,"bu","11:05:10",1645500
4300,200,100,"bu","10:59:54",1645400
4300,200,2700,"bu","10:55:22",1645300
4300,200,100,"bu","10:53:21",1642600
4200,100,20000,"sd","10:52:31",1642500
4200,100,26300,"sd","10:52:10",1622500
4300,200,800,"bu","10:49:21",1596200
4300,200,100,"bu","10:47:53",1595400
4300,200,100,"bu","10:47:46",1595300
4300,200,100,"bu","10:47:18",1595200
4300,200,1800,"sd","10:46:50",1595100
4300,200,300,"sd","10:46:49",1593300
4300,200,2100,"sd","10:45:33",1593000
4300,200,600,"bu","10:45:19",1590900
4300,200,3000,"bu","10:44:54",1590300
4300,200,5000,"bu","10:44:36",1587300
4300,200,10000,"bu","10:44:07",1582300
4300,200,500,"sd","10:43:30",1572300
4300,200,500,"sd","10:41:06",1571800
4300,200,3000,"bu","10:39:19",1571300
4300,200,300,"bu","10:38:53",1568300
4300,200,10000,"bu","10:38:19",1568000
4300,200,10000,"bu","10:38:07",1558000
4300,200,1000,"bu","10:37:59",1548000
4300,200,3800,"bu","10:37:46",1547000
4300,200,11000,"bu","10:37:15",1543200
4300,200,5000,"bu","10:36:13",1532200
4300,200,1000,"bu","10:35:42",1527200
4300,200,6700,"bu","10:35:15",1526200
4300,200,3300,"bu","10:34:24",1519500
4300,200,2000,"bu","10:33:29",1516200
4300,200,100,"bu","10:32:13",1514200
4300,200,10000,"bu","10:32:07",1514100
4300,200,300,"bu","10:30:47",1504100
4300,200,10200,"sd","10:29:28",1503800
4300,200,2700,"sd","10:28:54",1493600
4300,200,1000,"sd","10:27:23",1490900
4300,200,20000,"sd","10:24:58",1489900
4300,200,1000,"sd","10:24:01",1469900
4300,200,500,"sd","10:23:39",1468900
4300,200,400,"sd","10:23:30",1468400
4300,200,90300,"bu","10:22:41",1468000
4300,200,1000,"bu","10:22:28",1377700
4300,200,100,"bu","10:21:48",1376700
4300,200,8000,"bu","10:21:03",1376600
4300,200,3100,"bu","10:19:19",1368600
4300,200,600,"bu","10:18:24",1365500
4300,200,500,"bu","10:16:34",1364900
4300,200,500,"bu","10:16:15",1364400
4300,200,1700,"bu","10:15:48",1363900
4300,200,5000,"bu","10:15:08",1362200
4300,200,600,"bu","10:15:04",1357200
4300,200,100,"bu","10:14:18",1356600
4300,200,3000,"bu","10:14:02",1356500
4300,200,3900,"bu","10:13:40",1353500
4300,200,200,"bu","10:12:51",1349600
4300,200,1200,"bu","10:12:47",1349400
4300,200,9400,"bu","10:11:38",1348200
4300,200,2000,"sd","10:11:35",1338800
4300,200,500,"sd","10:11:34",1336800
4300,200,2000,"sd","10:11:33",1336300
4300,200,2500,"sd","10:11:30",1334300
4300,200,85000,"sd","10:11:24",1331800
4300,200,10000,"sd","10:11:10",1246800
4300,200,10000,"sd","10:10:31",1236800
4300,200,10000,"sd","10:09:42",1226800
4300,200,700,"sd","10:09:36",1216800
4300,200,7700,"sd","10:09:17",1216100
4300,200,800,"sd","10:09:03",1208400
4300,200,10000,"sd","10:08:08",1207600
4300,200,100,"sd","10:07:14",1197600
4300,200,1000,"sd","10:06:59",1197500
4300,200,600,"sd","10:05:46",1196500
4300,200,200,"sd","10:01:10",1195900
4300,200,1000,"sd","10:00:50",1195700
4300,200,63200,"sd","10:00:27",1194700
4300,200,5800,"sd","09:59:12",1131500
4400,300,100,"bu","09:58:52",1125700
4300,200,100,"sd","09:58:03",1125600
4300,200,100,"sd","09:57:48",1125500
4300,200,2600,"sd","09:56:00",1125400
4300,200,300,"sd","09:52:21",1122800
4300,200,500,"sd","09:51:36",1122500
4300,200,1000,"sd","09:51:21",1122000
4300,200,100,"sd","09:50:27",1121000
4300,200,500,"sd","09:50:10",1120900
4300,200,400,"sd","09:49:12",1120400
4400,300,100,"bu","09:48:41",1120000
4300,200,5000,"sd","09:48:40",1119900
4300,200,1000,"sd","09:47:49",1114900
4300,200,1000,"sd","09:47:35",1113900
4300,200,100,"sd","09:46:51",1112900
4400,300,1000,"bu","09:45:28",1112800
4400,300,12000,"bu","09:43:43",1111800
4300,200,500,"sd","09:43:28",1099800
4300,200,200,"sd","09:43:04",1099300
4300,200,2000,"sd","09:41:27",1099100
4300,200,800,"sd","09:41:23",1097100
4300,200,200,"sd","09:40:48",1096300
4300,200,1000,"sd","09:40:45",1096100
4300,200,2000,"sd","09:39:32",1095100
4300,200,2000,"sd","09:39:31",1093100
4300,200,1000,"sd","09:39:29",1091100
4300,200,2000,"sd","09:38:48",1090100
4300,200,4800,"sd","09:38:34",1088100
4300,200,1000,"sd","09:38:23",1083300
4300,200,100,"sd","09:38:10",1082300
4300,200,200,"sd","09:37:30",1082200
4300,200,200,"sd","09:37:27",1082000
4300,200,5000,"sd","09:36:57",1081800
4300,200,500,"sd","09:36:53",1076800
4300,200,5000,"sd","09:36:40",1076300
4300,200,5000,"sd","09:36:18",1071300
4300,200,1000,"sd","09:36:06",1066300
4300,200,500,"sd","09:35:58",1065300
4300,200,600,"sd","09:34:59",1064800
4300,200,200,"sd","09:34:40",1064200
4300,200,10000,"sd","09:34:00",1064000
4400,300,1000,"bu","09:33:22",1054000
4400,300,1000,"bu","09:32:39",1053000
4300,200,800,"sd","09:31:53",1052000
4300,200,72300,"sd","09:31:16",1051200
4400,300,2000,"bu","09:29:08",978900
4400,300,300,"bu","09:28:44",976900
4400,300,200,"bu","09:28:41",976600
4400,300,1000,"bu","09:28:16",976400
4400,300,100,"bu","09:27:38",975400
4300,200,5000,"sd","09:27:29",975300
4300,200,600,"sd","09:26:46",970300
4300,200,100,"sd","09:25:45",969700
4300,200,100,"sd","09:25:11",969600
4400,300,500,"bu","09:24:52",969500
4400,300,5000,"bu","09:24:10",969000
4400,300,7700,"bu","09:24:02",964000
4400,300,400,"bu","09:23:40",956300
4400,300,50000,"bu","09:23:35",955900
4400,300,4000,"bu","09:23:24",905900
4400,300,11600,"bu","09:23:17",901900
4400,300,1000,"bu","09:23:16",890300
4300,200,100,"sd","09:23:13",889300
