"price","change","match_qtty","side","time","total_vol"
700,100,100,"bu","14:59:09",811100
600,0,61200,"sd","14:57:54",811000
700,100,5000,"bu","14:47:16",749800
700,100,10000,"bu","14:44:22",744800
700,100,1000,"bu","14:16:21",734800
600,0,10000,"sd","14:02:33",733800
600,0,10000,"sd","14:02:32",723800
700,100,2000,"bu","13:46:22",713800
600,0,8000,"sd","13:28:23",711800
600,0,12600,"sd","13:27:06",703800
600,0,5000,"sd","13:24:58",691200
700,100,2500,"bu","13:00:04",686200
700,100,1000,"bu","13:00:03",683700
700,100,1000,"bu","11:23:57",682700
600,0,34300,"sd","11:23:10",681700
600,0,500,"bu","11:23:05",647400
600,0,5000,"bu","11:22:55",646900
600,0,5000,"bu","11:22:54",641900
600,0,3000,"bu","11:22:40",636900
600,0,20000,"bu","11:22:38",633900
600,0,20000,"bu","11:22:05",613900
600,0,10000,"bu","11:21:41",593900
600,0,10000,"bu","11:21:37",583900
600,0,30000,"bu","11:21:30",573900
600,0,20000,"bu","11:21:11",543900
600,0,10000,"bu","11:21:07",523900
600,0,15000,"bu","11:20:35",513900
600,0,10000,"bu","11:19:12",498900
600,0,10000,"bu","11:18:04",488900
600,0,10000,"bu","11:14:24",478900
600,0,10000,"bu","11:14:11",468900
600,0,100000,"bu","11:12:55",458900
600,0,12000,"bu","11:12:13",358900
600,0,8000,"bu","11:05:45",346900
600,0,36000,"bu","11:04:59",338900
600,0,21700,"bu","11:03:38",302900
600,0,36600,"bu","11:01:50",281200
600,0,100000,"bu","10:59:44",244600
600,0,5000,"bu","10:57:24",144600
600,0,1100,"bu","10:44:55",139600
600,0,2900,"bu","10:43:02",138500
600,0,500,"bu","10:11:22",135600
600,0,15000,"bu","10:06:42",135100
600,0,100,"bu","09:55:13",120100
600,0,200,"bu","09:46:21",120000
600,0,5000,"bu","09:41:07",119800
600,0,10000,"bu","09:40:13",114800
600,0,35000,"bu","09:33:25",104800
600,0,3000,"bu","09:32:28",69800
600,0,2000,"bu","09:31:54",66800
600,0,30000,"bu","09:31:25",64800
600,0,4000,"bu","09:31:10",34800
600,0,7000,"bu","09:29:20",30800
600,0,3000,"bu","09:26:32",23800
600,0,400,"bu","09:24:26",20800
600,0,1800,"bu","09:17:51",20400
600,0,5000,"bu","09:12:23",18600
600,0,5000,"bu","09:12:18",13600
600,0,3000,"bu","09:08:16",8600
600,0,4300,"bu","09:06:55",5600
500,-100,100,"sd","09:02:56",1300
600,0,100,"bu","09:00:35",1200
600,0,1100,"bu","09:00:33",1100
