"price","change","match_qtty","side","time","total_vol"
6200,-100,2400,"unknown","14:28:11",22500
6100,-200,4100,"sd","14:16:41",20100
6100,-200,100,"sd","14:13:56",16000
6200,-100,4200,"bu","14:03:13",15900
6200,-100,800,"bu","13:59:17",11700
6200,-100,2000,"sd","13:52:40",10900
6200,-100,1000,"sd","13:51:53",8900
6200,-100,200,"sd","13:33:48",7900
6200,-100,400,"sd","13:05:41",7700
6200,-100,1000,"sd","13:02:05",7300
6300,0,100,"bu","10:08:19",6300
6200,-100,500,"sd","09:52:35",6200
6200,-100,200,"bu","09:33:51",5700
6200,-100,300,"sd","09:32:27",5500
6200,-100,200,"sd","09:29:52",5200
6300,0,800,"sd","09:25:07",5000
6300,0,4200,"sd","09:12:17",4200
