"price","change","match_qtty","side","time","total_vol"
11200,-100,5000,"sd","14:59:23",1613600
11200,-100,1000,"sd","14:52:11",1608600
11200,-100,5000,"sd","14:52:08",1607600
11200,-100,10000,"sd","14:51:14",1602600
11200,-100,100,"sd","14:49:14",1592600
11200,-100,1000,"sd","14:47:07",1592500
11200,-100,20000,"sd","14:46:32",1591500
11200,-100,1000,"sd","14:43:41",1571500
11300,0,3000,"bu","14:43:16",1570500
11300,0,100,"bu","14:40:50",1567500
11200,-100,63500,"sd","14:38:37",1567400
11200,-100,5000,"bu","14:38:32",1503900
11200,-100,100,"bu","14:37:12",1498900
11200,-100,300,"bu","14:37:06",1498800
11200,-100,100,"bu","14:36:43",1498500
11200,-100,1000,"bu","14:36:23",1498400
11200,-100,100,"bu","14:34:38",1497400
11200,-100,100,"bu","14:34:31",1497300
11200,-100,500,"bu","14:34:12",1497200
11200,-100,100,"bu","14:32:36",1496700
11200,-100,300,"bu","14:32:11",1496600
11200,-100,5000,"bu","14:32:09",1496300
11200,-100,2000,"bu","14:31:32",1491300
11200,-100,500,"bu","14:30:57",1489300
11200,-100,5000,"bu","14:30:35",1488800
11200,-100,100,"bu","14:30:13",1483800
11200,-100,2500,"bu","14:30:12",1483700
11200,-100,1000,"bu","14:29:59",1481200
11200,-100,200,"bu","14:29:50",1480200
11200,-100,500,"bu","14:29:43",1480000
11200,-100,900,"bu","14:29:40",1479500
11200,-100,5000,"bu","14:29:36",1478600
11200,-100,5000,"bu","14:29:28",1473600
11200,-100,4000,"bu","14:29:12",1468600
11200,-100,200,"bu","14:28:44",1464600
11200,-100,200,"bu","14:28:14",1464400
11200,-100,1000,"bu","14:27:37",1464200
11100,-200,200,"sd","14:27:30",1463200
11200,-100,200,"bu","14:27:29",1463000
11200,-100,100,"bu","14:27:10",1462800
11200,-100,1000,"bu","14:26:22",1462700
11200,-100,2000,"bu","14:25:34",1461700
11200,-100,600,"bu","14:24:02",1459700
11200,-100,100,"bu","14:23:44",1459100
11100,-200,2200,"sd","14:23:09",1459000
