"price","change","match_qtty","side","time","total_vol"
10400,50,100,"bu","14:45:01",19600
10350,0,100,"sd","14:17:15",19500
10350,0,600,"sd","14:11:07",19400
10350,0,800,"sd","14:11:07",18800
10350,0,300,"sd","14:11:07",18000
10350,0,700,"bu","13:57:42",17700
10350,0,700,"bu","13:57:42",17000
10350,0,1000,"bu","13:57:41",16300
10350,0,500,"bu","13:57:41",15300
10350,0,2000,"sd","13:56:42",14800
10350,0,100,"sd","13:56:42",12800
10350,0,400,"bu","13:31:07",12700
10350,0,100,"bu","13:30:51",12300
10350,0,200,"bu","13:30:51",12200
10350,0,100,"bu","13:30:50",12000
10350,0,100,"bu","13:30:50",11900
10350,0,200,"bu","13:30:50",11800
10350,0,300,"bu","13:30:24",11600
10350,0,100,"bu","13:30:23",11300
10350,0,200,"bu","13:30:23",11200
10350,0,100,"bu","13:30:23",11000
10350,0,100,"bu","13:30:23",10900
10350,0,100,"bu","13:30:22",10800
10350,0,100,"bu","13:30:22",10700
10350,0,300,"bu","13:17:18",10600
10350,0,100,"bu","13:17:17",10300
10350,0,200,"bu","13:17:17",10200
10350,0,100,"bu","13:17:17",10000
10350,0,100,"bu","13:17:17",9900
10350,0,100,"bu","13:17:17",9800
10350,0,100,"bu","13:17:17",9700
10350,0,500,"sd","13:02:30",9600
10350,0,200,"sd","13:02:30",9100
10400,50,100,"bu","13:02:04",8900
10400,50,300,"bu","10:47:12",8800
10400,50,100,"bu","10:47:11",8500
10400,50,100,"bu","10:47:11",8400
10400,50,200,"bu","10:47:11",8300
10400,50,100,"bu","10:47:11",8100
10400,50,200,"bu","10:47:11",8000
10400,50,300,"bu","10:47:04",7800
10400,50,100,"bu","10:47:04",7500
10400,50,200,"bu","10:47:04",7400
10400,50,100,"bu","10:47:03",7200
10400,50,100,"bu","10:47:03",7100
10400,50,200,"bu","10:47:03",7000
10400,50,200,"bu","10:34:28",6800
10400,50,300,"bu","09:50:49",6600
10400,50,100,"bu","09:50:49",6300
10400,50,200,"bu","09:50:49",6200
10400,50,100,"bu","09:50:49",6000
10400,50,200,"bu","09:50:48",5900
10400,50,200,"bu","09:50:48",5700
10400,50,300,"bu","09:50:36",5500
10400,50,400,"bu","09:50:36",5200
10400,50,200,"bu","09:50:36",4800
10400,50,100,"bu","09:50:36",4600
10400,50,100,"bu","09:50:36",4500
10400,50,200,"bu","09:50:35",4400
10400,50,300,"bu","09:28:21",4200
10400,50,100,"bu","09:28:21",3900
10400,50,200,"bu","09:28:21",3800
10400,50,100,"bu","09:28:20",3600
10400,50,100,"bu","09:28:20",3500
10400,50,200,"bu","09:28:20",3400
10400,50,300,"bu","09:28:12",3200
10400,50,100,"bu","09:28:12",2900
10400,50,200,"bu","09:28:12",2800
10400,50,100,"bu","09:28:12",2600
10400,50,100,"bu","09:28:11",2500
10400,50,200,"bu","09:28:11",2400
10500,150,2200,"bu","09:15:01",2200
