"price","change","match_qtty","side","time","total_vol"
23000,300,370700,"unknown","14:45:01",13081900
23100,400,100,"bu","14:29:54",12711200
23050,350,3800,"sd","14:29:30",12711100
23050,350,200,"sd","14:29:30",12707300
23100,400,1000,"bu","14:29:26",12707100
23050,350,800,"sd","14:29:18",12706100
23050,350,4000,"sd","14:29:18",12705300
23050,350,100,"sd","14:29:18",12701300
23050,350,100,"sd","14:29:18",12701200
23050,350,500,"sd","14:29:18",12701100
23050,350,500,"sd","14:29:18",12700600
23050,350,1000,"sd","14:29:18",12700100
23050,350,200,"sd","14:29:18",12699100
23050,350,1400,"sd","14:29:18",12698900
23050,350,500,"sd","14:29:18",12697500
23050,350,900,"sd","14:29:18",12697000
23050,350,100,"sd","14:29:17",12696100
23050,350,300,"sd","14:29:17",12696000
23050,350,2000,"sd","14:29:12",12695700
23050,350,100,"sd","14:29:09",12693700
23050,350,500,"sd","14:29:07",12693600
23050,350,700,"sd","14:29:06",12693100
23050,350,5000,"sd","14:29:03",12692400
23050,350,11400,"sd","14:28:59",12687400
23050,350,2000,"sd","14:28:59",12676000
23050,350,100,"sd","14:28:59",12674000
23050,350,100,"sd","14:28:59",12673900
23050,350,1000,"sd","14:28:59",12673800
23050,350,5400,"sd","14:28:59",12672800
23050,350,100,"sd","14:28:47",12667400
23050,350,1800,"sd","14:28:44",12667300
23050,350,200,"sd","14:28:40",12665500
23050,350,1000,"sd","14:28:36",12665300
23050,350,500,"sd","14:28:32",12664300
23050,350,1000,"sd","14:28:19",12663800
23050,350,3600,"sd","14:28:19",12662800
23050,350,800,"sd","14:28:19",12659200
23050,350,600,"sd","14:28:19",12658400
23050,350,200,"sd","14:27:59",12657800
23050,350,200,"sd","14:27:55",12657600
23050,350,2000,"sd","14:27:55",12657400
23050,350,500,"sd","14:27:55",12655400
23050,350,500,"sd","14:27:55",12654900
23050,350,1000,"sd","14:27:55",12654400
23050,350,800,"sd","14:27:55",12653400
23050,350,500,"sd","14:27:23",12652600
23050,350,100,"sd","14:27:23",12652100
23050,350,100,"sd","14:27:03",12652000
23050,350,100,"sd","14:26:52",12651900
23050,350,10000,"sd","14:26:52",12651800
23050,350,200,"sd","14:26:52",12641800
23050,350,100,"sd","14:26:52",12641600
23050,350,7000,"sd","14:26:52",12641500
23050,350,400,"sd","14:26:52",12634500
23050,350,500,"sd","14:26:52",12634100
23050,350,5000,"sd","14:26:52",12633600
23050,350,5000,"sd","14:26:52",12628600
23050,350,2000,"sd","14:26:52",12623600
23050,350,300,"sd","14:26:52",12621600
23050,350,4200,"sd","14:26:52",12621300
23050,350,5000,"sd","14:26:52",12617100
23050,350,200,"sd","14:26:52",12612100
23100,400,500,"bu","14:26:51",12611900
23100,400,500,"bu","14:26:40",12611400
23050,350,800,"sd","14:26:32",12610900
23050,350,200,"sd","14:26:32",12610100
23100,400,100,"bu","14:26:29",12609900
23100,400,100,"bu","14:26:17",12609800
23100,400,300,"bu","14:26:14",12609700
23100,400,200,"bu","14:26:12",12609400
23100,400,300,"bu","14:26:11",12609200
23100,400,2000,"bu","14:26:01",12608900
23100,400,500,"bu","14:25:58",12606900
23100,400,300,"bu","14:25:55",12606400
23100,400,500,"bu","14:25:53",12606100
23100,400,500,"bu","14:25:45",12605600
23100,400,100,"sd","14:25:31",12605100
23100,400,1000,"sd","14:25:31",12605000
23100,400,100,"sd","14:25:30",12604000
23100,400,200,"sd","14:25:30",12603900
23100,400,1000,"sd","14:25:30",12603700
23100,400,600,"sd","14:25:30",12602700
23100,400,400,"sd","14:25:30",12602100
23100,400,500,"sd","14:25:27",12601700
23100,400,2000,"sd","14:25:25",12601200
23150,450,1000,"bu","14:25:24",12599200
23100,400,2000,"sd","14:25:21",12598200
23150,450,100,"bu","14:25:17",12596200
23100,400,1400,"sd","14:25:14",12596100
23100,400,400,"sd","14:25:14",12594700
23100,400,100,"sd","14:25:14",12594300
23100,400,100,"sd","14:25:14",12594200
23100,400,400,"sd","14:25:14",12594100
23100,400,300,"sd","14:25:14",12593700
23100,400,1000,"sd","14:25:14",12593400
23100,400,1000,"sd","14:25:14",12592400
23100,400,300,"sd","14:25:14",12591400
23150,450,500,"bu","14:25:14",12591100
23100,400,1000,"sd","14:25:14",12590600
23100,400,200,"sd","14:25:11",12589600
23100,400,1000,"sd","14:25:02",12589400
23100,400,500,"sd","14:24:58",12588400
23100,400,300,"sd","14:24:58",12587900
23100,400,100,"sd","14:24:58",12587600
23100,400,700,"sd","14:24:58",12587500
23100,400,400,"sd","14:24:58",12586800
23100,400,400,"sd","14:24:56",12586400
23100,400,500,"sd","14:24:55",12586000
23150,450,600,"bu","14:24:54",12585500
23150,450,13000,"bu","14:24:53",12584900
23150,450,200,"bu","14:24:53",12571900
23150,450,1800,"bu","14:24:53",12571700
23100,400,100,"sd","14:24:51",12569900
23100,400,5000,"sd","14:24:51",12569800
23100,400,1000,"sd","14:24:51",12564800
23100,400,400,"sd","14:24:51",12563800
23100,400,200,"sd","14:24:51",12563400
23100,400,1000,"sd","14:24:51",12563200
23100,400,6000,"sd","14:24:51",12562200
23100,400,1700,"sd","14:24:51",12556200
23100,400,500,"sd","14:24:51",12554500
23100,400,100,"sd","14:24:51",12554000
23100,400,500,"sd","14:24:51",12553900
23100,400,1500,"sd","14:24:51",12553400
23100,400,2000,"sd","14:24:51",12551900
23100,400,4600,"sd","14:24:51",12549900
23100,400,200,"sd","14:24:51",12545300
23100,400,300,"sd","14:24:51",12545100
23100,400,7900,"sd","14:24:51",12544800
23100,400,1000,"sd","14:24:51",12536900
23100,400,1000,"sd","14:24:51",12535900
23100,400,3000,"sd","14:24:51",12534900
23100,400,100,"sd","14:24:51",12531900
23100,400,1000,"sd","14:24:51",12531800
23100,400,400,"sd","14:24:51",12530800
23100,400,9300,"sd","14:24:51",12530400
23100,400,700,"sd","14:24:49",12521100
23100,400,1100,"sd","14:24:49",12520400
23150,450,200,"bu","14:24:37",12519300
23100,400,200,"sd","14:24:35",12519100
23150,450,3000,"bu","14:24:35",12518900
23100,400,3700,"sd","14:24:28",12515900
23100,400,7300,"sd","14:24:28",12512200
23150,450,300,"bu","14:24:13",12504900
23150,450,100,"bu","14:24:13",12504600
23150,450,200,"bu","14:23:58",12504500
23150,450,200,"bu","14:23:11",12504300
23150,450,200,"bu","14:23:11",12504100
23150,450,200,"bu","14:23:05",12503900
23150,450,600,"bu","14:23:02",12503700
23150,450,2000,"bu","14:23:02",12503100
23150,450,4500,"bu","14:23:02",12501100
23150,450,100,"bu","14:23:02",12496600
23150,450,500,"bu","14:23:02",12496500
23150,450,2300,"bu","14:23:02",12496000
23150,450,100,"bu","14:22:56",12493700
23150,450,100,"bu","14:22:55",12493600
23150,450,100,"bu","14:22:43",12493500
23150,450,500,"bu","14:22:36",12493400
23150,450,100,"bu","14:22:31",12492900
23150,450,900,"bu","14:22:28",12492800
23150,450,100,"bu","14:22:27",12491900
23150,450,1000,"bu","14:22:25",12491800
23150,450,100,"sd","14:22:09",12490800
23150,450,4700,"sd","14:22:09",12490700
23200,500,100,"bu","14:22:05",12486000
23200,500,400,"bu","14:22:05",12485900
23150,450,100,"sd","14:22:04",12485500
23150,450,2300,"bu","14:22:03",12485400
23150,450,3500,"bu","14:22:03",12483100
23150,450,4400,"bu","14:22:03",12479600
23150,450,5000,"bu","14:22:03",12475200
23150,450,1000,"bu","14:22:01",12470200
23150,450,100,"bu","14:21:51",12469200
23150,450,600,"bu","14:21:40",12469100
23150,450,900,"bu","14:21:40",12468500
23150,450,500,"bu","14:21:40",12467600
23150,450,1000,"bu","14:21:40",12467100
23150,450,100,"sd","14:21:26",12466100
23150,450,2000,"sd","14:21:26",12466000
23150,450,900,"sd","14:21:26",12464000
23150,450,300,"sd","14:21:18",12463100
23150,450,500,"bu","14:21:11",12462800
23150,450,200,"bu","14:21:11",12462300
23100,400,100,"sd","14:21:11",12462100
23150,450,1000,"bu","14:21:09",12462000
23150,450,1000,"bu","14:21:06",12461000
23150,450,1000,"bu","14:21:06",12460000
23150,450,1000,"bu","14:21:06",12459000
23150,450,2500,"bu","14:21:06",12458000
23150,450,10000,"bu","14:21:06",12455500
23150,450,500,"bu","14:21:06",12445500
23150,450,4000,"bu","14:21:05",12445000
23150,450,2000,"bu","14:21:05",12441000
23150,450,300,"bu","14:20:59",12439000
23150,450,200,"bu","14:20:59",12438700
23150,450,300,"bu","14:20:58",12438500
23150,450,700,"bu","14:20:58",12438200
23150,450,100,"bu","14:20:58",12437500
23150,450,300,"bu","14:20:58",12437400
23150,450,1500,"bu","14:20:49",12437100
23150,450,100,"bu","14:20:41",12435600
23150,450,100,"bu","14:20:29",12435500
23150,450,300,"bu","14:20:29",12435400
23150,450,100,"bu","14:20:29",12435100
23150,450,100,"bu","14:20:29",12435000
23150,450,1000,"bu","14:20:22",12434900
23100,400,100,"sd","14:20:21",12433900
23150,450,100,"bu","14:20:18",12433800
23150,450,6500,"bu","14:20:14",12433700
23150,450,1000,"bu","14:20:14",12427200
23150,450,500,"bu","14:20:14",12426200
23150,450,2000,"bu","14:20:14",12425700
23150,450,200,"bu","14:20:14",12423700
23150,450,1000,"bu","14:20:14",12423500
23150,450,100,"bu","14:20:14",12422500
23150,450,8700,"bu","14:20:14",12422400
23150,450,2000,"bu","14:20:09",12413700
23150,450,400,"bu","14:20:00",12411700
23150,450,3000,"bu","14:19:47",12411300
23150,450,200,"bu","14:19:46",12408300
23150,450,200,"bu","14:19:45",12408100
23100,400,200,"sd","14:19:44",12407900
23150,450,5500,"bu","14:19:27",12407700
23150,450,5000,"bu","14:19:27",12402200
