"price","change","match_qtty","side","time","total_vol"
3700,0,22100,"unknown","14:45:02",156700
3700,0,1000,"bu","14:29:22",134600
3700,0,100,"bu","14:22:45",133600
3600,-100,1000,"sd","14:21:17",133500
3700,0,100,"bu","14:21:06",132500
3600,-100,2000,"sd","14:21:05",132400
3600,-100,3000,"sd","14:19:35",130400
3700,0,100,"bu","14:18:46",127400
3600,-100,2000,"sd","14:17:50",127300
3700,0,100,"bu","14:09:35",125300
3600,-100,1500,"sd","14:09:29",125200
3600,-100,500,"sd","14:08:47",123700
3600,-100,1500,"sd","14:08:31",123200
3700,0,100,"bu","14:07:34",121700
3600,-100,1500,"sd","14:07:10",121600
3600,-100,1200,"sd","14:06:54",120100
3700,0,100,"bu","14:06:53",118900
3600,-100,1000,"sd","14:06:51",118800
3600,-100,1500,"sd","14:06:33",117800
3600,-100,2500,"sd","14:06:01",116300
3700,0,100,"bu","14:01:16",113800
3600,-100,11000,"sd","14:00:51",113700
3700,0,5000,"bu","13:59:03",102700
3700,0,400,"bu","13:38:08",97700
3700,0,4000,"bu","13:30:16",97300
3700,0,1000,"bu","13:26:58",93300
3700,0,1500,"bu","13:26:06",92300
3700,0,200,"bu","13:12:35",90800
3700,0,100,"bu","13:06:56",90600
3600,-100,21600,"sd","13:04:39",90500
3700,0,5000,"bu","13:00:04",68900
3700,0,100,"bu","10:56:34",63900
3600,-100,1000,"sd","10:52:55",63800
3700,0,5000,"bu","10:41:15",62800
3700,0,100,"bu","10:36:06",57800
3700,0,100,"bu","10:33:48",57700
3600,-100,100,"sd","10:33:20",57600
3700,0,2000,"bu","10:21:16",57500
3700,0,7600,"sd","10:14:11",55500
3800,100,1000,"bu","10:05:51",47900
3800,100,100,"bu","10:02:07",46900
3800,100,100,"bu","10:00:41",46800
3700,0,1000,"sd","09:59:34",46700
3800,100,100,"bu","09:55:20",45700
3800,100,100,"bu","09:51:40",45600
3700,0,100,"sd","09:48:50",45500
3700,0,5000,"sd","09:47:36",45400
3700,0,100,"sd","09:46:03",40400
3700,0,1500,"sd","09:45:00",40300
3800,100,100,"bu","09:44:40",38800
3700,0,300,"sd","09:43:49",38700
3700,0,100,"sd","09:42:47",38400
3700,0,3000,"sd","09:42:12",38300
3700,0,500,"sd","09:41:48",35300
3800,100,100,"bu","09:37:06",34800
3700,0,5000,"unknown","09:35:15",34700
3700,0,22600,"sd","09:34:51",29700
3700,0,3000,"sd","09:34:38",7100
3800,100,500,"bu","09:28:31",4100
3800,100,200,"bu","09:27:09",3600
3800,100,100,"bu","09:22:49",3400
3700,0,500,"sd","09:21:39",3300
3800,100,100,"bu","09:19:07",2800
3700,0,500,"sd","09:16:20",2700
3800,100,100,"bu","09:16:17",2200
3700,0,500,"sd","09:13:05",2100
3800,100,100,"bu","09:08:02",1600
3700,0,1400,"sd","09:03:31",1500
3700,0,100,"sd","09:00:04",100
