"price","change","match_qtty","side","time","total_vol"
13700,1100,7500,"unknown","14:45:03",571000
13600,1000,200,"sd","14:29:33",563500
13600,1000,300,"sd","14:29:01",563300
13600,1000,1500,"sd","14:27:10",563000
13600,1000,4600,"sd","14:26:30",561500
13600,1000,100,"sd","14:26:06",556900
13600,1000,1700,"sd","14:25:27",556800
13600,1000,3000,"bu","14:25:13",555100
13600,1000,5300,"bu","14:25:00",552100
13600,1000,200,"bu","14:24:41",546800
13600,1000,600,"bu","14:23:50",546600
13600,1000,500,"bu","14:21:14",546000
13600,1000,1600,"bu","14:20:41",545500
13600,1000,1600,"bu","14:20:00",543900
13600,1000,400,"sd","14:19:46",542300
13600,1000,1600,"sd","14:19:12",541900
13700,1100,100,"bu","14:18:04",540300
13600,1000,3000,"unknown","14:18:02",540200
13600,1000,1000,"sd","14:17:50",537200
13600,1000,5000,"sd","14:17:17",536200
13600,1000,2000,"sd","14:17:16",531200
13600,1000,900,"sd","14:16:55",529200
13600,1000,5600,"sd","14:16:33",528300
13600,1000,400,"bu","14:15:51",522700
13600,1000,17600,"sd","14:15:19",522300
13600,1000,2000,"sd","14:15:04",504700
13600,1000,900,"sd","14:13:16",502700
13700,1100,3000,"bu","14:12:14",501800
13700,1100,2500,"bu","14:11:10",498800
13700,1100,1400,"bu","14:11:08",496300
13700,1100,2000,"bu","14:09:58",494900
13600,1000,500,"sd","14:08:45",492900
13600,1000,100,"sd","14:06:40",492400
13600,1000,100,"sd","14:06:14",492300
13600,1000,3000,"sd","14:05:22",492200
13600,1000,1000,"sd","14:04:59",489200
13700,1100,4000,"bu","14:03:55",488200
13700,1100,2000,"bu","14:03:08",484200
13700,1100,1400,"bu","14:02:14",482200
13700,1100,10000,"bu","14:02:01",480800
13700,1100,3000,"bu","14:01:44",470800
13600,1000,2000,"sd","14:00:35",467800
13700,1100,3000,"bu","14:00:20",465800
13700,1100,1500,"bu","14:00:07",462800
13700,1100,1000,"bu","13:59:53",461300
13600,1000,3300,"sd","13:59:51",460300
13600,1000,14500,"bu","13:59:25",457000
13600,1000,1000,"bu","13:59:22",442500
13600,1000,600,"bu","13:59:19",441500
13600,1000,500,"bu","13:59:12",440900
13600,1000,3000,"bu","13:59:02",440400
13600,1000,100,"bu","13:58:40",437400
13500,900,200,"sd","13:58:20",437300
13500,900,33400,"sd","13:58:19",437100
13500,900,6000,"bu","13:57:22",403700
13400,800,25500,"sd","13:56:59",397700
13300,700,5000,"bu","13:56:26",372200
13300,700,10000,"bu","13:56:03",367200
13200,600,19300,"bu","13:51:05",357200
13200,600,1500,"bu","13:49:53",337900
13100,500,1000,"sd","13:49:23",336400
13100,500,6000,"sd","13:48:22",335400
13100,500,100,"sd","13:48:19",329400
13100,500,2000,"sd","13:46:54",329300
13100,500,5000,"sd","13:46:03",327300
13100,500,900,"sd","13:44:13",322300
13100,500,2600,"bu","13:41:08",321400
13100,500,7400,"sd","13:40:25",318800
13100,500,2000,"sd","13:38:00",311400
13100,500,4000,"bu","13:36:22",309400
13000,400,5000,"sd","13:35:55",305400
13000,400,500,"sd","13:35:25",300400
13000,400,5000,"sd","13:35:02",299900
13100,500,500,"sd","13:34:15",294900
13100,500,1000,"sd","13:32:20",294400
13100,500,1000,"sd","13:32:04",293400
13200,600,6000,"bu","13:30:00",292400
13200,600,5000,"bu","13:26:06",286400
13200,600,5100,"bu","13:22:41",281400
13200,600,1100,"bu","13:21:55",276300
13100,500,3800,"sd","13:18:04",275200
13200,600,100,"bu","13:15:56",271400
13200,600,100,"bu","13:14:55",271300
13200,600,7400,"bu","13:13:10",271200
13300,700,1500,"bu","13:12:28",263800
13200,600,2000,"sd","13:10:11",262300
13200,600,500,"sd","13:10:01",260300
13200,600,1000,"sd","13:09:46",259800
13200,600,2000,"bu","13:09:17",258800
13200,600,8000,"sd","13:08:46",256800
13300,700,1700,"bu","13:04:22",248800
13300,700,3200,"bu","13:04:16",247100
13300,700,3000,"bu","13:04:14",243900
13300,700,5000,"bu","13:04:12",240900
13200,600,16300,"sd","13:02:30",235900
13200,600,5000,"bu","13:02:15",219600
13100,500,200,"sd","13:00:42",214600
13100,500,10000,"bu","13:00:29",214400
13100,500,6000,"bu","13:00:20",204400
13000,400,300,"sd","13:00:06",198400
13100,500,5000,"bu","13:00:03",198100
13000,400,2000,"sd","11:29:31",193100
13000,400,16000,"bu","11:27:56",191100
13000,400,5000,"bu","11:27:47",175100
13000,400,12000,"bu","11:27:39",170100
13000,400,5600,"bu","11:27:24",158100
12900,300,2400,"bu","11:22:09",152500
12900,300,1600,"sd","11:20:51",150100
