"price","change","match_qtty","side","time","total_vol"
58400,-400,80500,"sd","14:44:59",1102600
58600,-200,500,"bu","14:29:59",1022100
58600,-200,200,"bu","14:29:54",1021600
58300,-500,1500,"sd","14:29:46",1021400
58400,-400,200,"sd","14:29:46",1019900
58400,-400,100,"sd","14:29:46",1019700
58500,-300,500,"bu","14:28:49",1019600
58500,-300,200,"sd","14:28:40",1019100
58500,-300,300,"sd","14:28:38",1018900
58500,-300,2200,"sd","14:28:38",1018600
58500,-300,2000,"sd","14:28:10",1016400
58600,-200,1000,"bu","14:27:56",1014400
58600,-200,4000,"bu","14:27:49",1013400
58600,-200,600,"bu","14:26:27",1009400
58600,-200,200,"bu","14:26:22",1008800
58500,-300,100,"sd","14:26:15",1008600
58600,-200,900,"bu","14:26:03",1008500
58600,-200,400,"bu","14:25:44",1007600
58600,-200,800,"bu","14:25:34",1007200
58600,-200,600,"bu","14:25:31",1006400
58600,-200,1000,"bu","14:25:25",1005800
58500,-300,100,"sd","14:25:21",1004800
58600,-200,300,"bu","14:25:15",1004700
58600,-200,700,"bu","14:25:13",1004400
58600,-200,500,"bu","14:25:09",1003700
58600,-200,1900,"bu","14:25:08",1003200
58400,-400,800,"sd","14:25:02",1001300
58400,-400,500,"sd","14:25:01",1000500
58600,-200,500,"bu","14:24:57",1000000
58600,-200,800,"bu","14:24:57",999500
58400,-400,1000,"sd","14:24:55",998700
58500,-300,4200,"unknown","14:24:50",997700
58400,-400,500,"sd","14:24:48",993500
58500,-300,800,"bu","14:24:38",993000
58400,-400,200,"sd","14:24:37",992200
58400,-400,500,"sd","14:24:28",992000
58400,-400,500,"sd","14:24:15",991500
58400,-400,100,"sd","14:24:14",991000
58400,-400,400,"sd","14:24:04",990900
58400,-400,5000,"sd","14:23:41",990500
58400,-400,400,"sd","14:23:26",985500
58400,-400,2000,"sd","14:23:21",985100
58400,-400,800,"sd","14:23:20",983100
58400,-400,500,"sd","14:23:09",982300
58400,-400,100,"sd","14:23:03",981800
58400,-400,500,"sd","14:22:57",981700
58400,-400,100,"sd","14:22:45",981200
58400,-400,200,"sd","14:22:37",981100
58400,-400,300,"sd","14:22:32",980900
58500,-300,10000,"bu","14:22:24",980600
58400,-400,4900,"sd","14:22:23",970600
58300,-500,100,"sd","14:22:21",965700
58400,-400,500,"sd","14:22:15",965600
58300,-500,2000,"sd","14:22:14",965100
58400,-400,2000,"sd","14:22:13",963100
58400,-400,100,"sd","14:22:02",961100
58600,-200,100,"bu","14:21:52",961000
58400,-400,1000,"sd","14:21:39",960900
58200,-600,5000,"sd","14:21:36",959900
58400,-400,600,"sd","14:21:32",954900
58500,-300,1000,"unknown","14:21:31",954300
58400,-400,400,"sd","14:21:29",953300
58400,-400,700,"sd","14:21:17",952900
58200,-600,100,"sd","14:21:16",952200
58400,-400,500,"sd","14:21:13",952100
58400,-400,200,"sd","14:21:11",951600
58600,-200,1000,"bu","14:21:11",951400
58400,-400,7000,"sd","14:21:08",950400
58600,-200,600,"bu","14:21:04",943400
58400,-400,1000,"sd","14:21:00",942800
58300,-500,100,"sd","14:20:58",941800
58000,-800,1400,"sd","14:20:57",941700
58400,-400,1200,"sd","14:20:57",940300
58200,-600,100,"sd","14:20:56",939100
58400,-400,1400,"sd","14:20:52",939000
58400,-400,200,"sd","14:20:50",937600
58500,-300,1000,"unknown","14:20:47",937400
58600,-200,2000,"bu","14:20:43",936400
58100,-700,200,"sd","14:20:43",934400
58300,-500,100,"sd","14:20:38",934200
58000,-800,100,"sd","14:20:37",934100
58400,-400,100,"sd","14:20:36",934000
58200,-600,100,"sd","14:20:35",933900
58100,-700,5000,"sd","14:20:24",933800
58600,-200,1000,"bu","14:20:23",928800
58300,-500,100,"sd","14:20:20",927800
