"price","change","match_qtty","side","time","total_vol"
30400,500,3300,"sd","14:45:05",240700
30300,400,200,"bu","14:29:42",237400
30300,400,100,"bu","14:26:31",237200
30200,300,200,"bu","14:26:30",237100
30200,300,100,"bu","14:25:57",236900
30200,300,100,"bu","14:24:28",236800
30050,150,1300,"sd","14:24:10",236700
30050,150,200,"sd","14:23:36",235400
30050,150,1200,"sd","14:23:36",235200
30050,150,2000,"sd","14:22:55",234000
30050,150,900,"bu","14:22:39",232000
30050,150,100,"sd","14:22:21",231100
30200,300,100,"bu","14:22:08",231000
30050,150,1900,"sd","14:21:54",230900
30300,400,100,"bu","14:17:44",229000
29950,50,1700,"sd","14:17:23",228900
29950,50,2500,"sd","14:17:23",227200
30000,100,800,"unknown","14:17:23",224700
30000,100,1700,"sd","14:15:39",223900
30050,150,300,"sd","14:15:39",222200
30300,400,100,"bu","14:15:18",221900
30050,150,1200,"bu","14:14:42",221800
30100,200,300,"sd","14:14:09",220600
30100,200,1000,"bu","14:14:04",220300
30100,200,100,"bu","14:13:17",219300
30050,150,700,"bu","14:11:59",219200
30050,150,300,"sd","14:11:41",218500
30100,200,200,"sd","14:10:00",218200
30100,200,1200,"bu","14:09:50",218000
30100,200,500,"sd","14:08:16",216800
30100,200,100,"sd","14:08:16",216300
30150,250,200,"sd","14:08:16",216200
30400,500,100,"bu","13:58:45",216000
30300,400,200,"sd","13:58:15",215900
30400,500,100,"bu","13:56:55",215700
30300,400,1000,"bu","13:56:37",215600
30300,400,200,"bu","13:56:37",214600
30300,400,100,"bu","13:56:37",214400
30300,400,200,"bu","13:53:56",214300
30300,400,100,"bu","13:49:55",214100
30200,300,100,"bu","13:49:55",214000
30100,200,100,"unknown","13:48:57",213900
30100,200,200,"bu","13:48:37",213800
30100,200,200,"bu","13:48:37",213600
30100,200,500,"bu","13:48:37",213400
30100,200,200,"bu","13:39:39",212900
30100,200,100,"bu","13:38:27",212700
30050,150,700,"unknown","13:37:39",212600
30050,150,300,"sd","13:37:25",211900
30050,150,100,"sd","13:37:22",211600
30050,150,1000,"sd","13:37:04",211500
30050,150,1000,"bu","13:36:45",210500
30050,150,300,"bu","13:36:45",209500
30050,150,500,"bu","13:36:26",209200
30050,150,700,"sd","13:22:17",208700
30050,150,500,"bu","13:21:55",208000
30050,150,500,"sd","13:21:02",207500
30050,150,500,"bu","13:20:49",207000
30050,150,300,"sd","13:20:35",206500
30050,150,200,"sd","13:20:08",206200
30100,200,300,"bu","13:17:49",206000
