"price","change","match_qtty","side","time","total_vol"
13600,100,600,"unknown","14:59:54",68800
13700,200,2000,"bu","14:53:30",68200
13700,200,100,"bu","14:51:09",66200
13600,100,100,"unknown","14:50:18",66100
13700,200,100,"bu","14:50:01",66000
13600,100,1600,"unknown","14:48:27",65900
13600,100,5000,"bu","14:42:10",64300
13600,100,10000,"bu","14:40:59",59300
13600,100,5000,"bu","14:24:41",49300
13600,100,200,"bu","14:10:35",44300
13500,0,1200,"bu","14:05:42",44100
13500,0,800,"bu","14:03:58",42900
13600,100,100,"bu","13:56:19",42100
13500,0,100,"sd","13:49:53",42000
13500,0,200,"sd","13:49:02",41900
13500,0,1000,"sd","13:49:01",41700
13600,100,100,"bu","13:48:45",40700
13500,0,2600,"sd","13:48:24",40600
13500,0,2000,"sd","13:47:38",38000
13500,0,5500,"unknown","13:36:29",36000
13500,0,1400,"bu","13:15:11",30500
13500,0,4000,"bu","13:06:17",29100
13400,-100,100,"sd","13:04:56",25100
13500,0,300,"bu","13:00:05",25000
13500,0,1700,"bu","11:18:48",24700
13500,0,10000,"bu","11:11:49",23000
13400,-100,200,"sd","10:59:27",13000
13500,0,100,"bu","10:35:01",12800
13500,0,400,"bu","10:29:24",12700
13500,0,1000,"sd","10:29:04",12300
13500,0,300,"sd","10:26:41",11300
13500,0,100,"sd","10:25:56",11000
13500,0,200,"sd","10:24:40",10900
13500,0,3000,"sd","10:16:21",10700
13400,-100,4500,"unknown","10:15:30",7700
13400,-100,100,"bu","09:51:18",3200
13400,-100,200,"bu","09:46:58",3100
13400,-100,500,"bu","09:41:39",2900
13300,-200,100,"sd","09:28:23",2400
13300,-200,1300,"sd","09:22:59",2300
13400,-100,1000,"unknown","09:02:32",1000
