"price","change","match_qtty","side","time","total_vol"
4900,0,300,"sd","14:27:29",94200
4900,0,700,"sd","14:26:55",93900
4900,0,9000,"sd","14:19:47",93200
4900,0,1400,"sd","14:10:44",84200
4900,0,4000,"bu","13:08:45",82800
4900,0,1000,"sd","11:10:42",78800
4900,0,1000,"sd","11:10:26",77800
4900,0,1000,"sd","11:09:47",76800
4900,0,11600,"sd","10:51:44",75800
4900,0,1000,"bu","10:51:02",64200
4900,0,400,"bu","10:14:01",63200
4900,0,500,"sd","10:03:13",62800
4900,0,11500,"sd","10:00:29",62300
4900,0,100,"bu","10:00:26",50800
4900,0,2000,"sd","09:50:51",50700
5000,100,300,"bu","09:37:01",48700
4900,0,900,"bu","09:34:39",48400
4900,0,16000,"bu","09:34:02",47500
4900,0,800,"bu","09:12:32",31500
4900,0,8700,"bu","09:11:04",30700
4900,0,4300,"bu","09:07:36",22000
4900,0,9200,"bu","09:06:56",17700
4900,0,300,"bu","09:06:40",8500
5000,100,300,"bu","09:03:19",8200
4900,0,7900,"sd","09:01:54",7900
