"price","change","match_qtty","side","time","total_vol"
28000,0,200,"unknown","14:45:02",17200
27500,-500,2000,"sd","14:27:08",17000
27900,-100,100,"bu","14:15:42",15000
27600,-400,2000,"sd","14:08:04",14900
27600,-400,100,"sd","14:06:57",12900
27600,-400,100,"bu","13:44:59",12800
27600,-400,1000,"sd","13:44:51",12700
27500,-500,2200,"sd","13:39:16",11700
27600,-400,1100,"sd","13:38:54",9500
27600,-400,100,"sd","13:31:25",8400
27600,-400,400,"sd","13:30:32",8300
27600,-400,500,"sd","13:30:25",7900
27600,-400,100,"sd","13:29:55",7400
27600,-400,3000,"sd","13:29:48",7300
27600,-400,200,"bu","11:26:21",4300
27600,-400,200,"bu","11:24:53",4100
27600,-400,100,"unknown","11:24:10",3900
27600,-400,800,"unknown","11:22:42",3800
27900,-100,100,"bu","11:21:29",3000
27900,-100,200,"bu","10:55:41",2900
27500,-500,2000,"sd","10:52:42",2700
27900,-100,300,"unknown","10:23:33",700
27900,-100,100,"bu","09:51:45",400
27900,-100,100,"unknown","09:39:24",300
28000,0,100,"sd","09:14:00",200
28000,0,100,"sd","09:09:37",100
