"price","change","match_qtty","side","time","total_vol"
21450,0,1000,"bu","14:45:00",48800
21400,-50,300,"bu","14:29:41",46800
21400,-50,1000,"bu","14:29:41",47800
21350,-100,800,"bu","14:29:41",46500
21300,-150,100,"bu","14:28:38",45700
21200,-250,1000,"bu","14:28:38",45600
21200,-250,700,"bu","14:28:38",44600
21150,-300,400,"bu","14:28:38",43900
21150,-300,100,"bu","14:21:40",43500
21150,-300,100,"sd","14:20:40",43400
21200,-250,100,"bu","14:17:08",43300
21100,-350,800,"sd","14:12:14",43200
21100,-350,2000,"sd","14:12:14",42400
21100,-350,100,"sd","14:12:14",40400
21100,-350,300,"sd","14:12:14",40300
21100,-350,100,"sd","14:12:14",40000
21100,-350,200,"sd","14:12:14",39900
21100,-350,300,"sd","14:12:14",39700
21150,-300,3000,"sd","14:12:14",39400
21150,-300,100,"sd","14:12:14",36400
21150,-300,100,"sd","14:12:14",36300
21150,-300,300,"sd","14:09:30",36200
21150,-300,100,"sd","14:09:28",35900
21150,-300,100,"sd","14:08:26",35800
21150,-300,400,"sd","13:56:45",35700
21200,-250,100,"bu","13:52:07",35300
21150,-300,100,"sd","13:50:14",35200
21200,-250,100,"bu","13:46:45",35100
21200,-250,500,"bu","13:44:46",35000
21200,-250,100,"bu","13:42:51",34500
21200,-250,200,"bu","13:39:09",34400
21200,-250,300,"bu","13:25:30",34200
21150,-300,500,"sd","13:19:59",33900
21200,-250,100,"bu","13:04:36",33400
21200,-250,2500,"bu","13:01:25",33300
21200,-250,500,"bu","13:01:25",30800
21200,-250,100,"bu","13:00:32",30300
21150,-300,400,"sd","13:00:07",30200
21150,-300,900,"sd","13:00:07",29800
21150,-300,100,"sd","13:00:07",28900
21200,-250,100,"bu","11:25:39",28800
21200,-250,800,"sd","11:24:37",28700
21200,-250,500,"sd","11:24:37",27900
21200,-250,1000,"sd","11:23:58",27400
21200,-250,200,"sd","11:22:29",26400
21300,-150,900,"bu","11:14:04",26200
21200,-250,300,"bu","11:12:29",25300
21150,-300,100,"bu","10:50:31",25000
21150,-300,800,"bu","10:49:23",24900
21150,-300,200,"bu","10:49:23",24100
21150,-300,200,"bu","10:49:12",23900
21150,-300,100,"bu","10:48:43",23700
21150,-300,1500,"bu","10:48:30",23600
21150,-300,2000,"bu","10:47:59",22100
21150,-300,200,"bu","10:47:55",20100
21150,-300,100,"bu","10:46:32",19900
21150,-300,800,"bu","10:46:31",19800
21150,-300,400,"bu","10:43:11",19000
21150,-300,1000,"bu","10:38:59",18600
21150,-300,200,"bu","10:37:34",17600
21150,-300,500,"sd","10:32:13",17400
21150,-300,3000,"sd","10:32:13",16900
21150,-300,4800,"sd","10:32:13",13900
21350,-100,100,"bu","10:30:51",9100
21150,-300,200,"sd","10:30:01",9000
21350,-100,100,"bu","10:21:10",8800
21200,-250,300,"bu","10:19:53",8700
21200,-250,500,"bu","10:18:58",8400
21200,-250,200,"bu","10:18:52",7900
21200,-250,200,"bu","10:18:52",7700
21200,-250,100,"bu","10:18:52",7500
21200,-250,300,"bu","10:16:54",7400
21200,-250,1100,"bu","10:14:50",7100
21200,-250,500,"bu","10:14:50",6000
21200,-250,400,"bu","10:14:50",5500
21200,-250,200,"bu","10:10:46",5100
21200,-250,900,"sd","10:09:54",4900
21200,-250,500,"sd","10:09:54",4000
21200,-250,500,"bu","10:08:29",3500
21200,-250,1000,"sd","10:08:08",3000
21200,-250,100,"sd","10:08:08",2000
21200,-250,200,"sd","10:08:08",1700
21200,-250,200,"sd","10:08:08",1900
21400,-50,100,"bu","09:56:40",1500
21300,-150,200,"bu","09:55:44",1400
21300,-150,100,"sd","09:53:47",1200
21300,-150,200,"sd","09:50:17",1100
21400,-50,500,"bu","09:40:56",900
21400,-50,200,"bu","09:40:06",400
21400,-50,200,"bu","09:32:30",200
