"price","change","match_qtty","side","time","total_vol"
1900,-100,5000,"bu","14:29:56",121200
1800,-200,5000,"sd","14:28:55",116200
1800,-200,100,"sd","14:25:31",111200
1900,-100,100,"bu","14:21:26",111100
1800,-200,2000,"sd","14:20:59",111000
1800,-200,4000,"sd","14:18:53",109000
1900,-100,100,"bu","14:15:32",105000
1800,-200,1000,"sd","14:14:52",104900
1900,-100,100,"bu","14:11:32",103900
1800,-200,5000,"sd","14:08:26",103800
1900,-100,100,"bu","13:50:30",98800
1800,-200,2000,"sd","13:43:52",98700
1800,-200,300,"sd","13:37:45",96700
1900,-100,100,"bu","13:27:59",96400
1900,-100,100,"bu","13:24:07",96300
1900,-100,400,"bu","13:00:04",96200
1900,-100,100,"bu","11:18:49",95800
1900,-100,200,"bu","11:17:10",95700
1800,-200,1500,"unknown","11:12:23",95500
1800,-200,2000,"bu","11:10:20",94000
1800,-200,1400,"bu","11:10:06",92000
1800,-200,600,"sd","11:06:11",90600
1800,-200,3400,"bu","11:03:07",90000
1800,-200,1000,"bu","11:01:19",86600
1800,-200,1000,"bu","10:57:29",85600
1800,-200,1000,"bu","10:51:08",84600
1800,-200,100,"bu","10:33:21",83600
1800,-200,100,"bu","09:55:19",83500
1700,-300,600,"sd","09:53:30",83400
1800,-200,500,"bu","09:51:07",82800
1800,-200,2000,"bu","09:45:37",82300
1800,-200,300,"bu","09:43:31",80300
1800,-200,200,"bu","09:34:08",80000
1800,-200,1000,"bu","09:29:51",79800
1800,-200,500,"bu","09:29:01",78800
1800,-200,200,"bu","09:24:40",78300
1800,-200,500,"unknown","09:22:44",78100
1700,-300,1300,"bu","09:19:48",77600
1700,-300,500,"bu","09:19:23",76300
1700,-300,500,"bu","09:18:26",75800
1700,-300,100,"bu","09:18:02",75300
1700,-300,3000,"bu","09:17:57",75200
1700,-300,500,"bu","09:16:55",72200
1700,-300,2500,"bu","09:16:24",71700
1700,-300,100,"sd","09:13:32",69200
1700,-300,100,"sd","09:13:01",69100
1700,-300,500,"sd","09:12:23",69000
1700,-300,300,"unknown","09:11:37",68500
1700,-300,200,"unknown","09:10:53",68200
1700,-300,5000,"sd","09:10:20",68000
1700,-300,5000,"sd","09:07:04",63000
1700,-300,2800,"unknown","09:04:49",58000
1700,-300,600,"sd","09:03:45",55200
1700,-300,1600,"sd","09:03:09",54600
1700,-300,100,"bu","09:02:44",53000
1700,-300,7400,"bu","09:02:28",52900
1700,-300,5000,"sd","09:02:11",45500
1700,-300,34700,"sd","09:01:39",40500
1700,-300,5800,"sd","09:00:23",5800
