"price","change","match_qtty","side","time","total_vol"
16200,200,3700,"bu","14:45:08",58000
16050,50,200,"sd","14:29:03",54300
16050,50,200,"sd","14:29:02",54100
16100,100,300,"sd","14:28:53",53900
16100,100,700,"sd","14:28:36",53600
16100,100,500,"sd","14:28:36",52900
16100,100,100,"sd","14:28:36",52400
16100,100,300,"unknown","14:22:51",52300
16100,100,100,"sd","14:22:51",52000
16200,200,1000,"bu","14:16:39",51900
16200,200,1000,"bu","14:16:36",50900
16200,200,1000,"bu","14:16:34",49900
16200,200,300,"bu","14:16:31",48900
16200,200,700,"bu","14:16:30",48600
16200,200,500,"bu","14:16:28",47900
16200,200,500,"bu","14:16:23",47400
16200,200,300,"bu","14:16:21",46900
16150,150,200,"bu","14:16:21",46600
16150,150,500,"bu","14:10:00",46400
16050,50,1800,"sd","13:56:51",45900
16050,50,200,"sd","13:56:51",44100
16050,50,100,"bu","13:51:23",43900
16050,50,200,"bu","13:51:11",43800
16050,50,1000,"bu","13:50:34",43600
16050,50,100,"sd","13:50:22",42600
16050,50,700,"sd","13:50:22",42500
16050,50,200,"sd","13:50:22",41800
16050,50,700,"sd","13:50:22",41600
16050,50,1000,"sd","13:47:41",40900
16050,50,900,"sd","13:47:41",39900
16050,50,100,"bu","13:46:59",39000
16050,50,1000,"bu","13:46:52",38900
16050,50,100,"bu","13:46:19",37900
16050,50,300,"bu","13:46:19",37800
16050,50,2400,"bu","13:46:19",37500
16050,50,100,"bu","13:46:19",35100
16050,50,600,"bu","13:46:19",35000
16050,50,2000,"sd","13:46:17",34400
16050,50,2000,"sd","13:46:11",32400
16050,50,400,"sd","13:43:36",30400
16050,50,1000,"sd","13:43:36",30000
16050,50,1000,"sd","13:43:36",29000
16050,50,1000,"sd","13:43:36",28000
16050,50,500,"sd","13:43:36",27000
16100,100,100,"sd","13:43:36",26500
16100,100,1000,"sd","13:43:36",26400
16050,50,500,"sd","13:31:07",25400
16050,50,100,"sd","13:31:07",24900
16050,50,1000,"sd","13:31:07",24800
16100,100,100,"sd","13:31:07",23800
16100,100,700,"sd","13:31:07",23700
16100,100,700,"sd","13:31:07",23000
16100,100,6000,"sd","13:31:07",22300
16100,100,900,"sd","13:31:07",16300
16150,150,100,"bu","13:28:40",15400
16150,150,400,"bu","13:28:03",15300
16150,150,600,"bu","13:28:03",14900
16150,150,1900,"bu","13:24:43",14300
16150,150,100,"bu","13:24:43",12400
16150,150,500,"bu","13:23:47",12300
16150,150,500,"bu","13:23:44",11800
16100,100,100,"sd","13:12:59",11300
16100,100,100,"sd","13:12:59",11200
16150,150,900,"bu","13:11:25",11100
16150,150,100,"bu","13:11:25",10200
16150,150,1100,"bu","13:11:00",10100
16100,100,100,"sd","13:05:32",9000
16100,100,100,"unknown","13:01:05",8900
16150,150,600,"bu","13:00:22",8800
16100,100,400,"bu","11:20:18",8200
16100,100,100,"unknown","11:02:10",7800
16050,50,700,"bu","10:07:22",7700
16050,50,1000,"sd","10:03:00",7000
16050,50,1000,"sd","10:00:03",6000
16100,100,300,"sd","09:34:13",5000
16100,100,1700,"sd","09:32:42",4700
16100,100,300,"sd","09:32:42",3000
16100,100,100,"sd","09:32:04",2700
16100,100,600,"sd","09:28:17",2600
16150,150,700,"sd","09:27:38",2000
16150,150,300,"sd","09:22:54",1300
16250,250,1000,"unknown","09:15:10",1000
