"price","change","match_qtty","side","time","total_vol"
15800,-50,1700,"sd","14:45:01",26000
15900,50,100,"bu","14:28:07",24300
15900,50,500,"bu","14:28:07",24200
15900,50,300,"bu","14:28:07",23700
15900,50,100,"bu","14:28:07",23400
15800,-50,200,"sd","14:24:59",23300
15800,-50,100,"bu","14:06:49",23100
15800,-50,100,"bu","14:06:49",23000
15800,-50,600,"bu","14:06:49",22900
15750,-100,1700,"sd","14:01:15",22300
15800,-50,100,"bu","13:58:12",20600
15800,-50,200,"bu","13:58:06",20500
15750,-100,700,"sd","13:55:06",20300
15750,-100,100,"sd","13:55:06",19600
15750,-100,200,"sd","13:55:06",19500
15800,-50,100,"bu","13:53:06",19300
15800,-50,100,"sd","13:45:10",19200
15800,-50,100,"sd","13:45:10",19100
15800,-50,100,"sd","13:45:10",19000
15850,0,100,"sd","13:44:43",18900
15900,50,900,"bu","13:39:29",18800
15850,0,100,"bu","13:38:16",17900
15800,-50,1900,"sd","13:35:13",17800
15800,-50,100,"sd","13:35:13",15900
15800,-50,100,"sd","13:34:37",15800
15850,0,200,"bu","13:17:45",15700
15850,0,300,"sd","13:16:12",15500
15850,0,500,"sd","13:16:12",15200
15850,0,100,"bu","13:04:53",14700
15800,-50,100,"sd","13:00:38",14600
15800,-50,100,"sd","13:00:38",14500
15800,-50,200,"sd","13:00:38",14400
15800,-50,600,"sd","13:00:38",14200
15800,-50,900,"sd","11:11:47",13600
15800,-50,5000,"sd","11:11:47",12700
15800,-50,100,"sd","11:11:47",7700
15800,-50,500,"sd","11:11:47",7600
15800,-50,3000,"sd","11:11:47",7100
15800,-50,500,"sd","11:11:47",4100
15850,0,100,"sd","11:05:32",3600
15850,0,100,"sd","11:05:32",3500
15850,0,1000,"sd","11:05:32",3400
15850,0,100,"sd","11:05:32",2400
15850,0,600,"sd","11:05:32",2300
15850,0,100,"sd","11:05:32",1700
15850,0,100,"bu","10:12:26",1600
15850,0,100,"sd","10:11:15",1400
15850,0,100,"sd","10:11:15",1500
15950,100,200,"bu","09:38:21",1300
15950,100,500,"bu","09:34:46",1100
15950,100,200,"sd","09:34:46",600
15950,100,100,"bu","09:19:14",400
16000,150,300,"bu","09:15:01",300
