"price","change","match_qtty","side","time","total_vol"
14600,100,3000,"sd","14:57:11",107100
14800,300,400,"sd","14:55:40",104100
14800,300,100,"bu","14:43:14",103700
14800,300,400,"bu","14:41:46",103600
14800,300,500,"bu","14:41:32",103200
14800,300,1000,"bu","14:40:49",102700
14800,300,2000,"bu","14:40:12",101700
14800,300,500,"bu","14:35:13",99700
14600,100,3000,"sd","14:02:14",99200
14600,100,6900,"sd","13:59:13",96200
14600,100,5500,"sd","13:56:51",89300
14700,200,3000,"sd","13:53:41",83800
14700,200,300,"sd","13:53:00",80800
14800,300,600,"unknown","13:48:34",80500
14800,300,14400,"bu","13:47:54",79900
14900,400,300,"sd","13:37:54",65500
14900,400,500,"sd","13:37:11",65200
14900,400,400,"sd","13:36:15",64700
14900,400,400,"sd","13:36:02",64300
14900,400,4600,"sd","13:32:13",63900
14800,300,100,"sd","13:30:09",59300
14800,300,900,"sd","13:29:44",59200
14800,300,600,"bu","13:29:09",58300
14800,300,1300,"sd","13:27:34",57700
14800,300,1500,"sd","13:26:17",56400
14800,300,1000,"sd","13:23:13",54900
14800,300,1600,"sd","13:13:27",53900
14900,400,100,"bu","13:11:57",52300
14900,400,1000,"unknown","11:18:50",52200
14900,400,1000,"sd","11:15:44",51200
15000,500,700,"bu","11:12:49",50200
15000,500,100,"bu","10:58:45",49500
15000,500,700,"sd","10:54:49",49400
15000,500,600,"bu","10:52:46",48700
15000,500,1200,"bu","10:49:58",48100
15000,500,100,"sd","10:48:42",46900
14900,400,10000,"sd","10:40:49",46800
15000,500,100,"unknown","10:37:19",36800
15000,500,200,"bu","10:27:43",36700
15000,500,200,"bu","10:25:53",36500
15000,500,5000,"bu","10:25:09",36300
14900,400,400,"unknown","10:11:50",31300
15000,500,6000,"bu","10:07:18",30900
15000,500,1000,"bu","10:06:41",24900
14900,400,4900,"sd","10:06:09",23900
14900,400,100,"sd","09:59:10",19000
15000,500,100,"bu","09:58:34",18900
15000,500,600,"bu","09:55:36",18800
15000,500,500,"sd","09:53:19",18200
15000,500,2700,"sd","09:52:38",17700
15000,500,1500,"bu","09:50:23",15000
15000,500,600,"bu","09:50:18",13500
15100,600,300,"bu","09:50:15",12900
15000,500,200,"bu","09:48:43",12600
15000,500,1300,"bu","09:47:03",12400
15000,500,700,"bu","09:46:33",11100
15000,500,100,"bu","09:45:25",10400
14900,400,200,"sd","09:43:30",10300
14900,400,2000,"sd","09:30:13",10100
14900,400,3500,"sd","09:26:57",8100
14900,400,3000,"sd","09:25:39",4600
14900,400,1500,"sd","09:24:41",1600
14900,400,100,"sd","09:19:08",100
