"price","change","match_qtty","side","time","total_vol"
6200,800,1000,"sd","14:43:55",179500
6200,800,100,"sd","14:33:15",178500
6200,800,2000,"sd","14:31:47",178400
6200,800,100,"sd","14:15:27",176400
6200,800,100,"sd","13:48:01",176300
6200,800,10600,"sd","13:44:26",176200
6200,800,8000,"bu","13:44:09",165600
6200,800,10000,"bu","13:43:19",157600
6200,800,500,"bu","13:39:46",147600
6200,800,3000,"bu","13:34:14",147100
6200,800,2000,"bu","13:32:06",144100
6200,800,9000,"bu","13:28:57",142100
6200,800,200,"bu","13:28:37",133100
6200,800,1000,"bu","13:28:14",132900
6200,800,400,"bu","13:20:25",131900
6200,800,500,"bu","13:19:35",131500
6200,800,500,"bu","13:19:11",131000
6200,800,600,"bu","13:18:46",130500
6200,800,2500,"bu","13:18:29",129900
6200,800,2000,"bu","13:17:20",127400
6100,700,3600,"sd","13:00:02",125400
6100,700,100,"sd","11:25:07",121800
6100,700,100,"sd","11:23:59",121700
6100,700,800,"sd","11:19:09",121600
6100,700,100,"sd","11:15:05",120800
6100,700,1500,"sd","11:06:33",120700
6200,800,500,"bu","11:05:13",119200
6200,800,2000,"bu","11:04:37",118700
6200,800,3000,"bu","11:00:59",116700
6200,800,100,"bu","10:55:00",113700
6200,800,5000,"bu","10:54:32",113600
6200,800,800,"bu","10:54:09",108600
6200,800,5000,"bu","10:53:42",107800
6200,800,20000,"bu","10:52:51",102800
6200,800,10000,"bu","10:48:57",82800
6200,800,500,"bu","10:48:00",72800
6200,800,1200,"bu","10:47:18",72300
6200,800,5000,"bu","10:42:06",71100
6200,800,200,"bu","10:31:03",66100
6200,800,100,"bu","10:29:45",65900
6200,800,1000,"bu","10:24:19",65800
6200,800,100,"bu","10:15:14",64800
6200,800,200,"bu","10:12:25",64700
6200,800,1000,"bu","10:05:54",64500
6200,800,200,"bu","10:02:47",63500
6200,800,5000,"bu","09:58:21",63300
6100,700,8500,"sd","09:49:28",58300
6100,700,3800,"sd","09:33:02",49800
6100,700,4000,"bu","09:32:44",46000
6100,700,500,"bu","09:31:15",42000
6100,700,500,"bu","09:30:01",41500
6100,700,3600,"bu","09:28:34",41000
6100,700,5000,"sd","09:26:35",37400
6200,800,600,"bu","09:26:09",32400
6200,800,1000,"bu","09:22:38",31800
6200,800,100,"bu","09:21:08",30800
6200,800,5000,"bu","09:20:48",30700
6200,800,100,"bu","09:19:45",25700
6200,800,200,"bu","09:19:22",25600
6200,800,600,"bu","09:19:16",25400
6200,800,3000,"bu","09:18:50",24800
6200,800,300,"bu","09:17:14",21800
6200,800,100,"bu","09:16:46",21500
6200,800,200,"bu","09:13:39",21400
6200,800,1000,"bu","09:13:38",21200
6200,800,5000,"bu","09:13:26",20200
6200,800,400,"bu","09:13:11",15200
6200,800,5000,"bu","09:13:09",14800
6200,800,1000,"bu","09:12:45",9800
6200,800,300,"bu","09:12:13",8800
6100,700,1000,"bu","09:10:19",8500
6000,600,100,"unknown","09:09:26",7500
5900,500,1000,"sd","09:02:26",7400
6000,600,100,"bu","09:02:05",6400
6000,600,200,"sd","09:01:40",6300
5900,500,3000,"sd","09:01:07",6100
6000,600,200,"sd","09:00:38",3100
6000,600,900,"sd","09:00:18",2900
6200,800,200,"sd","09:00:16",2000
6000,600,1800,"sd","09:00:04",1800
