"price","change","match_qtty","side","time","total_vol"
4500,100,200,"bu","14:51:52",491300
4500,100,200,"bu","14:51:15",491100
4500,100,100,"bu","14:49:42",490900
4400,0,400,"sd","14:48:06",490800
4500,100,100,"bu","14:38:21",490400
4300,-100,1600,"sd","14:38:06",490300
4500,100,100,"bu","14:31:48",488700
4400,0,200,"unknown","14:30:10",488600
4300,-100,100,"sd","14:28:51",488400
4400,0,300,"bu","14:28:43",488300
4400,0,100,"sd","14:28:25",488000
4400,0,600,"bu","14:27:44",487900
4300,-100,5400,"sd","14:27:39",487300
4400,0,8500,"bu","14:27:13",481900
4500,100,100,"bu","14:26:18",473400
4400,0,100,"sd","14:25:37",473300
4500,100,100,"bu","14:20:08",473200
4400,0,1900,"bu","14:19:37",473100
4400,0,3900,"bu","14:19:30",471200
4400,0,100,"bu","14:19:19",467300
4400,0,2600,"sd","14:19:04",467200
4400,0,500,"sd","14:18:54",464600
4400,0,1000,"sd","14:18:53",464100
4400,0,7000,"sd","14:18:21",463100
4400,0,2300,"sd","14:16:41",456100
4400,0,500,"sd","14:15:59",453800
4500,100,100,"bu","14:15:28",453300
4400,0,6000,"sd","14:14:24",453200
4500,100,100,"bu","14:12:15",447200
4400,0,1000,"sd","14:12:07",447100
4500,100,100,"bu","14:09:53",446100
4400,0,100,"sd","14:09:43",446000
4500,100,100,"bu","14:06:41",445900
4400,0,500,"sd","14:06:32",445800
4500,100,3900,"bu","14:00:12",445300
4400,0,38000,"sd","14:00:03",441400
4500,100,10000,"bu","13:58:52",403400
4500,100,900,"bu","13:58:34",393400
4500,100,700,"bu","13:58:19",392500
4500,100,100,"bu","13:56:55",391800
4400,0,500,"sd","13:56:49",391700
4500,100,100,"bu","13:56:16",391200
4400,0,500,"sd","13:55:33",391100
4400,0,3000,"sd","13:54:27",390600
4400,0,1000,"sd","13:52:58",387600
4500,100,1000,"bu","13:49:15",386600
4500,100,200,"bu","13:44:34",385600
4500,100,2000,"bu","13:44:31",385400
4500,100,3000,"bu","13:44:11",383400
4500,100,11000,"bu","13:43:34",380400
4500,100,6100,"bu","13:42:13",369400
4500,100,100,"bu","13:41:31",363300
4400,0,200,"sd","13:41:13",363200
4400,0,1300,"sd","13:39:41",363000
4400,0,12000,"bu","13:39:22",361700
4400,0,1000,"bu","13:38:38",349700
4400,0,500,"bu","13:37:45",348700
4400,0,5000,"bu","13:36:38",348200
4400,0,100,"bu","13:36:14",343200
4400,0,1400,"bu","13:33:33",343100
4400,0,2500,"bu","13:32:43",341700
4400,0,200,"bu","13:32:08",339200
4400,0,500,"unknown","13:29:49",339000
4400,0,15000,"bu","13:25:25",338500
4300,-100,100,"sd","13:24:16",323500
4300,-100,1100,"sd","13:23:38",323400
4300,-100,2000,"sd","13:23:26",322300
4300,-100,2000,"sd","13:20:59",320300
4400,0,100,"bu","13:19:22",318300
4300,-100,4000,"sd","13:18:37",318200
4300,-100,6100,"sd","13:17:33",314200
4300,-100,200,"sd","13:17:27",308100
4300,-100,2000,"sd","13:16:47",307900
4300,-100,10400,"sd","13:16:37",305900
4200,-200,800,"sd","13:16:36",295500
4200,-200,100,"sd","13:15:28",294700
4400,0,100,"bu","13:14:17",294600
4200,-200,5000,"sd","13:14:02",294500
4200,-200,31800,"sd","13:13:32",289500
4400,0,7100,"bu","13:11:36",257700
4400,0,1000,"sd","13:11:01",250600
4400,0,1700,"sd","13:10:26",249600
4400,0,20700,"sd","13:10:11",247900
4200,-200,21500,"sd","13:09:49",227200
4400,0,100,"bu","13:09:14",205700
4300,-100,2000,"sd","13:08:38",205600
4300,-100,1000,"unknown","13:07:56",203600
4300,-100,500,"unknown","13:07:24",202600
4300,-100,7000,"bu","13:07:13",202100
4300,-100,10500,"bu","13:06:52",195100
4300,-100,3000,"sd","13:06:51",184600
4300,-100,5000,"sd","13:06:35",181600
4300,-100,2400,"sd","13:06:01",176600
4400,0,200,"bu","13:05:00",174200
4400,0,200,"bu","13:04:36",174000
4400,0,100,"bu","13:03:59",173800
4400,0,3100,"bu","13:03:21",173700
4400,0,15100,"sd","13:03:16",170600
4400,0,2200,"sd","13:03:12",155500
4400,0,3000,"sd","13:02:50",153300
4400,0,10000,"sd","13:02:41",150300
4400,0,500,"sd","13:02:20",140300
4400,0,2600,"sd","13:01:54",139800
4400,0,500,"sd","13:01:29",137200
4400,0,5000,"sd","13:01:13",136700
4500,100,100,"bu","13:00:06",131700
4500,100,14800,"bu","13:00:01",131600
4500,100,1000,"sd","11:29:21",116800
4500,100,100,"unknown","11:23:56",115800
4500,100,7800,"bu","11:22:25",115700
4500,100,100,"bu","11:03:30",107900
4500,100,2000,"bu","11:01:10",107800
4500,100,4700,"sd","10:45:00",105800
4500,100,22300,"sd","10:44:42",101100
4500,100,3000,"sd","10:43:59",78800
4600,200,100,"bu","10:43:17",75800
4600,200,100,"bu","10:33:01",75700
4400,0,20000,"sd","10:29:28",75600
4400,0,100,"sd","10:26:41",55600
4500,100,1500,"unknown","10:25:45",55500
4500,100,500,"sd","10:24:32",54000
4500,100,100,"unknown","10:23:53",53500
4500,100,1000,"unknown","10:23:16",53400
4500,100,100,"unknown","10:22:18",52400
4500,100,2000,"sd","10:21:53",52300
4500,100,1000,"sd","10:21:45",50300
4500,100,200,"sd","10:20:47",49300
4500,100,10000,"sd","10:17:58",49100
4500,100,100,"sd","10:14:22",39100
4500,100,2500,"sd","10:11:19",39000
4500,100,2300,"sd","10:09:38",36500
4500,100,5000,"sd","10:09:00",34200
4500,100,1500,"sd","10:01:17",29200
4500,100,2000,"sd","10:01:02",27700
4500,100,1500,"sd","10:00:47",25700
4500,100,500,"sd","10:00:26",24200
4500,100,5000,"sd","09:59:04",23700
4500,100,100,"sd","09:58:33",18700
4500,100,100,"sd","09:53:28",18600
4500,100,5000,"sd","09:47:23",18500
4600,200,300,"bu","09:41:31",13500
4500,100,1000,"sd","09:35:43",13200
4500,100,500,"sd","09:32:55",12200
4500,100,3000,"sd","09:31:33",11700
4500,100,100,"sd","09:31:22",8700
4500,100,2000,"sd","09:29:04",8600
4500,100,100,"sd","09:26:09",6600
4600,200,1100,"bu","09:24:41",6500
