"price","change","match_qtty","side","time","total_vol"
63100,800,1900,"unknown","14:45:02",99200
63100,800,500,"sd","14:27:04",97300
63100,800,100,"sd","14:24:15",96800
63100,800,100,"sd","14:23:30",96700
63000,700,300,"sd","14:21:42",96600
63000,700,4900,"bu","14:15:44",96300
62900,600,100,"sd","14:14:58",91400
62900,600,2500,"sd","14:12:58",91300
62900,600,1000,"sd","14:12:45",88800
62900,600,3200,"sd","14:11:13",87800
62900,600,1500,"sd","14:08:03",84600
63000,700,100,"bu","13:56:17",83100
63000,700,200,"bu","13:56:13",83000
63000,700,100,"bu","13:55:23",82800
63000,700,100,"bu","13:54:45",82700
62900,600,100,"sd","13:53:59",82600
62900,600,500,"sd","13:52:13",82500
62900,600,100,"sd","13:42:32",82000
62900,600,300,"sd","13:39:39",81900
63000,700,100,"bu","13:33:31",81600
62900,600,100,"unknown","13:29:49",81500
62900,600,400,"sd","13:29:18",81400
62900,600,200,"sd","13:27:17",81000
63000,700,100,"bu","13:26:33",80800
63000,700,7500,"bu","13:26:01",80700
63000,700,400,"sd","13:25:06",73200
63000,700,3500,"sd","13:25:03",72800
63000,700,100,"sd","13:24:56",69300
63000,700,1000,"sd","13:23:27",69200
63000,700,2600,"sd","13:18:59",68200
63000,700,200,"sd","13:18:44",65600
63000,700,600,"sd","13:15:04",65400
63000,700,2800,"sd","13:14:52",64800
63300,1000,100,"unknown","13:12:43",62000
63300,1000,300,"sd","13:12:32",61900
63300,1000,500,"sd","13:12:16",61600
63300,1000,200,"bu","13:08:31",61100
63300,1000,300,"bu","13:07:58",60900
63300,1000,100,"bu","13:05:58",60600
63000,700,200,"sd","13:00:09",60500
63000,700,5000,"sd","11:26:40",60300
63000,700,10000,"sd","11:26:12",55300
63000,700,10000,"sd","11:26:08",45300
63500,1200,300,"bu","11:25:31",35300
63500,1200,200,"bu","11:25:19",35000
63500,1200,100,"bu","11:24:30",34800
63100,800,1000,"unknown","11:22:32",34700
63100,800,300,"sd","11:13:33",33700
63200,900,100,"unknown","11:09:45",33400
63200,900,1500,"unknown","11:00:06",33300
63000,700,1000,"sd","10:54:09",31800
63000,700,300,"sd","10:52:20",30800
63000,700,700,"sd","10:51:21",30500
63000,700,1000,"sd","10:50:48",29800
63000,700,300,"sd","10:49:58",28800
63000,700,700,"sd","10:48:00",28500
63000,700,5000,"sd","10:44:33",27800
63000,700,3500,"sd","10:43:24",22800
63000,700,100,"bu","10:40:21",19300
63000,700,300,"bu","10:38:57",19200
63000,700,6100,"sd","10:38:56",18900
63100,800,100,"bu","10:26:01",12800
63100,800,100,"sd","10:24:18",12700
63100,800,100,"sd","10:15:36",12600
63100,800,100,"sd","10:11:30",12500
63100,800,100,"bu","10:11:15",12400
63100,800,900,"sd","10:10:01",12300
63100,800,200,"sd","10:09:28",11400
63200,900,800,"sd","10:04:34",11200
63200,900,200,"sd","09:58:33",10400
63200,900,300,"sd","09:54:24",10200
63200,900,500,"sd","09:53:49",9900
63200,900,100,"bu","09:52:36",9400
63200,900,300,"bu","09:51:57",9300
63000,700,200,"bu","09:51:14",9000
63000,700,400,"unknown","09:49:30",8800
63000,700,400,"bu","09:48:34",8400
63000,700,1000,"unknown","09:47:55",8000
63000,700,100,"sd","09:42:14",7000
63000,700,200,"sd","09:40:44",6900
63000,700,100,"bu","09:40:24",6700
63000,700,100,"bu","09:37:59",6600
63000,700,100,"bu","09:36:19",6500
63000,700,700,"bu","09:34:47",6400
63000,700,100,"bu","09:30:53",5700
63000,700,300,"sd","09:30:44",5600
62600,300,1500,"sd","09:30:01",5300
63000,700,900,"unknown","09:26:44",3800
63000,700,100,"bu","09:25:55",2900
62600,300,300,"sd","09:23:56",2800
62600,300,500,"sd","09:22:46",2500
62600,300,100,"sd","09:22:33",2000
62600,300,500,"bu","09:21:13",1900
62500,200,400,"sd","09:20:53",1400
62500,200,100,"bu","09:20:20",1000
62500,200,100,"sd","09:19:08",900
62600,300,300,"bu","09:17:51",800
63900,1600,500,"bu","09:01:31",500
