"price","change","match_qtty","side","time","total_vol"
27100,-600,13200,"sd","14:45:00",43700
27400,-300,400,"sd","14:26:30",30500
27400,-300,1000,"sd","14:16:58",30100
27700,0,100,"bu","14:10:39",29100
27500,-200,1000,"sd","14:06:49",29000
27500,-200,200,"sd","14:06:17",28000
27700,0,2000,"bu","13:56:09",27800
27500,-200,2000,"bu","13:54:54",25800
27500,-200,100,"bu","13:52:00",23800
27500,-200,1000,"bu","13:49:22",23700
27400,-300,100,"bu","13:49:08",22700
27400,-300,100,"bu","13:44:28",22600
27400,-300,1000,"bu","13:35:07",22500
27300,-400,700,"sd","13:32:19",21500
27300,-400,1200,"sd","13:27:06",20800
27300,-400,100,"unknown","13:00:14",19600
27300,-400,500,"unknown","13:00:08",19500
27400,-300,1000,"unknown","13:00:04",19000
27400,-300,1000,"bu","11:19:14",18000
27400,-300,1000,"bu","11:13:42",17000
27400,-300,100,"bu","11:10:16",16000
27400,-300,100,"bu","10:52:50",15900
27300,-400,900,"sd","10:51:38",15800
27400,-300,500,"bu","10:51:19",14900
27400,-300,800,"sd","10:49:59",14400
27400,-300,100,"sd","10:48:48",13600
27400,-300,100,"sd","10:46:08",13500
27400,-300,1100,"sd","10:44:52",13400
27500,-200,100,"bu","10:34:54",12300
27400,-300,2000,"sd","10:29:32",12200
27500,-200,500,"bu","10:22:22",10200
27500,-200,300,"bu","10:22:00",9700
27400,-300,800,"sd","10:09:28",9400
27600,-100,500,"bu","10:01:02",8600
27500,-200,200,"sd","10:00:25",8100
27500,-200,500,"sd","09:52:22",7900
27500,-200,300,"bu","09:50:17",7400
27500,-200,100,"bu","09:48:52",7100
27500,-200,200,"bu","09:48:30",7000
27500,-200,100,"bu","09:48:19",6800
27500,-200,100,"bu","09:38:56",6700
27500,-200,500,"unknown","09:33:15",6600
27500,-200,200,"sd","09:33:02",6100
27500,-200,400,"sd","09:25:35",5900
27900,200,3000,"bu","09:14:42",5500
27400,-300,1200,"sd","09:11:54",2500
27400,-300,700,"sd","09:11:53",1300
27500,-200,100,"sd","09:08:47",600
28000,300,500,"bu","09:00:10",500
