"price","change","match_qtty","side","time","total_vol"
8600,-100,3000,"sd","14:45:01",109600
8700,0,600,"bu","13:26:30",106600
8700,0,500,"bu","13:25:39",106000
8600,-100,100,"bu","13:15:46",105500
8600,-100,6000,"bu","13:14:50",105400
8600,-100,500,"bu","13:13:55",99400
8600,-100,7200,"sd","13:07:19",98900
8600,-100,12800,"sd","13:06:51",91700
8500,-200,2900,"bu","13:06:35",78900
8500,-200,10100,"sd","13:06:13",76000
8500,-200,9900,"bu","13:05:59",65900
8600,-100,300,"bu","13:05:40",56000
8600,-100,800,"sd","13:00:13",55700
8600,-100,1900,"bu","10:07:49",54900
8600,-100,1900,"sd","10:06:06",53000
8600,-100,2000,"sd","10:06:01",51100
8600,-100,2000,"sd","10:05:54",49100
8600,-100,2000,"sd","10:05:48",47100
8700,0,1600,"sd","09:53:19",45100
8700,0,3400,"bu","09:53:04",43500
8700,0,6000,"bu","09:52:52",40100
8600,-100,7200,"bu","09:52:25",34100
8600,-100,7800,"sd","09:52:06",26900
8700,0,600,"sd","09:51:50",19100
8700,0,5900,"bu","09:50:41",18500
8600,-100,5200,"bu","09:50:27",12600
8600,-100,500,"bu","09:29:30",7400
8600,-100,4300,"sd","09:01:46",6900
8700,0,600,"bu","09:01:43",2600
8700,0,2000,"bu","09:01:33",2000
