"price","change","match_qtty","side","time","total_vol"
6400,0,100,"bu","14:20:19",60100
6400,0,100,"unknown","14:09:51",60000
6400,0,200,"sd","14:06:12",59900
6400,0,200,"sd","13:55:14",59700
6400,0,400,"sd","13:47:22",59500
6400,0,400,"sd","13:42:52",59100
6400,0,1000,"sd","13:33:19",58700
6500,100,100,"bu","13:25:44",57700
6400,0,1000,"unknown","13:23:48",57600
6400,0,300,"unknown","13:10:22",56600
6400,0,100,"bu","13:10:13",56300
6400,0,1600,"bu","13:10:05",56200
6400,0,1700,"bu","13:06:59",54600
6500,100,100,"bu","11:25:33",52900
6400,0,8300,"sd","11:24:54",52800
6400,0,200,"bu","11:24:01",44500
6400,0,600,"sd","11:19:46",44300
6500,100,100,"bu","11:18:26",43700
6400,0,9900,"sd","11:18:06",43600
6400,0,500,"bu","11:09:49",33700
6400,0,5000,"bu","11:09:08",33200
6400,0,5000,"bu","10:58:11",28200
6400,0,100,"bu","10:57:08",23200
6300,-100,3200,"sd","10:55:11",23100
6400,0,400,"bu","10:52:23",19900
6400,0,2000,"bu","10:47:27",19500
6400,0,3000,"bu","10:33:41",17500
6400,0,1000,"bu","10:33:08",14500
6400,0,100,"bu","10:29:14",13500
6400,0,3600,"bu","10:13:37",13400
6400,0,100,"bu","10:00:01",9800
6400,0,500,"sd","09:58:15",9700
6400,0,200,"bu","09:56:34",9200
6400,0,800,"sd","09:56:05",9000
6400,0,100,"sd","09:46:51",8200
6400,0,200,"sd","09:46:08",8100
6400,0,500,"bu","09:41:54",7900
6400,0,500,"unknown","09:38:32",7400
6400,0,500,"bu","09:38:13",6900
6400,0,1000,"bu","09:32:25",6400
6400,0,1000,"unknown","09:31:07",5400
6400,0,1000,"bu","09:30:42",4400
6400,0,500,"bu","09:23:02",3400
6300,-100,800,"sd","09:21:22",2900
6400,0,100,"sd","09:04:29",2100
6300,-100,2000,"sd","09:03:00",2000
