"price","change","match_qtty","side","time","total_vol"
25800,1300,10600,"bu","14:44:59",318100
25800,1300,3300,"bu","14:29:19",307500
25750,1250,100,"bu","14:28:38",304200
25750,1250,200,"bu","14:28:38",304100
25700,1200,1000,"bu","14:27:58",303900
25700,1200,4300,"sd","14:27:37",302900
25750,1250,200,"bu","14:27:18",298600
25700,1200,200,"sd","14:27:08",298400
25800,1300,400,"bu","14:26:48",298200
25800,1300,1000,"bu","14:26:27",297800
25800,1300,3300,"sd","14:25:45",296800
25800,1300,200,"sd","14:24:42",293500
25800,1300,2500,"sd","14:24:28",293300
25800,1300,900,"bu","14:23:54",290800
25800,1300,1100,"bu","14:23:40",289900
25800,1300,100,"bu","14:23:40",288800
25800,1300,700,"bu","14:23:40",288700
25800,1300,5100,"bu","14:23:40",288000
25800,1300,4900,"bu","14:23:25",282900
25800,1300,100,"bu","14:23:25",278000
25700,1200,100,"bu","14:23:14",277900
25700,1200,300,"bu","14:23:14",277800
25700,1200,100,"bu","14:23:14",277500
25600,1100,100,"sd","14:23:12",277400
25600,1100,100,"bu","14:23:03",277300
25600,1100,1000,"bu","14:23:03",277200
25600,1100,100,"bu","14:23:03",276200
25550,1050,300,"sd","14:21:54",276100
25550,1050,200,"sd","14:19:26",275800
25550,1050,500,"bu","14:18:07",275600
25500,1000,900,"bu","14:16:58",275100
25500,1000,600,"bu","14:16:58",274200
25500,1000,2000,"bu","14:16:44",273600
25500,1000,400,"bu","14:16:12",271600
25500,1000,300,"bu","14:16:12",271200
25500,1000,100,"bu","14:16:12",270900
25500,1000,100,"bu","14:16:12",270800
25500,1000,100,"bu","14:16:12",270700
25500,1000,900,"bu","14:16:07",270600
25500,1000,100,"bu","14:16:07",269700
25500,1000,200,"bu","14:16:07",269600
25500,1000,100,"bu","14:16:07",269400
25500,1000,700,"bu","14:16:07",269300
25500,1000,4300,"bu","14:15:21",268600
25500,1000,1700,"bu","14:15:21",264300
25500,1000,400,"bu","14:14:34",262600
25500,1000,500,"bu","14:14:14",262200
25450,950,1700,"bu","14:13:54",261700
25400,900,1000,"sd","14:13:46",260000
25500,1000,200,"bu","14:13:09",259000
25500,1000,200,"bu","14:13:08",258800
25500,1000,100,"bu","14:13:08",258600
25500,1000,500,"bu","14:12:08",258500
25500,1000,1100,"bu","14:12:08",258000
25500,1000,900,"bu","14:11:45",256900
25500,1000,4000,"bu","14:11:45",256000
25500,1000,100,"bu","14:11:45",252000
25400,900,100,"bu","14:11:10",251900
25400,900,500,"bu","14:11:10",251800
25400,900,2000,"bu","14:11:10",251300
25400,900,100,"bu","14:11:10",249300
25350,850,200,"sd","14:10:37",249200
25350,850,1000,"sd","14:06:23",249000
25350,850,1000,"sd","14:06:23",248000
25350,850,200,"sd","14:06:09",247000
25350,850,100,"sd","14:05:52",246800
25400,900,400,"bu","14:03:16",246700
25350,850,500,"sd","14:02:54",246300
25350,850,500,"sd","14:02:35",245800
25350,850,200,"sd","14:02:27",245300
25400,900,600,"bu","14:01:30",245100
25400,900,1700,"sd","14:00:21",244500
25450,950,100,"sd","14:00:21",242800
25450,950,100,"bu","14:00:21",242700
25450,950,300,"bu","14:00:21",242600
25400,900,100,"bu","14:00:08",242300
25350,850,300,"sd","14:00:06",242200
25350,850,200,"bu","13:59:51",241900
25300,800,100,"bu","13:55:20",241700
25300,800,100,"bu","13:55:20",241600
25300,800,500,"bu","13:53:59",241500
25250,750,100,"sd","13:50:57",241000
25300,800,200,"bu","13:47:32",240900
25300,800,500,"bu","13:47:32",240700
25300,800,300,"bu","13:47:32",240200
25300,800,2700,"bu","13:44:40",239900
25300,800,2000,"bu","13:44:40",237200
25300,800,100,"bu","13:44:40",235200
25300,800,100,"bu","13:44:40",235100
25300,800,100,"bu","13:44:40",235000
25250,750,400,"bu","13:44:12",234900
25250,750,2100,"bu","13:44:12",234500
25250,750,100,"bu","13:42:43",232400
25200,700,300,"sd","13:41:30",232300
25250,750,4500,"sd","13:40:55",232000
25250,750,500,"bu","13:40:44",227500
25250,750,500,"sd","13:38:58",227000
25250,750,500,"sd","13:38:58",226500
25250,750,500,"sd","13:35:38",226000
25250,750,400,"sd","13:35:38",225500
25250,750,100,"bu","13:30:54",225100
25250,750,500,"bu","13:30:54",225000
25250,750,2500,"bu","13:29:59",224500
25250,750,300,"bu","13:29:59",222000
25250,750,300,"bu","13:29:59",221700
25250,750,100,"bu","13:29:59",221400
25250,750,100,"bu","13:29:59",221300
25250,750,500,"bu","13:29:59",221200
25250,750,500,"bu","13:29:59",220700
25250,750,100,"bu","13:29:59",220200
25250,750,100,"bu","13:29:59",220100
25250,750,500,"bu","13:29:59",220000
25200,700,700,"bu","13:29:50",219500
25200,700,1000,"bu","13:29:50",218800
25200,700,1000,"bu","13:29:50",217800
25200,700,1900,"bu","13:29:50",216800
25200,700,200,"sd","13:27:46",214900
25200,700,2900,"sd","13:27:46",214700
25200,700,100,"sd","13:22:01",211800
25200,700,1000,"bu","13:20:32",211700
25200,700,1000,"bu","13:20:32",210700
25150,650,100,"sd","13:20:19",209700
25200,700,1000,"bu","13:18:41",209600
25200,700,500,"bu","13:18:41",208600
25200,700,1000,"bu","13:18:41",208100
25200,700,100,"bu","13:18:41",207100
25200,700,900,"bu","13:18:41",207000
25200,700,1500,"bu","13:18:41",206100
25200,700,500,"bu","13:11:13",204600
25200,700,2500,"bu","13:11:13",204100
25200,700,1000,"bu","13:11:13",201600
25200,700,1000,"bu","13:11:13",200600
25000,500,100,"sd","13:07:28",199600
25000,500,100,"sd","13:06:33",199500
25000,500,400,"sd","13:05:52",199400
25000,500,100,"sd","13:02:32",199000
25000,500,400,"bu","13:01:24",198900
25000,500,100,"sd","13:00:12",198500
25000,500,200,"sd","13:00:08",198400
25000,500,500,"sd","13:00:02",198200
25000,500,500,"sd","11:29:19",197700
25000,500,1000,"sd","11:29:19",197200
25000,500,1900,"sd","11:27:46",196200
25000,500,1000,"sd","11:27:33",194300
25050,550,500,"sd","11:26:32",193300
25050,550,1000,"sd","11:26:31",187800
25050,550,5000,"sd","11:26:31",192800
25100,600,1000,"sd","11:25:19",186800
25100,600,5000,"sd","11:24:42",185800
25100,600,700,"sd","11:19:49",180800
25100,600,300,"bu","11:19:30",180100
25100,600,2400,"sd","11:19:28",179800
25200,700,600,"sd","11:18:57",177400
25200,700,100,"bu","11:18:16",176800
25200,700,200,"bu","11:18:16",176700
25200,700,2000,"bu","11:18:16",176500
25200,700,2000,"bu","11:18:16",174500
25200,700,100,"bu","11:18:16",172500
25200,700,100,"bu","11:06:57",172400
25200,700,100,"sd","11:05:58",172300
25200,700,200,"sd","11:05:51",172200
25200,700,1700,"bu","11:03:35",172000
25200,700,3300,"bu","11:03:30",170300
25200,700,1400,"bu","11:03:30",167000
25200,700,300,"bu","11:03:30",165600
25200,700,4200,"bu","11:03:20",165300
25200,700,800,"bu","11:03:20",161100
25200,700,1200,"bu","11:03:11",160300
25200,700,1000,"bu","11:03:11",159100
25200,700,1000,"bu","11:03:11",158100
25200,700,1800,"bu","11:03:11",157100
25200,700,200,"bu","11:03:01",155300
25200,700,2000,"bu","11:03:01",155100
25200,700,1800,"bu","11:03:01",153100
25150,650,1000,"bu","11:03:01",151300
25150,650,300,"bu","11:01:18",150300
25200,700,3200,"bu","10:50:46",150000
25200,700,100,"bu","10:50:46",146800
25200,700,100,"bu","10:50:46",146700
25200,700,1000,"bu","10:50:46",146600
25200,700,600,"bu","10:50:46",145600
25100,600,2000,"bu","10:50:33",145000
25100,600,600,"bu","10:50:33",143000
25100,600,1400,"sd","10:41:47",142400
25100,600,500,"sd","10:41:04",141000
25100,600,500,"sd","10:40:50",140500
25100,600,100,"sd","10:39:59",140000
25100,600,100,"bu","10:36:11",139900
