"price","change","match_qtty","side","time","total_vol"
13300,-100,500,"unknown","13:29:32",296300
13800,400,500,"unknown","13:28:31",295800
13900,500,247600,"bu","13:21:08",295300
13900,500,4400,"sd","13:21:05",47700
13800,400,2600,"unknown","13:08:11",43300
13800,400,600,"unknown","13:06:29",40700
13100,-300,2300,"unknown","13:06:25",40100
13100,-300,16000,"sd","13:06:17",37800
13800,400,4500,"bu","13:03:57",21800
13700,300,1000,"unknown","11:14:34",17300
13700,300,1000,"bu","10:41:02",16300
13500,100,500,"unknown","10:40:46",15300
13400,0,100,"bu","10:40:31",14800
13300,-100,300,"sd","10:35:49",14700
13900,500,100,"bu","10:34:19",14400
13900,500,2700,"bu","10:32:11",14300
13300,-100,500,"unknown","09:37:25",11600
13900,500,500,"bu","09:36:25",11100
13300,-100,1500,"unknown","09:34:15",10600
13900,500,500,"bu","09:31:23",9100
13900,500,900,"bu","09:25:28",8600
13800,400,4300,"bu","09:20:16",7700
13700,300,1200,"bu","09:11:07",3400
13700,300,2200,"bu","09:07:40",2200
