"price","change","match_qtty","side","time","total_vol"
27200,100,100,"bu","14:47:17",11100
27200,100,2000,"bu","14:44:20",11000
27100,0,1600,"bu","14:20:55",9000
27100,0,400,"bu","14:20:28",7400
27100,0,1000,"unknown","14:15:11",7000
27000,-100,400,"sd","14:06:14",6000
27100,0,1000,"unknown","13:36:01",5600
27100,0,1000,"unknown","13:32:54",4600
27100,0,1000,"bu","13:29:44",3600
27200,100,100,"unknown","11:12:10",2600
27100,0,1200,"sd","11:09:32",2500
27200,100,1000,"bu","10:12:04",1300
27100,0,200,"sd","10:09:05",300
27100,0,100,"sd","09:52:07",100
