"price","change","match_qtty","side","time","total_vol"
43700,1900,200,"bu","14:59:54",1123500
43700,1900,1000,"bu","14:59:49",1123300
43700,1900,200,"bu","14:59:44",1122300
43600,1800,900,"bu","14:59:36",1122100
43600,1800,100,"bu","14:59:31",1121200
43700,1900,500,"bu","14:59:26",1121100
43600,1800,1300,"sd","14:59:14",1120600
43700,1900,600,"bu","14:59:13",1119300
43700,1900,500,"bu","14:58:45",1118700
43600,1800,1000,"sd","14:58:37",1118200
43600,1800,500,"sd","14:58:36",1117200
43600,1800,100,"sd","14:58:14",1116700
43700,1900,900,"bu","14:57:55",1116600
43600,1800,100,"sd","14:57:38",1115700
43700,1900,500,"bu","14:55:48",1115600
43700,1900,1000,"bu","14:55:23",1115100
43600,1800,500,"bu","14:55:15",1114100
43600,1800,2700,"sd","14:54:32",1113600
43600,1800,8400,"sd","14:52:25",1110900
43600,1800,1000,"bu","14:49:19",1102500
43500,1700,1400,"sd","14:49:08",1101500
43500,1700,600,"bu","14:48:42",1100100
43500,1700,100,"bu","14:48:21",1099500
43500,1700,2900,"sd","14:46:23",1099400
43500,1700,1800,"sd","14:46:11",1096500
43500,1700,300,"sd","14:46:05",1094700
43500,1700,500,"bu","14:45:16",1094400
43500,1700,500,"bu","14:44:20",1093900
43400,1600,300,"sd","14:43:18",1093400
43500,1700,200,"bu","14:42:52",1093100
43500,1700,1000,"bu","14:42:44",1092900
43500,1700,400,"bu","14:42:16",1091900
43500,1700,1000,"bu","14:40:57",1091500
43500,1700,100,"bu","14:40:39",1090500
43500,1700,100,"bu","14:40:09",1090400
43500,1700,100,"bu","14:38:42",1090300
43500,1700,100,"bu","14:37:39",1090200
43500,1700,1000,"bu","14:37:37",1090100
43500,1700,200,"bu","14:37:15",1089100
43500,1700,100,"bu","14:36:50",1088900
43500,1700,100,"sd","14:36:13",1088800
43500,1700,4900,"bu","14:36:02",1088700
43500,1700,1000,"bu","14:35:14",1083800
43500,1700,1000,"bu","14:34:13",1082800
43500,1700,3100,"bu","14:33:40",1081800
43500,1700,1200,"bu","14:32:34",1078700
43500,1700,700,"bu","14:32:03",1077500
43500,1700,400,"bu","14:31:56",1076800
43500,1700,300,"bu","14:28:57",1076400
43400,1600,200,"sd","14:28:44",1076100
43500,1700,800,"bu","14:27:43",1075900
43500,1700,1800,"sd","14:27:04",1075100
43400,1600,5000,"sd","14:26:50",1073300
43500,1700,1000,"bu","14:26:41",1068300
43500,1700,5200,"bu","14:25:11",1067300
43600,1800,400,"sd","14:25:05",1062100
43600,1800,100,"sd","14:24:56",1061700
43700,1900,2000,"bu","14:24:38",1061600
43700,1900,500,"bu","14:24:26",1059600
43600,1800,500,"sd","14:24:12",1059100
43600,1800,200,"sd","14:23:55",1058600
43600,1800,500,"sd","14:22:53",1058400
43600,1800,1500,"sd","14:22:49",1057900
43600,1800,1300,"sd","14:21:44",1056400
43600,1800,100,"sd","14:21:04",1055100
43700,1900,200,"bu","14:20:26",1055000
43600,1800,900,"sd","14:19:59",1054800
43600,1800,300,"sd","14:18:45",1053900
43600,1800,17300,"sd","14:18:37",1053600
43600,1800,300,"bu","14:17:12",1036300
43500,1700,700,"sd","14:16:47",1036000
43600,1800,100,"bu","14:15:40",1035300
43600,1800,1000,"bu","14:15:22",1035200
43600,1800,500,"bu","14:12:49",1034200
