"price","change","match_qtty","side","time","total_vol"
22400,-200,2000,"bu","14:54:58",112700
22400,-200,1000,"bu","14:53:18",110700
22400,-200,200,"bu","14:41:40",109700
22300,-300,5000,"sd","14:35:42",109500
22300,-300,5000,"sd","14:35:10",104500
22300,-300,500,"sd","14:31:09",99500
22300,-300,2300,"sd","14:30:36",99000
22300,-300,5000,"sd","14:30:27",96700
22300,-300,1000,"sd","14:29:54",91700
22400,-200,2000,"bu","14:29:30",90700
22400,-200,100,"bu","14:29:20",88700
22300,-300,10000,"sd","14:27:17",88600
22300,-300,500,"sd","14:23:57",78600
22300,-300,100,"sd","14:23:33",78100
22300,-300,6500,"sd","14:16:07",78000
22400,-200,100,"bu","14:11:54",71500
22400,-200,300,"unknown","14:08:35",71400
22400,-200,700,"bu","14:08:08",71100
22400,-200,300,"sd","14:06:48",70400
22400,-200,200,"sd","14:00:13",70100
22400,-200,100,"unknown","13:54:44",69900
22400,-200,500,"sd","13:54:25",69800
22400,-200,1300,"unknown","13:49:34",69300
22400,-200,200,"bu","13:49:02",68000
22400,-200,100,"bu","13:48:54",67800
22400,-200,400,"bu","13:48:01",67700
22400,-200,2000,"bu","13:47:29",67300
22300,-300,3200,"sd","13:42:17",65300
22400,-200,1000,"sd","13:39:36",62100
22400,-200,500,"sd","13:38:17",61100
22500,-100,100,"sd","13:28:44",60600
22500,-100,5900,"sd","13:28:14",60500
22500,-100,600,"sd","13:27:18",54600
22600,0,3100,"sd","13:25:30",54000
22600,0,200,"sd","13:23:11",50900
22600,0,1700,"sd","13:20:17",50700
22600,0,2500,"sd","13:19:13",49000
22600,0,300,"sd","13:16:47",46500
22600,0,100,"sd","13:16:26",46200
22600,0,3000,"sd","13:14:37",46100
22700,100,700,"bu","13:07:41",43100
22700,100,200,"bu","13:04:04",42400
22700,100,1500,"unknown","13:00:04",42200
22700,100,1100,"unknown","13:00:03",40700
22800,200,1600,"sd","11:05:56",39600
22800,200,600,"sd","10:59:57",38000
22800,200,700,"sd","10:59:17",37400
22800,200,400,"sd","10:54:11",36700
22800,200,200,"sd","10:48:03",36300
22800,200,1200,"bu","10:43:35",36100
22800,200,100,"bu","10:43:26",34900
22700,100,500,"sd","10:39:08",34800
22700,100,300,"sd","10:36:46",34300
22700,100,2800,"sd","10:26:00",34000
22700,100,1000,"bu","10:24:00",31200
22700,100,100,"bu","10:17:18",30200
22600,0,4000,"sd","10:14:58",30100
22600,0,2000,"sd","10:12:47",26100
22700,100,100,"bu","10:05:34",24100
22700,100,100,"bu","09:57:20",24000
22700,100,100,"bu","09:57:12",23900
22700,100,300,"bu","09:56:50",23800
22700,100,100,"bu","09:53:51",23500
22700,100,1700,"bu","09:53:33",23400
22600,0,300,"sd","09:47:28",21700
22600,0,300,"bu","09:46:50",21400
22600,0,4400,"sd","09:45:56",21100
22700,100,1800,"sd","09:44:12",16700
22700,100,2400,"sd","09:42:43",14900
22700,100,200,"sd","09:39:54",12500
22700,100,500,"bu","09:38:06",12300
22700,100,1800,"sd","09:31:34",11800
22700,100,1800,"sd","09:30:18",10000
22700,100,500,"sd","09:26:23",8200
23000,400,900,"bu","09:26:14",7700
23000,400,100,"bu","09:21:31",6800
23000,400,2000,"sd","09:21:06",6700
23000,400,300,"sd","09:20:53",4700
23100,500,300,"bu","09:20:32",4400
23100,500,100,"bu","09:15:46",4100
23000,400,400,"sd","09:14:38",4000
23000,400,900,"bu","09:13:14",3600
22800,200,500,"sd","09:12:56",2700
22800,200,500,"sd","09:12:38",2200
23000,400,500,"sd","09:11:25",1700
22700,100,200,"bu","09:01:16",1200
22700,100,1000,"bu","09:00:10",1000
