"price","change","match_qtty","side","time","total_vol"
62300,200,623000,"unknown","14:45:01",13059400
62100,0,200,"bu","14:29:58",12436400
62100,0,500,"bu","14:29:56",12436200
62100,0,500,"bu","14:29:56",12435700
62100,0,100,"bu","14:29:55",12435200
62100,0,5000,"bu","14:29:55",12435100
62000,-100,1000,"sd","14:29:53",12430100
62100,0,4400,"bu","14:29:52",12429100
62100,0,100,"bu","14:29:52",12424700
62100,0,1600,"bu","14:29:52",12424600
62100,0,500,"bu","14:29:52",12423000
62100,0,300,"bu","14:29:52",12422500
62100,0,500,"bu","14:29:52",12422200
62100,0,100,"bu","14:29:52",12421700
62100,0,300,"bu","14:29:52",12421600
62100,0,2200,"bu","14:29:52",12421300
62100,0,500,"bu","14:29:52",12419100
62000,-100,400,"sd","14:29:52",12418600
62100,0,300,"bu","14:29:52",12418200
62100,0,300,"bu","14:29:52",12417900
62100,0,300,"bu","14:29:52",12417600
62100,0,100,"bu","14:29:52",12417300
62100,0,100,"bu","14:29:52",12417200
62100,0,100,"bu","14:29:52",12417100
62100,0,1000,"bu","14:29:52",12417000
62100,0,800,"bu","14:29:52",12416000
62100,0,100,"bu","14:29:49",12415200
62100,0,100,"bu","14:29:48",12415100
62100,0,100,"bu","14:29:48",12415000
62100,0,400,"bu","14:29:47",12414900
62100,0,400,"bu","14:29:47",12414500
62100,0,1000,"bu","14:29:45",12414100
62100,0,4000,"bu","14:29:45",12413100
62100,0,5000,"bu","14:29:45",12409100
62100,0,10000,"bu","14:29:44",12404100
62100,0,2000,"bu","14:29:43",12394100
62100,0,19000,"bu","14:29:36",12392100
62000,-100,900,"sd","14:29:35",12373100
62000,-100,400,"sd","14:29:35",12372200
62000,-100,100,"sd","14:29:35",12371800
62000,-100,900,"sd","14:29:35",12371700
62000,-100,100,"sd","14:29:35",12370800
62000,-100,500,"sd","14:29:35",12370700
62000,-100,100,"sd","14:29:35",12370200
62000,-100,100,"sd","14:29:35",12370100
62000,-100,400,"sd","14:29:35",12370000
62000,-100,200,"sd","14:29:35",12369600
62000,-100,100,"sd","14:29:35",12369400
62000,-100,100,"sd","14:29:35",12369300
62000,-100,300,"sd","14:29:35",12369200
62000,-100,100,"sd","14:29:35",12368900
62000,-100,600,"sd","14:29:35",12368800
62000,-100,300,"sd","14:29:35",12368200
62000,-100,500,"sd","14:29:35",12367900
62000,-100,1000,"sd","14:29:35",12367400
62000,-100,500,"sd","14:29:35",12366400
62000,-100,1500,"sd","14:29:35",12365900
62000,-100,300,"sd","14:29:35",12364400
62100,0,100,"bu","14:29:35",12364100
62100,0,200,"bu","14:29:34",12364000
62100,0,100,"bu","14:29:33",12363800
62100,0,1000,"bu","14:29:33",12363700
62000,-100,500,"sd","14:29:32",12362700
62000,-100,200,"sd","14:29:32",12362200
62000,-100,800,"sd","14:29:32",12362000
62100,0,100,"bu","14:29:31",12361200
62000,-100,200,"sd","14:29:31",12361100
62000,-100,100,"sd","14:29:31",12360900
62000,-100,100,"sd","14:29:31",12360800
62000,-100,200,"sd","14:29:31",12360700
62000,-100,500,"sd","14:29:31",12360500
62000,-100,5000,"sd","14:29:31",12360000
62000,-100,400,"sd","14:29:31",12355000
62000,-100,1200,"sd","14:29:31",12354600
62100,0,200,"bu","14:29:31",12353400
62000,-100,400,"sd","14:29:30",12353200
62000,-100,100,"sd","14:29:30",12352800
62100,0,1000,"bu","14:29:30",12352700
62100,0,200,"bu","14:29:28",12351700
62100,0,100,"bu","14:29:28",12351500
62100,0,500,"bu","14:29:27",12351400
62000,-100,100,"sd","14:29:26",12350900
62000,-100,500,"sd","14:29:25",12350800
62100,0,900,"bu","14:29:23",12350300
62000,-100,200,"sd","14:29:21",12349400
62000,-100,1000,"sd","14:29:21",12349200
62000,-100,500,"sd","14:29:21",12348200
62000,-100,100,"sd","14:29:21",12347700
62000,-100,100,"sd","14:29:21",12347600
62000,-100,500,"sd","14:29:21",12347500
62000,-100,100,"sd","14:29:21",12347000
62000,-100,400,"sd","14:29:21",12346900
62000,-100,400,"sd","14:29:21",12346500
62000,-100,1300,"sd","14:29:21",12346100
62100,0,200,"bu","14:29:18",12344800
62100,0,10000,"bu","14:29:15",12344600
62000,-100,700,"sd","14:29:14",12334600
62000,-100,100,"sd","14:29:14",12333900
62000,-100,200,"sd","14:29:14",12333800
62000,-100,1900,"sd","14:29:13",12333600
62000,-100,400,"sd","14:29:13",12331700
62000,-100,1000,"sd","14:29:13",12331300
62000,-100,500,"sd","14:29:13",12330300
62000,-100,1900,"sd","14:29:12",12329800
62000,-100,2600,"sd","14:29:12",12327900
62000,-100,100,"sd","14:29:12",12325300
62000,-100,200,"sd","14:29:12",12325200
62000,-100,100,"sd","14:29:12",12325000
62000,-100,100,"sd","14:29:12",12324900
62000,-100,200,"sd","14:29:12",12324800
62000,-100,100,"sd","14:29:12",12324600
62000,-100,100,"sd","14:29:12",12324500
62000,-100,100,"sd","14:29:12",12324400
62000,-100,200,"sd","14:29:12",12324300
62000,-100,100,"sd","14:29:05",12324100
62000,-100,100,"sd","14:29:05",12324000
62000,-100,100,"sd","14:29:05",12323900
62000,-100,100,"sd","14:29:05",12323800
62000,-100,600,"sd","14:29:05",12323700
62000,-100,5000,"sd","14:29:04",12323100
62100,0,300,"bu","14:29:03",12318100
62100,0,2500,"bu","14:29:02",12317800
62000,-100,1000,"sd","14:29:01",12315300
62100,0,1000,"bu","14:29:00",12314300
62100,0,600,"bu","14:28:58",12313300
62100,0,200,"bu","14:28:58",12312700
62100,0,800,"bu","14:28:56",12312500
62000,-100,200,"sd","14:28:54",12311700
62000,-100,100,"sd","14:28:48",12311500
62000,-100,3100,"sd","14:28:48",12311400
62000,-100,200,"sd","14:28:48",12308300
62000,-100,8400,"sd","14:28:48",12308100
62000,-100,500,"sd","14:28:48",12299700
62000,-100,2000,"sd","14:28:48",12299200
62000,-100,1500,"sd","14:28:48",12297200
62000,-100,800,"sd","14:28:48",12295700
62000,-100,200,"sd","14:28:48",12294900
62000,-100,2000,"sd","14:28:48",12294700
62000,-100,100,"sd","14:28:48",12292700
62000,-100,300,"sd","14:28:48",12292600
62000,-100,100,"sd","14:28:48",12292300
62000,-100,200,"sd","14:28:48",12292200
62000,-100,300,"sd","14:28:48",12292000
62000,-100,2500,"sd","14:28:48",12291700
62000,-100,500,"sd","14:28:48",12289200
62000,-100,100,"sd","14:28:48",12288700
62000,-100,300,"sd","14:28:48",12288600
62000,-100,500,"sd","14:28:48",12288300
62000,-100,100,"sd","14:28:46",12287800
62000,-100,500,"sd","14:28:46",12287700
62000,-100,1100,"sd","14:28:46",12287200
62000,-100,400,"sd","14:28:46",12286100
62000,-100,100,"sd","14:28:46",12285700
62000,-100,300,"sd","14:28:46",12285600
62000,-100,600,"sd","14:28:46",12285300
62000,-100,100,"sd","14:28:46",12284700
62000,-100,100,"sd","14:28:46",12284600
62000,-100,300,"sd","14:28:46",12284500
62000,-100,100,"sd","14:28:46",12284200
62000,-100,1000,"sd","14:28:46",12284100
62000,-100,1000,"sd","14:28:46",12283100
62000,-100,100,"sd","14:28:46",12282100
62000,-100,1300,"sd","14:28:46",12282000
62000,-100,500,"sd","14:28:46",12280700
62100,0,100,"bu","14:28:45",12280200
62100,0,100,"bu","14:28:44",12280100
62000,-100,100,"sd","14:28:42",12280000
62000,-100,100,"sd","14:28:41",12279900
62000,-100,900,"sd","14:28:41",12279800
