"price","change","match_qtty","side","time","total_vol"
67000,1700,27200,"unknown","14:44:59",904000
66700,1400,400,"sd","14:29:15",876800
66700,1400,600,"sd","14:29:15",876400
66700,1400,100,"bu","14:29:03",875800
66700,1400,300,"bu","14:29:03",875700
66700,1400,400,"bu","14:29:01",875400
66700,1400,500,"bu","14:28:57",875000
66700,1400,600,"bu","14:28:51",874500
66700,1400,100,"sd","14:28:47",873900
66700,1400,2000,"sd","14:28:47",873800
66700,1400,100,"sd","14:28:47",871800
66700,1400,200,"sd","14:28:46",871700
66700,1400,200,"sd","14:28:36",871500
66700,1400,1000,"sd","14:28:36",871300
66700,1400,100,"sd","14:28:36",870300
66700,1400,400,"sd","14:28:36",870200
66700,1400,300,"sd","14:28:28",869800
66700,1400,300,"sd","14:28:15",869500
66900,1600,100,"bu","14:27:59",869200
66900,1600,100,"bu","14:27:30",869100
66900,1600,300,"bu","14:27:25",869000
66900,1600,300,"bu","14:26:44",868700
66900,1600,200,"bu","14:26:26",868400
66900,1600,200,"bu","14:25:01",868200
66900,1600,100,"bu","14:23:12",868000
66800,1500,3300,"sd","14:22:17",867900
66800,1500,600,"sd","14:22:17",864600
66800,1500,100,"sd","14:22:17",864000
66900,1600,500,"bu","14:22:01",863900
66900,1600,200,"bu","14:22:01",863400
66900,1600,300,"bu","14:22:01",863200
66900,1600,100,"bu","14:22:01",862900
66900,1600,200,"bu","14:22:01",862800
66900,1600,1400,"bu","14:22:01",862600
66900,1600,600,"bu","14:21:37",861200
66900,1600,500,"bu","14:21:36",860600
66900,1600,300,"bu","14:21:26",860100
66900,1600,100,"bu","14:21:26",859800
66900,1600,300,"bu","14:21:26",859700
66900,1600,100,"bu","14:21:26",859400
66900,1600,400,"bu","14:21:26",859300
66900,1600,100,"bu","14:21:26",858900
66900,1600,300,"bu","14:21:26",858800
66900,1600,400,"bu","14:21:13",858500
66900,1600,100,"bu","14:20:40",858100
66800,1500,600,"sd","14:20:36",858000
66800,1500,200,"sd","14:20:35",857400
66800,1500,100,"sd","14:20:13",857200
66800,1500,300,"sd","14:20:08",857100
66800,1500,500,"bu","14:19:55",856800
66800,1500,500,"bu","14:19:55",856300
66800,1500,100,"bu","14:19:55",855800
66800,1500,100,"bu","14:19:55",855700
66800,1500,200,"bu","14:19:55",855600
66800,1500,100,"bu","14:17:28",855400
66800,1500,400,"sd","14:17:26",855300
66800,1500,100,"sd","14:17:26",854900
66800,1500,900,"sd","14:17:15",854800
66800,1500,1000,"sd","14:17:15",853900
66800,1500,100,"sd","14:17:15",852900
66800,1500,3000,"sd","14:17:12",852800
66800,1500,500,"sd","14:17:10",849800
66800,1500,1000,"sd","14:17:00",849300
66800,1500,400,"sd","14:16:54",848300
66800,1500,100,"sd","14:16:54",847900
66800,1500,700,"sd","14:16:51",847800
66800,1500,200,"sd","14:16:47",847100
66900,1600,200,"bu","14:16:28",846900
66900,1600,300,"sd","14:14:01",846700
66900,1600,500,"sd","14:14:01",846400
66900,1600,200,"sd","14:13:42",845900
66900,1600,500,"sd","14:13:42",845700
66900,1600,400,"sd","14:13:29",845200
66900,1600,1000,"sd","14:13:27",844800
66900,1600,200,"sd","14:13:09",843800
67000,1700,300,"bu","14:12:59",843600
66900,1600,300,"sd","14:12:58",843300
66900,1600,4100,"sd","14:12:58",843000
66900,1600,200,"sd","14:12:46",838900
66900,1600,100,"sd","14:12:38",838700
66900,1600,500,"sd","14:12:37",838600
66900,1600,100,"sd","14:12:37",838100
66900,1600,100,"bu","14:12:16",838000
66900,1600,100,"bu","14:11:39",837900
66900,1600,900,"bu","14:11:36",837800
66900,1600,100,"bu","14:11:36",836900
66900,1600,300,"bu","14:11:28",836800
66900,1600,100,"bu","14:11:28",836500
66900,1600,400,"bu","14:11:14",836400
66900,1600,100,"bu","14:11:14",836000
66900,1600,400,"sd","14:10:49",835900
66900,1600,500,"bu","14:10:23",835500
66900,1600,100,"bu","14:10:23",835000
66900,1600,100,"bu","14:10:23",834900
66900,1600,3100,"bu","14:10:23",834800
66900,1600,900,"bu","14:10:20",831700
66900,1600,100,"bu","14:10:20",830800
66900,1600,900,"bu","14:10:18",830700
66900,1600,500,"bu","14:09:37",829800
66900,1600,500,"bu","14:09:37",829300
66900,1600,500,"bu","14:09:37",828800
66900,1600,500,"bu","14:09:09",828300
66800,1500,100,"sd","14:08:47",827800
66800,1500,300,"sd","14:08:47",827700
66900,1600,1000,"bu","14:08:44",827400
66800,1500,200,"bu","14:08:22",826400
66800,1500,300,"sd","14:08:14",826200
66800,1500,100,"bu","14:08:01",825900
66800,1500,3000,"bu","14:07:50",825800
