"price","change","match_qtty","side","time","total_vol"
67200,-600,4900,"unknown","14:45:02",74000
67300,-500,600,"sd","14:11:11",69100
67300,-500,500,"sd","14:11:00",68500
67400,-400,600,"unknown","14:10:48",68000
67400,-400,900,"sd","14:10:41",67400
67300,-500,900,"sd","14:05:23",66500
67300,-500,700,"sd","14:05:20",65600
67400,-400,1500,"unknown","14:05:10",64900
67400,-400,1000,"sd","14:05:02",63400
67200,-600,800,"sd","14:04:23",62400
67200,-600,600,"sd","14:04:18",61600
67300,-500,1100,"unknown","14:04:11",61000
67300,-500,900,"sd","14:04:00",59900
67100,-700,700,"sd","14:02:18",59000
67100,-700,1000,"sd","14:02:05",58300
67200,-600,900,"sd","14:01:59",57300
67200,-600,600,"sd","14:01:55",56400
67000,-800,800,"sd","14:01:16",55800
67100,-700,900,"unknown","14:01:10",55000
67100,-700,600,"sd","14:01:02",54100
66900,-900,200,"sd","14:00:15",53500
67000,-800,800,"unknown","14:00:03",53300
67100,-700,500,"sd","13:55:44",52500
67200,-600,900,"unknown","13:55:26",52000
67200,-600,900,"sd","13:55:22",51100
67200,-600,300,"sd","13:35:00",50200
67300,-500,200,"sd","13:34:25",49900
67500,-300,1500,"bu","13:31:02",49700
67500,-300,900,"unknown","13:30:54",48200
67500,-300,700,"bu","13:30:49",47300
67500,-300,600,"unknown","13:29:38",46600
67500,-300,700,"bu","13:29:33",46000
67400,-400,600,"bu","13:29:28",45300
67400,-400,500,"bu","13:29:23",44700
67400,-400,200,"sd","13:28:08",44200
67600,-200,800,"unknown","13:14:31",44000
67600,-200,700,"bu","13:14:28",43200
67500,-300,1200,"bu","13:14:21",42500
67800,0,1500,"bu","10:55:30",41300
67800,0,1000,"bu","10:55:25",39800
67700,-100,1000,"bu","10:55:22",38800
67700,-100,1000,"bu","10:55:20",37800
67800,0,400,"bu","10:54:40",36800
67800,0,800,"bu","10:54:23",36400
67800,0,1000,"bu","10:54:09",35600
67800,0,1000,"unknown","10:49:14",34600
67800,0,1100,"bu","10:49:10",33600
67800,0,1000,"bu","10:48:55",32500
67700,-100,1000,"bu","10:48:35",31500
67700,-100,1000,"bu","10:18:14",30500
67700,-100,600,"bu","10:18:11",29500
67700,-100,600,"bu","10:18:08",28900
67700,-100,1000,"bu","10:18:01",28300
67600,-200,1000,"bu","10:18:00",27300
67800,0,1000,"bu","10:12:33",26300
67800,0,1000,"bu","10:12:31",25300
67800,0,1000,"bu","10:12:29",24300
67700,-100,1000,"bu","10:12:25",23300
67800,0,1300,"unknown","09:55:35",22300
67800,0,1000,"bu","09:55:29",21000
67700,-100,700,"bu","09:55:22",20000
67700,-100,500,"bu","09:55:17",19300
67700,-100,500,"bu","09:55:12",18800
67800,0,500,"bu","09:51:05",18300
67800,0,500,"bu","09:51:03",17800
67800,0,500,"bu","09:51:01",17300
67800,0,1000,"bu","09:50:55",16800
67800,0,300,"bu","09:49:57",15800
67800,0,1800,"unknown","09:39:36",15500
67700,-100,1600,"unknown","09:39:21",13700
67900,100,1900,"unknown","09:36:48",12100
67800,0,1500,"unknown","09:36:18",10200
67800,0,1000,"bu","09:32:22",8700
67800,0,1500,"bu","09:32:12",7700
67800,0,2000,"unknown","09:30:41",6200
67700,-100,1500,"bu","09:30:33",4200
67700,-100,700,"unknown","09:14:42",2700
67700,-100,500,"bu","09:14:39",2000
67600,-200,1000,"unknown","09:14:32",1500
67500,-300,500,"unknown","09:12:48",500
