"price","change","match_qtty","side","time","total_vol"
52300,-700,8300,"bu","14:45:00",33000
52700,-300,100,"bu","14:29:28",24700
52500,-500,100,"sd","14:26:16",24600
52600,-400,200,"bu","14:21:19",24500
52500,-500,300,"bu","14:21:01",24300
52500,-500,100,"sd","14:20:01",24000
52500,-500,500,"sd","14:18:53",23900
52500,-500,400,"sd","14:18:16",23400
52500,-500,100,"sd","14:18:16",23000
52600,-400,100,"bu","14:16:30",22900
52800,-200,3000,"bu","14:10:22",22800
52500,-500,700,"sd","14:09:09",19800
52600,-400,100,"sd","14:08:23",19100
52700,-300,100,"bu","14:05:53",19000
52500,-500,300,"sd","14:01:43",18900
52500,-500,100,"sd","14:01:43",18600
52700,-300,100,"sd","13:50:31",18500
52800,-200,1500,"bu","13:47:32",18400
52900,-100,100,"bu","13:39:28",16900
52700,-300,100,"bu","13:38:32",16800
52700,-300,3900,"bu","13:38:32",16700
52700,-300,100,"bu","13:38:02",12800
52400,-600,300,"bu","13:37:49",12700
52400,-600,400,"bu","13:36:56",12400
52400,-600,600,"bu","13:36:15",12000
52400,-600,1000,"sd","13:34:46",11400
52400,-600,300,"sd","13:34:46",10400
52400,-600,100,"sd","13:34:46",9800
52400,-600,300,"sd","13:34:46",10100
52700,-300,100,"bu","13:30:02",9700
52700,-300,100,"bu","13:28:30",9600
52700,-300,700,"bu","13:28:30",9500
52700,-300,300,"bu","13:24:57",8800
52700,-300,100,"bu","13:17:33",8500
52800,-200,100,"bu","13:15:34",8400
52500,-500,3700,"bu","13:05:03",8300
52500,-500,300,"sd","13:03:02",4600
52500,-500,200,"sd","13:02:14",4300
52500,-500,400,"sd","13:02:14",4100
52500,-500,100,"sd","13:00:51",3700
52500,-500,1100,"sd","13:00:51",3600
53000,0,100,"bu","11:28:33",2500
52600,-400,500,"sd","11:28:19",2400
52600,-400,300,"sd","11:28:19",1900
52600,-400,100,"sd","11:28:19",1600
52800,-200,200,"sd","11:00:30",1500
52800,-200,100,"sd","10:59:41",1300
52900,-100,100,"bu","10:59:19",1200
52800,-200,100,"bu","10:59:11",1100
52500,-500,200,"sd","10:58:55",1000
52800,-200,100,"bu","10:58:16",800
52500,-500,100,"sd","10:57:21",700
52500,-500,100,"sd","10:55:33",600
52500,-500,100,"sd","10:55:33",500
53000,0,400,"bu","09:24:25",400
