"price","change","match_qtty","side","time","total_vol"
32900,200,100,"unknown","14:51:00",13100
32900,200,100,"sd","14:28:38",13000
33000,300,400,"bu","14:24:15",12900
33000,300,500,"bu","13:53:51",12500
32400,-300,200,"sd","13:28:06",12000
32300,-400,1000,"bu","10:52:10",11800
32300,-400,200,"bu","10:51:17",10800
32300,-400,200,"bu","10:50:47",10600
32300,-400,100,"bu","10:49:59",10400
32300,-400,2000,"bu","10:45:38",10300
32300,-400,1000,"sd","10:38:54",8300
32300,-400,200,"unknown","10:33:20",7300
32300,-400,200,"bu","10:33:02",7100
32300,-400,600,"bu","10:32:36",6900
32200,-500,800,"sd","10:31:53",6300
32300,-400,400,"sd","10:29:37",5500
32300,-400,500,"bu","10:29:22",5100
32300,-400,100,"bu","10:29:06",4600
32300,-400,900,"sd","10:28:17",4500
32300,-400,1100,"bu","10:27:36",3600
32300,-400,400,"sd","10:24:16",2500
32200,-500,400,"sd","10:21:03",2100
32800,100,600,"sd","10:19:02",1700
32800,100,900,"sd","10:18:16",1100
32900,200,200,"unknown","10:17:28",200
