"price","change","match_qtty","side","time","total_vol"
4800,600,100,"sd","14:31:50",13200
4800,600,300,"sd","13:00:02",13100
4800,600,500,"sd","11:16:02",12800
4800,600,1000,"sd","10:54:06",12300
4800,600,300,"sd","10:29:28",11300
4800,600,2000,"sd","10:27:21",11000
4800,600,2200,"sd","10:08:50",9000
4800,600,1600,"sd","09:59:50",6800
4800,600,200,"bu","09:32:13",5200
4800,600,1700,"bu","09:29:12",5000
4800,600,2000,"sd","09:28:43",3300
4800,600,1000,"sd","09:28:33",1300
4800,600,300,"sd","09:10:48",300
