"price","change","match_qtty","side","time","total_vol"
16300,0,304300,"bu","14:45:00",2769100
16350,50,1000,"sd","14:29:37",2464800
16350,50,300,"sd","14:29:09",2463800
16350,50,100,"sd","14:28:43",2463500
16350,50,100,"sd","14:28:25",2463400
16350,50,100,"sd","14:28:16",2463300
16350,50,1000,"sd","14:28:12",2463200
16350,50,1000,"sd","14:27:33",2462200
16350,50,500,"sd","14:27:15",2461200
16350,50,2600,"sd","14:27:11",2460700
16350,50,100,"sd","14:27:05",2458100
16350,50,2300,"sd","14:27:04",2458000
16350,50,300,"sd","14:27:02",2455700
16350,50,2000,"sd","14:26:37",2455400
16350,50,400,"sd","14:26:06",2453400
16350,50,100,"sd","14:26:03",2453000
16350,50,10000,"sd","14:25:59",2452900
16350,50,1100,"sd","14:25:56",2442900
16350,50,300,"sd","14:25:54",2441800
16350,50,1000,"sd","14:25:32",2441500
16350,50,7400,"sd","14:24:53",2440500
16350,50,400,"sd","14:24:39",2433100
16350,50,13200,"sd","14:24:39",2432700
16350,50,31800,"sd","14:24:39",2419500
16350,50,200,"sd","14:24:38",2387700
16350,50,200,"sd","14:24:30",2387500
16350,50,7000,"sd","14:24:30",2387300
16350,50,1900,"sd","14:24:15",2380300
16350,50,200,"sd","14:24:13",2378400
16350,50,3500,"sd","14:24:02",2378200
16350,50,100,"sd","14:23:40",2374700
16350,50,10000,"sd","14:23:24",2374600
16350,50,1000,"sd","14:23:14",2364600
16350,50,100,"sd","14:23:07",2363600
16350,50,100,"bu","14:23:05",2363500
16350,50,200,"bu","14:23:05",2363400
16350,50,1500,"bu","14:23:05",2363200
16350,50,8800,"bu","14:23:05",2361700
16350,50,2000,"bu","14:23:05",2352900
16350,50,10000,"bu","14:23:05",2350900
16350,50,8000,"bu","14:23:05",2340900
16350,50,100,"bu","14:23:05",2332900
16350,50,200,"bu","14:23:05",2332800
16350,50,200,"bu","14:23:05",2332600
16350,50,4500,"bu","14:23:05",2332400
16350,50,1000,"bu","14:23:05",2327900
16350,50,4400,"bu","14:23:05",2326900
16350,50,3000,"bu","14:23:05",2322500
16300,0,2000,"sd","14:23:00",2319500
16300,0,2500,"sd","14:22:50",2317500
16300,0,6000,"sd","14:22:50",2315000
16300,0,400,"sd","14:22:44",2309000
16300,0,1000,"sd","14:22:44",2308600
16300,0,28600,"sd","14:22:44",2307600
