"price","change","match_qtty","side","time","total_vol"
6790,180,14000,"bu","14:45:01",85100
6790,180,500,"bu","14:00:37",71100
6780,170,500,"bu","14:00:13",70600
6780,170,500,"bu","13:59:04",70100
6610,0,3000,"bu","13:58:21",69600
6600,-10,500,"bu","13:57:36",66600
6600,-10,500,"sd","13:57:20",66100
6600,-10,300,"sd","13:57:20",65600
6600,-10,2500,"bu","13:56:59",65300
6600,-10,500,"bu","13:56:23",62800
6550,-60,3500,"bu","13:56:12",62300
6550,-60,2000,"bu","13:55:55",58800
6550,-60,1400,"bu","13:55:42",56800
6550,-60,2000,"sd","13:54:54",55400
6550,-60,5000,"sd","13:54:54",53400
6550,-60,1100,"sd","13:54:54",48400
6550,-60,900,"sd","13:48:39",47300
6550,-60,1500,"sd","13:48:39",46400
6550,-60,700,"sd","13:48:39",44900
6600,-10,1000,"sd","13:48:39",44200
6600,-10,700,"sd","13:48:39",43200
6600,-10,200,"sd","13:48:39",42500
6800,190,300,"bu","13:40:32",42300
6800,190,200,"bu","13:40:32",42000
6600,-10,100,"sd","13:39:49",41800
6600,-10,1000,"sd","13:36:48",41700
6550,-60,100,"sd","13:31:41",40700
6550,-60,1000,"sd","13:31:41",40600
6580,-30,900,"sd","13:31:41",39600
6600,-10,1600,"sd","13:10:23",38700
6540,-70,700,"bu","11:10:17",37100
6540,-70,5000,"sd","11:09:54",36400
6550,-60,300,"sd","11:09:54",31400
6550,-60,2700,"sd","11:07:14",31100
6550,-60,300,"sd","11:07:14",28400
6550,-60,1000,"sd","11:03:46",28100
6550,-60,200,"sd","11:03:46",27100
6550,-60,1000,"sd","10:58:17",26900
6550,-60,200,"sd","10:58:17",25900
6580,-30,2500,"sd","10:57:26",25700
6600,-10,1300,"sd","10:56:37",23200
6610,0,1000,"bu","10:53:55",21900
6600,-10,100,"sd","10:42:04",20900
6600,-10,500,"bu","10:40:28",20800
6600,-10,100,"bu","10:40:28",20300
6600,-10,100,"sd","10:37:41",20200
6600,-10,300,"sd","10:37:41",20100
6600,-10,1000,"sd","10:36:43",19800
6600,-10,1200,"sd","10:34:58",18800
6600,-10,1800,"sd","10:28:29",17600
6600,-10,200,"bu","10:13:42",15800
6600,-10,800,"sd","10:12:15",15600
6600,-10,700,"bu","10:04:45",14800
6600,-10,100,"sd","10:03:05",14100
6600,-10,2900,"bu","09:49:56",14000
6600,-10,2100,"sd","09:48:51",11100
6600,-10,900,"sd","09:48:31",9000
6600,-10,2000,"bu","09:44:31",8100
6550,-60,2000,"bu","09:44:16",6100
6550,-60,500,"bu","09:43:57",4100
6550,-60,2000,"bu","09:41:05",3600
6550,-60,500,"sd","09:40:49",1600
6530,-80,100,"sd","09:31:03",1100
6520,-90,500,"sd","09:29:13",1000
6530,-80,500,"sd","09:29:13",500
