"price","change","match_qtty","side","time","total_vol"
14100,-200,1600,"sd","14:59:08",318500
14100,-200,300,"sd","14:57:24",316900
14000,-300,1000,"unknown","14:51:34",316600
14100,-200,6000,"unknown","14:50:37",315600
14000,-300,200,"sd","14:48:31",309600
14000,-300,700,"sd","14:45:25",309400
14000,-300,300,"sd","14:45:12",308700
14000,-300,800,"sd","14:44:39",308400
14000,-300,500,"sd","14:38:25",307600
14000,-300,400,"sd","14:29:00",307100
14000,-300,1100,"sd","14:26:04",306700
14000,-300,200,"sd","14:24:19",305600
14000,-300,500,"sd","14:23:59",305400
14000,-300,500,"sd","14:23:00",304900
14000,-300,2400,"sd","14:19:45",304400
14100,-200,1100,"bu","14:14:56",302000
14100,-200,1900,"sd","14:14:43",300900
14100,-200,300,"sd","14:13:35",299000
14100,-200,1100,"sd","14:12:53",298700
14200,-100,200,"bu","14:12:17",297600
14200,-100,100,"bu","14:12:03",297400
14200,-100,100,"bu","14:08:08",297300
14200,-100,1000,"bu","14:07:51",297200
14200,-100,1000,"bu","14:07:20",296200
14200,-100,500,"bu","14:07:18",295200
14100,-200,5300,"sd","14:00:27",294700
14100,-200,100,"bu","13:59:51",289400
14100,-200,200,"bu","13:55:54",289300
14200,-100,600,"bu","13:48:20",289100
14200,-100,900,"sd","13:47:38",288500
14200,-100,3300,"sd","13:44:27",287600
14200,-100,1000,"sd","13:43:15",284300
14200,-100,2000,"sd","13:39:37",283300
14300,0,100,"bu","13:38:58",281300
14200,-100,1600,"sd","13:38:28",281200
14100,-200,10000,"sd","13:38:16",279600
14000,-300,2100,"sd","13:37:57",269600
14000,-300,500,"bu","13:37:45",267500
14000,-300,300,"bu","13:35:02",267000
14000,-300,2000,"bu","13:32:36",266700
14000,-300,700,"bu","13:32:10",264700
14000,-300,400,"bu","13:30:36",264000
13900,-400,1000,"sd","13:30:28",263600
14000,-300,400,"bu","13:30:03",262600
14000,-300,7100,"bu","13:28:12",262200
14000,-300,500,"sd","13:24:34",255100
14000,-300,1000,"unknown","13:23:20",254600
14000,-300,6000,"bu","13:22:58",253600
14000,-300,400,"bu","13:22:47",247600
14000,-300,5100,"bu","13:22:46",247200
14000,-300,4300,"bu","13:22:24",242100
13900,-400,100,"sd","13:16:14",237800
14000,-300,1000,"bu","13:14:49",237700
13900,-400,4300,"sd","13:14:30",236700
13900,-400,3200,"sd","13:14:02",232400
13900,-400,900,"sd","13:13:23",229200
13900,-400,4000,"bu","13:13:16",228300
13900,-400,100,"bu","13:13:13",224300
13900,-400,1600,"bu","13:13:12",224200
