"price","change","match_qtty","side","time","total_vol"
5110,-50,500,"sd","14:45:06",123000
5130,-30,500,"bu","14:26:45",122500
5130,-30,12500,"sd","14:16:52",122000
5130,-30,500,"bu","14:16:11",109500
5130,-30,7000,"bu","14:16:11",109000
5130,-30,2800,"sd","14:06:58",102000
5140,-20,30000,"sd","14:06:58",99200
5160,0,200,"sd","14:06:58",69200
5160,0,1000,"bu","14:04:05",69000
5160,0,800,"bu","14:04:05",68000
5130,-30,100,"bu","14:00:04",67200
5130,-30,2100,"bu","14:00:04",67100
5100,-60,700,"sd","13:56:03",65000
5100,-60,100,"sd","13:56:03",64300
5100,-60,200,"sd","13:56:03",64200
5100,-60,200,"bu","13:23:20",64000
5100,-60,200,"bu","13:20:57",63800
5100,-60,1500,"bu","13:19:43",63600
5100,-60,200,"sd","13:19:43",62100
5100,-60,1000,"sd","13:19:43",61900
5100,-60,900,"sd","13:19:43",60900
5100,-60,100,"bu","13:10:26",60000
5100,-60,5000,"bu","13:10:04",59900
5100,-60,3000,"bu","13:09:53",54900
5100,-60,100,"bu","13:09:48",51900
5100,-60,500,"bu","13:08:34",51800
5100,-60,1000,"bu","13:07:12",51300
5100,-60,1000,"bu","13:03:55",50300
5100,-60,1000,"bu","13:03:55",49300
5100,-60,3000,"bu","13:03:55",48300
5100,-60,100,"bu","13:03:55",45300
5100,-60,100,"bu","13:03:55",45200
5100,-60,5000,"unknown","13:03:55",45100
5120,-40,200,"sd","13:00:09",40100
5120,-40,2000,"sd","13:00:09",39900
5120,-40,600,"sd","13:00:09",37900
5120,-40,100,"sd","13:00:02",37300
5160,0,2000,"bu","11:27:08",37200
5120,-40,300,"sd","11:12:45",35200
5120,-40,500,"sd","11:12:45",34900
5120,-40,100,"sd","11:12:45",34400
5120,-40,600,"sd","10:53:31",34300
5120,-40,2300,"sd","10:49:54",33700
5120,-40,300,"sd","10:49:54",31400
5130,-30,400,"sd","10:49:54",31100
5130,-30,300,"sd","10:49:54",30700
5140,-20,100,"sd","10:49:54",30400
5140,-20,1000,"sd","10:49:54",30300
5150,-10,600,"sd","10:49:54",29300
5150,-10,1000,"sd","10:39:24",28700
5130,-30,1500,"bu","10:27:28",27700
5130,-30,400,"bu","10:25:58",26200
5130,-30,100,"sd","10:22:34",25800
5130,-30,300,"sd","10:21:25",25700
5130,-30,300,"sd","10:20:59",25400
5120,-40,600,"sd","10:17:02",25100
5130,-30,200,"sd","10:17:02",24500
5130,-30,100,"sd","10:17:02",24300
5130,-30,100,"sd","10:17:02",24200
5130,-30,100,"sd","10:15:10",24100
5130,-30,2900,"sd","10:15:10",24000
5140,-20,900,"bu","10:10:49",21100
5140,-20,4000,"sd","10:09:40",20200
5130,-30,100,"sd","09:57:21",16200
5120,-40,100,"sd","09:49:55",16100
5120,-40,700,"sd","09:49:55",16000
5120,-40,100,"sd","09:49:55",15300
5130,-30,1000,"sd","09:49:55",15200
5120,-40,4900,"sd","09:49:05",14200
5130,-30,100,"sd","09:49:05",9300
5140,-20,1000,"sd","09:48:03",9200
5130,-30,4900,"sd","09:47:49",8200
5140,-20,100,"sd","09:47:49",3300
5180,20,300,"sd","09:45:09",3200
5180,20,100,"sd","09:41:02",2900
5180,20,600,"bu","09:38:09",2800
5180,20,100,"sd","09:29:38",2200
5190,30,600,"sd","09:23:19",2100
5190,30,400,"sd","09:22:22",1500
5190,30,100,"bu","09:22:07",1100
5190,30,900,"bu","09:22:07",1000
5190,30,100,"bu","09:16:59",100
