"price","change","match_qtty","side","time","total_vol"
1300,-100,400,"bu","13:49:45",116500
1300,-100,1000,"bu","13:42:59",116100
1300,-100,900,"bu","13:24:53",115100
1300,-100,200,"bu","13:19:40",114200
1300,-100,100,"bu","13:12:32",114000
1300,-100,1000,"bu","13:00:07",113900
1300,-100,200,"bu","13:00:06",112900
1300,-100,5000,"bu","13:00:03",112700
1300,-100,900,"sd","10:54:20",107700
1300,-100,4800,"sd","10:50:09",106800
1300,-100,6000,"sd","10:48:15",102000
1300,-100,3000,"sd","10:45:26",96000
1300,-100,19700,"sd","10:45:07",93000
1300,-100,100,"sd","10:44:48",73300
1300,-100,2100,"sd","10:41:09",73200
1300,-100,300,"sd","10:37:34",71100
1300,-100,100,"sd","09:51:01",70800
1300,-100,5000,"sd","09:49:58",70700
1300,-100,1700,"sd","09:30:11",65700
1300,-100,5000,"bu","09:29:45",64000
1300,-100,100,"bu","09:28:25",59000
1300,-100,800,"bu","09:28:01",58900
1300,-100,2000,"bu","09:26:53",58100
1300,-100,17500,"bu","09:26:30",56100
1300,-100,1400,"bu","09:20:17",38600
1300,-100,600,"bu","09:19:46",37200
1300,-100,1600,"bu","09:19:27",36600
1300,-100,100,"bu","09:19:17",35000
1300,-100,2800,"sd","09:18:40",34900
1300,-100,9600,"sd","09:17:29",32100
1300,-100,400,"sd","09:10:57",22500
1400,0,600,"bu","09:09:26",22100
1300,-100,20000,"sd","09:08:17",21500
1300,-100,1000,"sd","09:06:38",1500
1300,-100,500,"sd","09:02:54",500
