"price","change","match_qtty","side","time","total_vol"
17900,-600,100,"sd","14:58:04",1841200
17900,-600,2000,"sd","14:52:45",1841100
17900,-600,86000,"sd","14:45:02",1839100
18000,-500,200,"bu","14:30:00",1753100
18000,-500,200,"bu","14:29:57",1752900
18000,-500,500,"bu","14:29:40",1752700
18000,-500,200,"bu","14:29:36",1752200
18000,-500,3400,"bu","14:29:32",1752000
18000,-500,5100,"bu","14:29:29",1748600
18000,-500,5500,"bu","14:29:27",1743500
18000,-500,100,"bu","14:29:23",1738000
17900,-600,300,"sd","14:29:22",1737900
18000,-500,200,"bu","14:29:21",1737600
18000,-500,800,"bu","14:29:16",1737400
18000,-500,300,"bu","14:29:14",1736600
18000,-500,1100,"bu","14:29:06",1736300
18000,-500,3000,"bu","14:29:05",1735200
18000,-500,700,"bu","14:28:51",1732200
18000,-500,7600,"bu","14:28:48",1731500
18000,-500,500,"bu","14:28:46",1723900
18000,-500,400,"bu","14:28:45",1723400
17900,-600,6100,"sd","14:28:44",1723000
18000,-500,3300,"bu","14:28:33",1716900
17900,-600,500,"sd","14:28:29",1713600
17900,-600,500,"sd","14:28:28",1713100
17900,-600,1500,"sd","14:28:25",1712600
17900,-600,3000,"sd","14:27:55",1711100
18000,-500,10500,"bu","14:27:53",1708100
18000,-500,3000,"bu","14:27:49",1697600
17900,-600,500,"sd","14:27:31",1694600
17900,-600,2000,"sd","14:27:20",1694100
18000,-500,100,"bu","14:26:38",1692100
18000,-500,4100,"bu","14:26:36",1692000
18000,-500,300,"bu","14:26:24",1687900
17900,-600,500,"sd","14:26:23",1687600
18000,-500,400,"bu","14:26:12",1687100
17900,-600,500,"sd","14:25:53",1686700
17900,-600,1200,"sd","14:25:49",1686200
18000,-500,400,"bu","14:25:35",1685000
17900,-600,700,"sd","14:25:32",1684600
18000,-500,600,"bu","14:25:28",1683900
18000,-500,3000,"bu","14:24:48",1683300
18000,-500,1700,"bu","14:24:32",1680300
18000,-500,1000,"bu","14:24:08",1678600
17900,-600,3500,"sd","14:23:57",1677600
17900,-600,1000,"sd","14:23:51",1674100
17900,-600,500,"sd","14:23:42",1673100
17900,-600,700,"bu","14:23:37",1672600
17900,-600,700,"bu","14:23:36",1671900
17900,-600,5000,"bu","14:23:35",1671200
17900,-600,100,"bu","14:23:33",1666200
17900,-600,200,"bu","14:23:32",1666100
17900,-600,3000,"bu","14:23:30",1665900
17900,-600,5300,"bu","14:23:26",1662900
17900,-600,400,"bu","14:23:24",1657600
17900,-600,8100,"bu","14:23:20",1657200
17900,-600,2000,"bu","14:23:18",1649100
17900,-600,6000,"bu","14:23:09",1647100
17800,-700,100,"sd","14:23:05",1641100
17900,-600,100,"bu","14:22:56",1641000
17800,-700,3000,"sd","14:22:55",1640900
17800,-700,100,"sd","14:22:49",1637900
17800,-700,3000,"sd","14:22:48",1637800
17800,-700,2000,"sd","14:22:40",1634800
17900,-600,1500,"bu","14:22:31",1632800
17900,-600,3000,"bu","14:22:27",1631300
17900,-600,100,"bu","14:22:24",1628300
17900,-600,100,"bu","14:22:19",1628200
17900,-600,100,"bu","14:22:06",1628100
17800,-700,1000,"sd","14:22:05",1628000
17900,-600,1000,"bu","14:22:00",1627000
17800,-700,5000,"sd","14:21:59",1626000
17800,-700,100,"sd","14:21:58",1621000
17800,-700,5000,"sd","14:21:56",1620900
17800,-700,1500,"sd","14:21:03",1615900
17800,-700,1000,"sd","14:21:02",1614400
17800,-700,500,"sd","14:20:51",1613400
17900,-600,300,"bu","14:20:30",1612900
17900,-600,100,"bu","14:20:28",1612600
17800,-700,1000,"sd","14:20:22",1612500
17900,-600,300,"bu","14:20:20",1611500
17900,-600,3400,"bu","14:20:15",1611200
17900,-600,1700,"sd","14:20:09",1607800
17900,-600,1000,"sd","14:20:08",1606100
17900,-600,10000,"sd","14:20:04",1605100
17900,-600,4500,"sd","14:20:02",1595100
17900,-600,100,"sd","14:20:01",1590600
17900,-600,19000,"sd","14:20:00",1590500
17900,-600,3000,"sd","14:19:56",1571500
17900,-600,100,"sd","14:19:54",1568500
17900,-600,8200,"sd","14:19:49",1568400
17900,-600,5000,"sd","14:19:45",1560200
17900,-600,400,"sd","14:19:44",1555200
17900,-600,10000,"sd","14:19:42",1554800
17900,-600,1500,"sd","14:19:38",1544800
17900,-600,4300,"sd","14:19:32",1543300
17900,-600,6000,"sd","14:19:19",1539000
17900,-600,10200,"sd","14:19:16",1533000
17900,-600,300,"sd","14:19:11",1522800
17900,-600,1200,"sd","14:19:09",1522500
17900,-600,500,"sd","14:19:05",1521300
17900,-600,700,"sd","14:19:03",1520800
17900,-600,1000,"sd","14:19:02",1520100
17900,-600,3200,"sd","14:18:50",1519100
17900,-600,5500,"sd","14:18:43",1515900
18000,-500,100,"bu","14:18:42",1510400
18000,-500,3000,"bu","14:18:30",1510300
18000,-500,100,"bu","14:18:21",1507300
18000,-500,200,"bu","14:18:15",1507200
18000,-500,500,"bu","14:17:55",1507000
18000,-500,500,"bu","14:17:54",1506500
18000,-500,300,"bu","14:17:34",1506000
17900,-600,2000,"sd","14:17:19",1505700
17900,-600,700,"sd","14:17:14",1503700
17900,-600,200,"sd","14:17:03",1503000
18000,-500,100,"bu","14:16:53",1502800
18000,-500,600,"bu","14:16:41",1502700
18000,-500,1000,"sd","14:16:29",1502100
18000,-500,1000,"sd","14:16:26",1501100
18000,-500,6000,"sd","14:16:22",1500100
18000,-500,3000,"sd","14:16:21",1494100
18000,-500,200,"sd","14:16:17",1491100
18000,-500,10000,"sd","14:16:02",1490900
18000,-500,100,"sd","14:15:52",1480900
18000,-500,1000,"sd","14:15:51",1480800
18000,-500,5000,"sd","14:15:48",1479800
18000,-500,1400,"sd","14:15:41",1474800
18000,-500,300,"sd","14:15:27",1473400
18000,-500,5000,"sd","14:15:22",1473100
18000,-500,2000,"sd","14:15:01",1468100
18000,-500,5000,"sd","14:14:42",1466100
18000,-500,100,"sd","14:14:13",1461100
18000,-500,100,"sd","14:14:09",1461000
18000,-500,1500,"sd","14:13:19",1460900
18100,-400,400,"bu","14:13:14",1459400
18000,-500,1000,"sd","14:13:01",1459000
18100,-400,100,"bu","14:12:52",1458000
18100,-400,300,"bu","14:12:39",1457900
18000,-500,14600,"sd","14:12:38",1457600
18000,-500,200,"sd","14:12:34",1443000
18000,-500,2000,"sd","14:12:27",1442800
18000,-500,100,"sd","14:11:48",1440800
18000,-500,3200,"sd","14:11:45",1440700
18000,-500,35000,"sd","14:11:19",1437500
18000,-500,500,"sd","14:10:16",1402500
18000,-500,1000,"sd","14:09:42",1402000
18000,-500,900,"sd","14:09:26",1401000
18000,-500,100,"sd","14:08:45",1400100
18100,-400,300,"bu","14:08:29",1400000
18100,-400,100,"bu","14:07:35",1399700
18100,-400,200,"bu","14:06:57",1399600
18100,-400,1300,"bu","14:05:54",1399400
18100,-400,5000,"bu","14:05:15",1398100
18100,-400,400,"bu","14:05:14",1393100
18100,-400,200,"bu","14:05:08",1392700
18100,-400,500,"bu","14:04:59",1392500
18100,-400,1100,"bu","14:04:58",1392000
18100,-400,700,"bu","14:04:05",1390900
18100,-400,100,"bu","14:04:03",1390200
18100,-400,100,"bu","14:03:18",1390100
18100,-400,200,"bu","14:03:12",1390000
18000,-500,1000,"sd","14:02:53",1389800
18000,-500,200,"sd","14:02:49",1388800
18000,-500,100,"sd","14:02:09",1388600
18000,-500,1000,"sd","14:01:42",1388500
18100,-400,500,"bu","14:01:41",1387500
18000,-500,100,"sd","14:00:52",1387000
18000,-500,100,"sd","14:00:48",1386900
18000,-500,5000,"sd","14:00:28",1386800
18000,-500,3500,"sd","13:59:08",1381800
18000,-500,400,"sd","13:58:56",1378300
18100,-400,200,"bu","13:58:06",1377900
18000,-500,100,"sd","13:57:46",1377700
18000,-500,5300,"sd","13:57:22",1377600
18000,-500,4600,"bu","13:57:21",1372300
18000,-500,1000,"bu","13:57:04",1367700
18000,-500,10000,"bu","13:56:59",1366700
18000,-500,400,"bu","13:56:53",1356700
18000,-500,1500,"bu","13:56:52",1356300
18000,-500,2500,"bu","13:56:49",1354800
18000,-500,100,"bu","13:56:44",1352300
18000,-500,1000,"bu","13:56:37",1352200
18000,-500,2000,"bu","13:56:14",1351200
18000,-500,500,"bu","13:56:07",1349200
18000,-500,100,"bu","13:55:46",1348700
18000,-500,700,"bu","13:55:18",1348600
17900,-600,200,"sd","13:55:03",1347900
18000,-500,500,"sd","13:54:57",1347700
17900,-600,500,"sd","13:54:31",1347200
18000,-500,200,"sd","13:54:26",1346700
18000,-500,100,"bu","13:54:24",1346500
18000,-500,300,"bu","13:54:08",1346400
18000,-500,300,"bu","13:54:05",1346100
18000,-500,2600,"bu","13:53:47",1345800
18000,-500,500,"sd","13:53:27",1343200
18000,-500,1000,"sd","13:53:22",1342700
18000,-500,100,"sd","13:53:08",1341700
18000,-500,4500,"sd","13:53:07",1341600
18100,-400,100,"bu","13:53:06",1337100
18000,-500,1000,"sd","13:53:02",1337000
18000,-500,200,"sd","13:52:59",1336000
18000,-500,12000,"sd","13:52:50",1335800
18000,-500,100,"sd","13:52:45",1323800
18000,-500,1000,"sd","13:52:28",1323700
18000,-500,10000,"sd","13:52:21",1322700
18000,-500,1000,"sd","13:52:17",1312700
18000,-500,500,"sd","13:52:15",1311700
18000,-500,500,"sd","13:52:03",1311200
18000,-500,2000,"sd","13:51:59",1310700
18000,-500,500,"sd","13:51:53",1308700
18000,-500,500,"sd","13:51:51",1308200
18000,-500,6800,"sd","13:51:48",1307700
18000,-500,500,"sd","13:51:29",1300900
18000,-500,1400,"sd","13:51:28",1300400
18100,-400,200,"bu","13:51:02",1299000
18100,-400,100,"bu","13:49:51",1298800
18000,-500,1000,"sd","13:49:40",1298700
18000,-500,1400,"sd","13:49:30",1297700
18000,-500,800,"sd","13:49:29",1296300
18000,-500,5000,"sd","13:49:26",1295500
18000,-500,7000,"sd","13:49:17",1290500
18000,-500,200,"sd","13:48:14",1283500
18100,-400,200,"bu","13:46:42",1283300
18100,-400,2000,"bu","13:46:24",1283100
18000,-500,100,"sd","13:46:13",1281100
18000,-500,100,"sd","13:46:09",1281000
18000,-500,3000,"sd","13:46:06",1280900
18000,-500,4000,"sd","13:46:04",1277900
18000,-500,1000,"sd","13:45:41",1273900
18000,-500,1100,"sd","13:45:38",1272900
18000,-500,500,"sd","13:45:16",1271800
18000,-500,1200,"sd","13:44:31",1271300
18100,-400,500,"bu","13:44:29",1270100
18000,-500,9000,"sd","13:44:28",1269600
18100,-400,300,"bu","13:43:58",1260600
18000,-500,1100,"sd","13:42:57",1260300
18000,-500,3300,"sd","13:42:33",1259200
18000,-500,10000,"sd","13:42:00",1255900
18000,-500,100,"sd","13:40:42",1245900
18000,-500,1000,"sd","13:40:16",1245800
18000,-500,1000,"sd","13:39:56",1244800
18100,-400,100,"bu","13:39:50",1243800
18000,-500,5000,"sd","13:38:38",1243700
18100,-400,1000,"bu","13:38:12",1238700
18100,-400,200,"bu","13:37:53",1237700
18100,-400,200,"bu","13:37:45",1237500
18100,-400,200,"bu","13:37:18",1237300
18100,-400,2500,"bu","13:37:01",1237100
18100,-400,1000,"bu","13:36:49",1234600
18100,-400,100,"bu","13:36:34",1233600
18100,-400,100,"bu","13:36:25",1233500
18100,-400,1500,"sd","13:36:23",1233400
18100,-400,500,"sd","13:36:22",1231900
18100,-400,1000,"sd","13:36:20",1231400
18100,-400,6100,"sd","13:36:15",1230400
18100,-400,2000,"sd","13:35:22",1224300
18100,-400,1000,"sd","13:35:04",1222300
18100,-400,500,"sd","13:35:01",1221300
18100,-400,100,"sd","13:34:36",1220800
18100,-400,6000,"sd","13:34:14",1220700
18100,-400,500,"sd","13:33:49",1214700
18100,-400,1000,"sd","13:32:47",1214200
18100,-400,5000,"sd","13:32:20",1213200
18100,-400,1000,"sd","13:31:57",1208200
18100,-400,100,"sd","13:31:08",1207200
18100,-400,3900,"unknown","13:30:41",1207100
