"price","change","match_qtty","side","time","total_vol"
4500,-100,75300,"sd","14:45:01",1999000
4500,-100,2700,"sd","14:28:20",1923700
4500,-100,6600,"sd","14:27:27",1921000
4500,-100,32200,"sd","14:26:48",1914400
4500,-100,10000,"bu","14:26:47",1882200
4500,-100,1000,"bu","14:26:13",1872200
4500,-100,4800,"bu","14:25:55",1871200
4500,-100,100,"bu","14:25:49",1866400
4500,-100,4000,"bu","14:25:46",1866300
4500,-100,3200,"bu","14:25:40",1862300
4500,-100,500,"bu","14:25:20",1859100
4500,-100,500,"bu","14:25:10",1858600
4500,-100,900,"bu","14:25:00",1858100
4500,-100,400,"bu","14:23:56",1857200
4400,-200,700,"sd","14:22:57",1856800
4400,-200,500,"sd","14:21:52",1856100
4500,-100,2900,"bu","14:20:19",1855600
4400,-200,8200,"sd","14:19:08",1852700
4500,-100,500,"bu","14:18:39",1844500
4500,-100,100,"bu","14:18:10",1844000
4500,-100,100,"bu","14:17:56",1843900
4500,-100,3000,"bu","14:17:51",1843800
4500,-100,1000,"bu","14:17:37",1840800
4500,-100,200,"bu","14:17:34",1839800
4500,-100,200,"bu","14:17:00",1839600
4500,-100,1000,"bu","14:15:45",1839400
4500,-100,1000,"bu","14:15:34",1838400
4500,-100,1000,"bu","14:15:12",1837400
4500,-100,1000,"bu","14:14:50",1836400
4500,-100,4400,"bu","14:14:46",1835400
4500,-100,2000,"bu","14:14:44",1831000
4500,-100,2000,"bu","14:14:39",1829000
4500,-100,1400,"bu","14:14:01",1827000
4500,-100,3300,"bu","14:13:36",1825600
4500,-100,1000,"bu","14:13:27",1822300
4500,-100,2000,"bu","14:13:13",1821300
4500,-100,100,"bu","14:13:12",1819300
4500,-100,2600,"bu","14:12:32",1819200
4500,-100,2000,"bu","14:11:23",1816600
4400,-200,4500,"sd","14:10:57",1814600
4500,-100,4400,"bu","14:10:05",1810100
4500,-100,200,"bu","14:09:13",1805700
4500,-100,1000,"bu","14:08:53",1805500
4400,-200,2000,"sd","14:07:35",1804500
4500,-100,3100,"bu","14:06:57",1802500
4500,-100,100,"bu","14:06:16",1799400
4500,-100,200,"bu","14:06:09",1799300
4500,-100,8000,"sd","14:05:22",1799100
4500,-100,3000,"sd","14:04:04",1791100
4500,-100,5000,"unknown","14:03:46",1788100
4500,-100,200,"bu","14:03:25",1783100
4500,-100,6000,"bu","14:03:20",1782900
4500,-100,2000,"bu","14:03:01",1776900
4500,-100,1000,"sd","14:02:19",1774900
4500,-100,5000,"sd","14:01:49",1773900
4500,-100,8000,"sd","14:01:09",1768900
4500,-100,1000,"sd","13:58:26",1760900
4500,-100,700,"sd","13:57:45",1759900
4500,-100,300,"sd","13:57:37",1759200
4500,-100,4800,"sd","13:57:21",1758900
4500,-100,2000,"bu","13:56:21",1754100
4500,-100,1000,"bu","13:56:04",1752100
4500,-100,79200,"bu","13:55:42",1751100
4500,-100,2000,"sd","13:55:40",1671900
4500,-100,8300,"sd","13:55:32",1669900
4500,-100,100,"sd","13:55:19",1661600
4500,-100,51300,"sd","13:55:15",1661500
4500,-100,100,"sd","13:54:37",1610200
4500,-100,10000,"sd","13:54:26",1610100
4500,-100,500,"sd","13:53:08",1600100
4500,-100,1000,"sd","13:51:35",1599600
4600,0,5000,"bu","13:49:38",1598600
4600,0,200,"bu","13:45:38",1593600
4600,0,100,"bu","13:42:45",1593400
4500,-100,74300,"sd","13:42:20",1593300
4500,-100,100,"bu","13:42:03",1519000
4500,-100,100,"bu","13:41:54",1518900
4500,-100,1700,"bu","13:41:42",1518800
4500,-100,3000,"bu","13:41:32",1517100
4500,-100,1000,"bu","13:38:29",1514100
4400,-200,4000,"sd","13:38:26",1513100
4500,-100,2000,"bu","13:37:40",1509100
4400,-200,3400,"sd","13:36:48",1507100
4500,-100,4000,"bu","13:36:24",1503700
4500,-100,200,"bu","13:36:11",1499700
4400,-200,100,"sd","13:34:59",1499500
4500,-100,100,"bu","13:34:42",1499400
4500,-100,200,"bu","13:34:37",1499300
4500,-100,2000,"bu","13:33:38",1499100
4500,-100,200,"bu","13:32:41",1497100
4500,-100,3800,"bu","13:32:18",1496900
4500,-100,700,"bu","13:29:26",1493100
4500,-100,2600,"bu","13:28:40",1492400
4500,-100,100,"bu","13:28:27",1489800
4500,-100,2500,"bu","13:27:53",1489700
4500,-100,100,"bu","13:27:42",1487200
4400,-200,400,"sd","13:26:58",1487100
