"price","change","match_qtty","side","time","total_vol"
78000,0,1300,"unknown","14:45:01",15900
78000,0,200,"unknown","14:27:29",14600
78100,100,500,"bu","14:08:54",14400
78100,100,400,"bu","14:08:05",13900
78100,100,4000,"unknown","13:49:20",13500
78000,0,500,"bu","13:47:41",9500
78000,0,700,"sd","13:28:59",9000
78100,100,100,"bu","13:24:45",8300
78000,0,100,"sd","13:24:05",8200
78100,100,100,"unknown","11:23:42",8100
78100,100,900,"sd","10:49:54",8000
78200,200,100,"bu","10:46:55",7100
78200,200,200,"bu","10:46:34",7000
78100,100,200,"sd","10:36:14",6800
78100,100,100,"bu","10:30:05",6600
78100,100,300,"bu","10:29:32",6500
78100,100,200,"bu","10:29:06",6200
78100,100,300,"bu","10:25:31",6000
78100,100,800,"bu","10:22:42",5700
78100,100,300,"bu","10:22:14",4900
78100,100,900,"bu","10:12:58",4600
78100,100,300,"bu","10:04:39",3700
78100,100,300,"bu","10:03:40",3400
78100,100,200,"bu","09:57:00",3100
78000,0,200,"sd","09:34:10",2900
78000,0,100,"sd","09:33:57",2700
78000,0,400,"bu","09:33:21",2600
78000,0,100,"bu","09:32:45",2200
78000,0,300,"bu","09:27:52",2100
78000,0,1000,"sd","09:27:43",1800
78100,100,100,"bu","09:26:15",800
78100,100,300,"bu","09:26:13",700
78200,200,200,"bu","09:23:37",400
78500,500,100,"bu","09:18:14",200
78500,500,100,"unknown","09:15:41",100
