"price","change","match_qtty","side","time","total_vol"
13050,0,100,"bu","13:03:11",21900
13000,-50,100,"unknown","13:01:20",21800
12950,-100,900,"sd","13:00:32",21700
12950,-100,200,"sd","13:00:23",20800
12950,-100,500,"sd","13:00:15",20600
12950,-100,300,"sd","13:00:09",20100
13000,-50,200,"bu","11:24:48",19800
13000,-50,600,"bu","11:24:11",19600
13000,-50,2500,"bu","11:20:23",19000
12950,-100,200,"bu","11:20:08",16500
12950,-100,200,"sd","11:12:25",16300
12950,-100,600,"sd","11:12:25",16100
13000,-50,200,"sd","10:59:40",15500
12950,-100,1900,"sd","10:46:05",15300
12950,-100,100,"sd","10:46:05",13400
12950,-100,500,"sd","10:46:05",13300
12950,-100,2500,"sd","10:45:49",12800
12950,-100,500,"sd","10:45:49",10300
13000,-50,300,"bu","10:37:00",9800
13000,-50,600,"bu","10:37:00",9500
13000,-50,400,"bu","10:04:57",8900
13000,-50,500,"bu","10:03:16",8500
13000,-50,1000,"bu","10:03:04",8000
13000,-50,1000,"bu","10:02:57",7000
13000,-50,3000,"bu","09:38:15",6000
13000,-50,3000,"bu","09:37:34",3000
