"price","change","match_qtty","side","time","total_vol"
3400,-100,5000,"unknown","14:45:01",109000
3500,0,400,"unknown","14:26:05",104000
3500,0,3700,"bu","14:25:57",103600
3500,0,1000,"bu","14:24:45",99900
3500,0,500,"bu","14:20:57",98900
3500,0,4000,"bu","14:20:05",98400
3500,0,5000,"sd","14:19:24",94400
3500,0,1000,"sd","14:13:11",89400
3500,0,4100,"sd","14:11:29",88400
3500,0,20900,"sd","14:10:03",84300
3600,100,300,"bu","13:59:48",63400
3600,100,100,"bu","13:56:16",63100
3600,100,100,"bu","13:53:24",63000
3600,100,500,"bu","13:37:26",62900
3600,100,100,"bu","13:17:06",62400
3600,100,300,"bu","13:16:34",62300
3600,100,200,"bu","13:16:19",62000
3600,100,200,"bu","13:15:21",61800
3600,100,4000,"bu","13:14:17",61600
3600,100,7500,"bu","13:09:07",57600
3600,100,8500,"bu","13:07:51",50100
3600,100,4000,"bu","13:02:42",41600
3600,100,15000,"bu","13:02:00",37600
3600,100,100,"bu","13:00:05",22600
3600,100,100,"bu","11:09:54",22500
3500,0,5000,"sd","10:46:51",22400
3500,0,1000,"sd","10:34:54",17400
3500,0,5000,"sd","10:33:14",16400
3500,0,100,"sd","10:12:25",11400
3500,0,500,"sd","10:08:47",11300
3500,0,3000,"sd","09:39:21",10800
3500,0,1200,"sd","09:34:25",7800
3500,0,5000,"sd","09:17:23",6600
3600,100,600,"bu","09:09:58",1600
3500,0,1000,"bu","09:00:05",1000
