"price","change","match_qtty","side","time","total_vol"
5790,290,91500,"unknown","14:45:00",1642700
5650,150,900,"bu","14:29:50",1551200
5650,150,100,"bu","14:29:50",1550300
5650,150,300,"bu","14:29:50",1550200
5650,150,1500,"bu","14:29:50",1549900
5650,150,600,"bu","14:29:50",1548400
5650,150,300,"bu","14:29:50",1547800
5610,110,200,"bu","14:29:42",1547500
5600,100,700,"bu","14:29:34",1547300
5600,100,300,"bu","14:28:53",1546600
5600,100,100,"bu","14:28:53",1546300
5600,100,1000,"bu","14:28:53",1546200
5600,100,1000,"bu","14:28:53",1545200
5600,100,100,"bu","14:28:53",1544200
5600,100,100,"bu","14:28:53",1544100
5600,100,400,"bu","14:28:53",1544000
5600,100,1500,"bu","14:28:53",1543600
5600,100,2000,"bu","14:28:53",1542100
5540,40,3500,"bu","14:28:53",1540100
5540,40,200,"bu","14:28:41",1536600
5540,40,12000,"bu","14:28:27",1536400
5530,30,200,"bu","14:28:27",1524400
5530,30,3000,"bu","14:28:27",1524200
5530,30,4800,"bu","14:28:27",1521200
5530,30,1500,"bu","14:28:07",1516400
5530,30,100,"bu","14:27:58",1514900
5530,30,1500,"bu","14:27:57",1514800
5530,30,1000,"bu","14:27:45",1513300
5530,30,100,"sd","14:27:38",1512300
5550,50,300,"sd","14:27:35",1512200
5590,90,100,"bu","14:27:35",1511900
5590,90,100,"bu","14:27:35",1511800
5580,80,100,"bu","14:27:35",1511700
5570,70,100,"bu","14:27:35",1511600
5550,50,100,"sd","14:27:31",1511500
5550,50,8000,"sd","14:27:29",1511400
5550,50,700,"bu","14:27:14",1503400
5550,50,1000,"bu","14:27:14",1502700
5550,50,1000,"bu","14:27:14",1501700
5530,30,4900,"bu","14:27:14",1500700
5530,30,5000,"bu","14:27:12",1495800
5540,40,100,"sd","14:27:04",1490800
5500,0,2900,"sd","14:27:00",1490700
5500,0,500,"sd","14:27:00",1487800
5510,10,500,"sd","14:27:00",1487300
5510,10,300,"sd","14:27:00",1486800
5520,20,200,"sd","14:27:00",1486500
5530,30,100,"sd","14:27:00",1486300
5530,30,500,"sd","14:27:00",1486200
5530,30,1500,"sd","14:26:41",1485700
5530,30,1400,"sd","14:26:41",1484200
5540,40,100,"sd","14:26:41",1482800
5550,50,1000,"bu","14:26:40",1482700
5550,50,400,"bu","14:26:40",1481700
5550,50,600,"bu","14:26:40",1481300
5530,30,100,"sd","14:26:22",1480700
5550,50,100,"bu","14:26:21",1480600
5530,30,100,"sd","14:26:19",1480500
5530,30,2900,"bu","14:26:13",1480400
5530,30,100,"sd","14:25:57",1477500
5510,10,700,"sd","14:25:53",1477400
5510,10,3000,"sd","14:25:53",1476700
5510,10,1700,"sd","14:25:53",1473700
5530,30,600,"sd","14:25:53",1472000
5540,40,100,"bu","14:25:52",1471400
5540,40,100,"bu","14:25:52",1471300
5540,40,100,"bu","14:25:52",1471200
5540,40,100,"bu","14:25:52",1471100
5540,40,100,"bu","14:25:52",1471000
5530,30,900,"bu","14:25:43",1470900
5530,30,100,"bu","14:25:31",1470000
5510,10,100,"sd","14:25:20",1469900
5510,10,200,"bu","14:25:17",1469800
5500,0,500,"sd","14:25:09",1469600
5500,0,1500,"sd","14:25:09",1469100
5500,0,1000,"sd","14:25:09",1467600
5500,0,600,"sd","14:25:09",1466600
5500,0,100,"sd","14:25:09",1466000
5500,0,3000,"sd","14:25:09",1465900
5500,0,10000,"sd","14:25:09",1462900
5500,0,1300,"sd","14:25:09",1452900
5510,10,2000,"sd","14:24:51",1451600
5500,0,1000,"sd","14:23:32",1449600
5530,30,100,"bu","14:23:12",1448600
