"price","change","match_qtty","side","time","total_vol"
43000,-300,1200,"bu","14:45:04",20600
43000,-300,600,"bu","14:02:15",19400
43000,-300,200,"bu","14:02:01",18800
43000,-300,3000,"bu","14:01:56",18600
43000,-300,1200,"sd","13:55:53",15600
43600,300,100,"unknown","13:27:41",14400
43550,250,100,"bu","13:16:57",14300
43000,-300,400,"bu","13:16:57",14200
42800,-500,1400,"bu","13:14:59",13800
42700,-600,800,"bu","13:11:58",12400
42700,-600,100,"bu","13:09:13",11600
42500,-800,500,"sd","13:03:57",11500
42800,-500,100,"bu","13:01:50",11000
43000,-300,1000,"bu","13:00:15",10900
43600,300,100,"bu","11:26:57",9900
43000,-300,1000,"sd","11:25:02",9800
43000,-300,3000,"sd","11:25:02",8800
43000,-300,1000,"sd","11:25:02",5800
43000,-300,400,"sd","11:22:41",4800
43050,-250,2000,"sd","11:22:41",4400
43000,-300,100,"sd","11:14:33",2400
43000,-300,500,"sd","09:35:33",2300
43000,-300,500,"sd","09:35:33",1800
43000,-300,500,"bu","09:18:01",1300
42500,-800,800,"sd","09:15:06",800
