"price","change","match_qtty","side","time","total_vol"
13000,100,2500,"sd","14:45:00",155500
13200,300,3900,"sd","14:29:54",153000
13000,100,1000,"unknown","14:29:37",149100
13000,100,1500,"sd","14:29:11",148100
13000,100,500,"sd","14:27:17",146600
13000,100,100,"bu","14:26:26",146100
13000,100,400,"bu","14:26:10",146000
13000,100,800,"bu","14:25:50",145600
13000,100,4200,"sd","14:25:14",144800
13200,300,3000,"bu","14:19:15",140600
13000,100,1000,"sd","14:18:56",137600
13100,200,4900,"unknown","14:18:36",136600
13100,200,1000,"bu","14:17:16",131700
13100,200,200,"bu","14:17:06",130700
13000,100,2000,"sd","14:16:57",130500
13100,200,100,"bu","14:16:45",128500
13000,100,100,"sd","14:12:56",128400
13000,100,400,"sd","14:04:10",128300
13000,100,100,"sd","13:54:26",127900
13000,100,100,"sd","13:49:40",127800
13000,100,100,"sd","13:45:39",127700
13000,100,700,"sd","13:43:59",127600
13000,100,200,"bu","13:43:51",126900
13000,100,1100,"bu","13:35:18",126700
13000,100,400,"sd","13:34:02",125600
12900,0,400,"sd","13:32:59",125200
13000,100,100,"bu","13:29:18",124800
13000,100,1200,"sd","13:27:25",124700
13000,100,200,"bu","13:26:16",123500
13000,100,3600,"bu","13:25:20",123300
13200,300,600,"bu","13:23:26",119700
13100,200,400,"sd","13:21:57",119100
13000,100,5100,"sd","13:21:52",118700
13100,200,4000,"bu","13:21:46",113600
13100,200,15700,"sd","13:19:50",109600
13200,300,1800,"unknown","13:14:50",93900
13200,300,500,"sd","13:13:51",92100
13200,300,2700,"sd","13:12:46",91600
13200,300,1000,"bu","13:11:29",88900
13200,300,6200,"unknown","13:04:14",87900
13100,200,100,"sd","13:03:48",81700
13100,200,300,"sd","13:00:04",81600
13100,200,1800,"sd","13:00:03",81300
13100,200,2600,"bu","13:00:02",79500
13100,200,5800,"bu","11:17:44",76900
13100,200,1300,"sd","11:11:05",71100
13100,200,3700,"bu","11:11:00",69800
13100,200,500,"bu","11:05:39",66100
13000,100,400,"sd","11:03:18",65600
13000,100,10000,"sd","10:59:47",65200
13100,200,5000,"bu","10:50:42",55200
13200,300,100,"bu","10:48:21",50200
13200,300,500,"sd","10:47:27",50100
13200,300,900,"sd","10:46:41",49600
13100,200,500,"sd","10:23:35",48700
13300,400,100,"bu","10:22:05",48200
13100,200,10000,"sd","10:08:59",48100
13000,100,3100,"sd","10:05:20",38100
13100,200,2000,"sd","10:04:29",35000
13400,500,100,"sd","10:03:58",33000
13400,500,400,"sd","10:03:43",32900
13300,400,4000,"sd","10:02:22",32500
13300,400,7100,"bu","10:01:46",28500
13200,300,100,"bu","09:59:16",21400
13200,300,100,"bu","09:58:21",21300
13000,100,500,"sd","09:57:42",21200
13100,200,500,"sd","09:55:40",20700
13200,300,100,"unknown","09:52:25",20200
13200,300,100,"sd","09:47:43",20100
13300,400,300,"unknown","09:46:04",20000
13300,400,5000,"bu","09:44:30",19700
13200,300,500,"sd","09:44:11",14700
13200,300,500,"sd","09:43:38",14200
13300,400,1000,"bu","09:43:31",13700
13300,400,2000,"bu","09:42:54",12700
13300,400,1600,"bu","09:42:28",10700
13300,400,2000,"bu","09:41:53",9100
13300,400,3000,"bu","09:41:29",7100
13100,200,600,"sd","09:41:15",4100
12900,0,2900,"sd","09:35:06",3500
12900,0,300,"sd","09:18:27",600
12900,0,200,"sd","09:18:11",300
13000,100,100,"sd","09:04:03",100
