"price","change","match_qtty","side","time","total_vol"
5300,200,5000,"bu","14:55:19",141000
5200,100,200,"sd","14:45:05",136000
5200,100,1000,"sd","14:23:22",135800
5200,100,100,"sd","14:20:38",134800
5300,200,100,"bu","14:11:06",134700
5200,100,1000,"sd","14:00:07",134600
5200,100,500,"sd","13:56:02",133600
5300,200,5000,"bu","13:41:29",133100
5300,200,400,"bu","13:41:11",128100
5300,200,6500,"bu","13:38:45",127700
5300,200,100,"bu","13:35:17",121200
5300,200,20000,"bu","13:29:58",121100
5300,200,1500,"bu","13:23:58",101100
5200,100,1000,"sd","13:23:12",99600
5200,100,5200,"sd","13:21:41",98600
5200,100,1000,"sd","13:20:30",93400
5200,100,8100,"bu","13:20:28",92400
5200,100,30000,"bu","13:18:38",84300
5200,100,5000,"bu","13:18:05",54300
5200,100,100,"bu","13:14:54",49300
5100,0,8000,"sd","13:13:37",49200
5100,0,1000,"sd","13:11:04",41200
5200,100,500,"bu","13:03:23",40200
5200,100,500,"bu","11:02:30",39700
5200,100,5500,"bu","10:45:35",39200
5200,100,200,"bu","10:43:59",33700
5200,100,4100,"bu","10:43:54",33500
5200,100,100,"bu","10:41:19",29400
5200,100,2000,"bu","10:40:23",29300
5200,100,1400,"bu","10:32:01",27300
5200,100,2000,"bu","10:30:27",25900
5100,0,2900,"sd","10:30:21",23900
5200,100,1000,"bu","10:21:54",21000
5200,100,100,"bu","10:18:26",20000
5200,100,1600,"bu","10:17:52",19900
5200,100,600,"bu","10:15:27",18300
5200,100,3000,"bu","10:02:21",17700
5200,100,1400,"bu","10:01:01",14700
5200,100,2000,"bu","09:58:20",13300
5200,100,100,"bu","09:58:16",11300
5200,100,1000,"bu","09:51:54",11200
5200,100,1000,"bu","09:45:22",10200
5200,100,5000,"bu","09:44:37",9200
5200,100,900,"bu","09:43:57",4200
5200,100,2000,"bu","09:39:24",3300
5200,100,200,"bu","09:39:17",1300
5200,100,100,"bu","09:22:58",1100
5100,0,1000,"sd","09:15:39",1000
