"price","change","match_qtty","side","time","total_vol"
11250,0,77300,"bu","14:45:00",225900
11150,-100,1500,"bu","14:29:52",148600
11150,-100,1000,"bu","14:28:30",147100
11150,-100,800,"bu","14:28:30",146100
11150,-100,1200,"bu","14:28:11",145300
11150,-100,1000,"bu","14:27:56",144100
11150,-100,500,"bu","14:27:56",143100
10900,-350,2500,"bu","14:26:44",142600
10900,-350,1200,"bu","14:26:39",140100
10900,-350,1500,"bu","14:26:13",138900
10900,-350,2300,"sd","14:25:52",137400
10900,-350,500,"sd","14:25:08",135100
11000,-250,200,"sd","14:25:08",134600
11000,-250,1800,"bu","14:24:54",134400
10900,-350,1000,"sd","14:24:28",132600
10900,-350,300,"sd","14:24:28",131600
10950,-300,2900,"sd","14:24:03",131300
10950,-300,800,"sd","14:24:03",128400
11000,-250,600,"bu","14:22:25",127600
11000,-250,1000,"bu","14:20:14",127000
11000,-250,500,"bu","14:18:45",126000
11000,-250,900,"bu","14:17:42",125500
11100,-150,200,"sd","14:14:28",124600
11150,-100,100,"bu","14:12:17",124400
11100,-150,600,"sd","14:11:23",124300
11050,-200,500,"bu","14:10:05",123700
11000,-250,800,"bu","14:10:05",123200
11000,-250,500,"bu","14:09:39",122400
11000,-250,200,"bu","14:09:18",121900
11000,-250,1000,"bu","14:09:14",121700
11000,-250,200,"bu","14:07:04",120700
10950,-300,9200,"sd","14:06:46",120500
10950,-300,200,"sd","14:06:46",111300
10950,-300,600,"sd","14:06:46",111100
11000,-250,200,"bu","14:03:08",110500
11050,-200,900,"sd","14:01:15",110300
11100,-150,500,"bu","13:58:54",109400
11100,-150,200,"bu","13:58:11",108900
11000,-250,1600,"bu","13:57:34",108700
11000,-250,2000,"bu","13:57:06",107100
10950,-300,9400,"sd","13:56:49",105100
10950,-300,600,"sd","13:56:49",95700
11000,-250,2500,"bu","13:56:42",95100
11000,-250,1000,"bu","13:56:28",92600
11000,-250,300,"bu","13:55:02",91600
10950,-300,10000,"sd","13:54:32",91300
11000,-250,500,"bu","13:53:27",81300
11000,-250,300,"bu","13:49:21",80800
11000,-250,300,"bu","13:43:26",80500
11000,-250,100,"bu","13:32:56",80200
11000,-250,100,"bu","13:32:39",80100
11000,-250,200,"bu","13:29:18",80000
10950,-300,600,"bu","13:29:18",79800
10950,-300,300,"bu","13:28:59",79200
10950,-300,600,"bu","13:28:41",78900
10950,-300,1000,"bu","13:28:26",78300
10950,-300,2500,"bu","13:28:16",77300
11000,-250,100,"bu","13:25:15",74800
10950,-300,900,"bu","13:25:15",74700
10950,-300,100,"bu","13:24:51",73800
10900,-350,400,"sd","13:24:06",73700
11000,-250,100,"bu","13:22:11",73300
10900,-350,5000,"sd","13:21:59",73200
10900,-350,14300,"sd","13:20:22",68200
10950,-300,100,"sd","13:20:22",53900
10950,-300,5600,"sd","13:20:22",53800
11000,-250,100,"sd","13:19:12",48200
11000,-250,1000,"sd","13:19:12",48100
11000,-250,100,"sd","13:19:12",47100
11000,-250,200,"sd","13:19:12",47000
11000,-250,500,"sd","13:19:12",46800
11100,-150,100,"bu","13:17:22",46300
11000,-250,500,"sd","13:17:21",46200
11100,-150,100,"bu","13:14:43",45700
11000,-250,4700,"sd","13:14:23",45600
11050,-200,300,"sd","13:14:23",40900
11150,-100,1000,"bu","13:10:51",40600
11150,-100,100,"bu","13:09:11",39600
11150,-100,100,"bu","13:03:53",39500
11150,-100,100,"bu","11:24:57",39400
11150,-100,100,"bu","11:24:48",39300
11050,-200,800,"sd","11:23:29",39200
11050,-200,100,"sd","11:23:29",38400
11050,-200,100,"sd","11:23:29",38300
11200,-50,100,"bu","11:04:38",38200
11200,-50,100,"bu","11:04:29",38100
11050,-200,900,"sd","10:58:34",38000
11050,-200,100,"sd","10:58:34",37100
11200,-50,100,"bu","10:44:56",37000
11200,-50,100,"bu","10:44:47",36900
11050,-200,600,"sd","10:44:14",36800
11200,-50,100,"bu","10:28:52",36200
11150,-100,100,"bu","10:28:07",36100
11150,-100,500,"bu","10:28:07",36000
11150,-100,300,"bu","10:25:52",35500
11150,-100,1200,"bu","10:25:24",35200
11200,-50,100,"bu","10:24:59",34000
11150,-100,300,"bu","10:24:59",33900
11150,-100,600,"bu","10:24:37",33600
11150,-100,2600,"bu","10:23:54",33000
11200,-50,200,"bu","10:22:47",30400
11000,-250,100,"sd","10:21:39",30200
11050,-200,100,"bu","10:21:18",30100
11050,-200,4300,"bu","10:21:18",30000
11050,-200,1000,"sd","10:21:18",25700
11050,-200,3300,"sd","10:21:18",24700
11100,-150,100,"sd","10:21:00",21400
11100,-150,100,"sd","10:21:00",21300
11200,-50,100,"bu","10:15:16",21200
11050,-200,1700,"sd","10:14:37",21100
11050,-200,600,"sd","10:14:37",19400
11100,-150,100,"sd","10:14:37",18800
11100,-150,200,"sd","10:14:37",18700
11100,-150,400,"sd","10:14:37",18500
11200,-50,200,"bu","09:59:44",18100
11200,-50,100,"bu","09:47:13",17900
11200,-50,200,"bu","09:36:02",17800
11200,-50,100,"bu","09:28:18",17600
11050,-200,3600,"sd","09:25:08",17500
11100,-150,500,"sd","09:25:08",13900
11100,-150,1000,"sd","09:25:08",13400
11100,-150,900,"sd","09:25:08",12400
11250,0,8600,"bu","09:19:01",11500
11100,-150,2900,"sd","09:15:00",2900
