"price","change","match_qtty","side","time","total_vol"
22700,0,7500,"sd","14:44:59",149300
22700,0,500,"sd","14:29:20",141800
22700,0,100,"sd","14:29:20",141300
22700,0,900,"bu","14:28:14",141200
22600,-100,1000,"sd","14:27:38",140300
22700,0,100,"bu","14:26:56",139300
22600,-100,2600,"sd","14:26:41",139200
22600,-100,500,"sd","14:26:24",136600
22600,-100,5000,"sd","14:26:24",136100
22650,-50,1000,"sd","14:26:24",131100
22650,-50,1000,"sd","14:26:24",130100
22650,-50,1500,"sd","14:26:24",129100
22700,0,500,"bu","14:24:50",127600
22700,0,1000,"sd","14:22:54",127100
22750,50,500,"sd","14:22:02",126100
22750,50,1000,"sd","14:22:02",125600
22750,50,1600,"sd","14:22:02",124600
22750,50,400,"bu","14:21:30",123000
22750,50,600,"sd","14:21:27",122600
22750,50,400,"sd","14:21:08",122000
22750,50,100,"sd","14:21:08",121600
22750,50,200,"sd","14:20:56",121500
22750,50,300,"sd","14:20:56",121300
22750,50,600,"sd","14:20:46",121000
22750,50,900,"sd","14:20:46",120400
22750,50,100,"sd","14:20:28",119500
22800,100,400,"bu","14:18:24",119400
22800,100,100,"bu","14:18:24",119000
22800,100,100,"bu","14:17:46",118900
22800,100,500,"bu","14:17:09",118800
22800,100,100,"bu","14:15:09",118300
22800,100,100,"bu","14:15:01",118200
22600,-100,2500,"sd","14:11:17",118100
22600,-100,1000,"sd","14:11:17",115600
22600,-100,200,"sd","14:11:17",114600
22600,-100,300,"sd","14:11:17",114400
22700,0,1000,"sd","14:11:15",114100
22700,0,400,"sd","14:11:15",113100
22800,100,1000,"sd","14:11:02",112700
22700,0,600,"sd","14:10:35",111700
22700,0,500,"sd","14:10:35",111100
22750,50,1000,"sd","14:10:35",109600
22750,50,1000,"sd","14:10:35",110600
22800,100,400,"sd","14:10:35",108600
22850,150,200,"sd","14:10:17",108200
22850,150,500,"sd","14:10:10",108000
22850,150,300,"bu","14:09:51",107500
22800,100,600,"sd","14:09:50",107200
22800,100,200,"sd","14:09:50",106600
22800,100,100,"sd","14:09:01",106400
22800,100,700,"sd","14:08:48",106300
22800,100,300,"sd","14:08:48",105600
22800,100,500,"sd","14:08:36",105300
22800,100,1200,"sd","14:08:28",104800
22800,100,800,"sd","14:08:28",103600
22800,100,100,"sd","14:08:21",102800
22850,150,1000,"sd","14:06:59",102700
22850,150,1100,"sd","14:05:31",101700
22850,150,900,"bu","14:05:00",100600
22850,150,100,"sd","14:04:52",99700
22850,150,1000,"sd","14:04:46",99600
22850,150,900,"bu","14:04:41",98600
22850,150,1000,"sd","14:04:33",97700
22850,150,100,"sd","14:04:33",96700
22900,200,200,"bu","14:04:32",96600
22900,200,100,"bu","14:04:32",96400
22900,200,700,"bu","14:04:32",96300
22850,150,700,"sd","14:04:04",95600
22850,150,200,"bu","14:03:32",94900
22800,100,100,"sd","14:02:59",94700
22850,150,200,"bu","14:02:32",94600
22850,150,1000,"sd","14:01:58",94400
22850,150,900,"sd","14:01:58",93400
22900,200,300,"bu","14:01:52",92500
22900,200,100,"bu","14:01:52",92200
22900,200,100,"bu","14:01:52",92100
22900,200,400,"bu","14:01:52",92000
22900,200,100,"bu","14:01:52",91600
22850,150,100,"sd","14:00:24",91500
22800,100,100,"sd","13:59:22",91400
22800,100,300,"sd","13:57:05",91300
22800,100,1600,"sd","13:55:13",91000
22800,100,400,"sd","13:55:13",89400
22850,150,1000,"bu","13:55:05",89000
22800,100,600,"bu","13:53:57",88000
22700,0,400,"sd","13:52:48",87400
22700,0,100,"sd","13:51:04",87000
22700,0,1000,"sd","13:51:04",86900
22700,0,900,"sd","13:51:04",85900
22700,0,100,"sd","13:50:40",85000
22700,0,400,"sd","13:50:40",84900
22800,100,100,"bu","13:49:44",84500
22800,100,500,"bu","13:49:44",84400
22800,100,300,"bu","13:49:44",83900
22800,100,100,"bu","13:49:44",83600
22800,100,500,"bu","13:49:14",83500
22700,0,1000,"sd","13:49:13",83000
22800,100,400,"bu","13:47:27",82000
22800,100,100,"bu","13:47:27",81600
22800,100,800,"bu","13:46:28",81500
22700,0,200,"bu","13:46:27",80700
22700,0,900,"bu","13:46:27",80500
22700,0,100,"bu","13:44:57",79600
22650,-50,1000,"bu","13:44:36",79500
22650,-50,2500,"bu","13:44:33",78500
22650,-50,300,"bu","13:41:48",76000
22650,-50,700,"bu","13:40:47",75700
22650,-50,300,"bu","13:40:47",75000
22650,-50,2200,"bu","13:39:14",74700
22650,-50,100,"bu","13:22:58",72500
22650,-50,200,"bu","13:22:33",72400
22600,-100,200,"sd","13:21:56",72200
22600,-100,2700,"sd","13:21:56",72000
22600,-100,1000,"sd","13:21:56",69300
22600,-100,100,"sd","13:21:56",68300
22600,-100,300,"sd","13:21:00",68200
22600,-100,300,"sd","13:21:00",67900
22600,-100,400,"sd","13:21:00",67600
22650,-50,100,"bu","13:15:47",67200
22650,-50,200,"bu","13:15:33",67100
22650,-50,200,"bu","13:15:23",66900
22600,-100,200,"sd","13:11:01",66700
22600,-100,800,"sd","13:11:01",66500
22600,-100,3200,"sd","13:10:23",65700
22600,-100,500,"sd","13:10:23",62500
22600,-100,500,"sd","13:10:23",62000
22600,-100,800,"sd","13:10:23",61500
22600,-100,300,"sd","13:10:23",60700
22600,-100,100,"sd","13:09:00",60400
22650,-50,200,"bu","13:05:34",60300
22600,-100,100,"sd","13:05:27",60100
22650,-50,200,"bu","13:00:16",60000
22600,-100,500,"sd","13:00:01",59800
22600,-100,100,"sd","13:00:01",59300
22600,-100,200,"sd","13:00:00",59200
22650,-50,300,"bu","11:18:06",59000
22650,-50,100,"bu","11:13:12",58700
22650,-50,1500,"bu","11:10:26",58600
22650,-50,3200,"bu","11:10:05",57100
22650,-50,100,"bu","11:04:31",53900
22600,-100,3200,"sd","10:57:25",53800
22600,-100,3000,"sd","10:50:26",50600
22600,-100,3000,"sd","10:50:25",47600
22600,-100,500,"sd","10:47:56",44600
22600,-100,100,"sd","10:46:00",44100
22650,-50,1100,"sd","10:44:01",44000
22650,-50,600,"bu","10:43:37",42900
22650,-50,900,"sd","10:42:46",42300
22650,-50,5100,"bu","10:41:46",41400
22650,-50,1500,"bu","10:41:42",36300
22650,-50,400,"bu","10:39:55",34800
22650,-50,400,"bu","10:39:37",34400
22650,-50,1000,"bu","10:39:21",34000
22650,-50,200,"bu","10:38:59",33000
22650,-50,500,"bu","10:38:29",32800
22650,-50,600,"bu","10:38:11",32300
22650,-50,600,"sd","10:37:33",31700
22650,-50,400,"sd","10:37:10",31100
22700,0,5900,"sd","10:30:20",30700
22700,0,400,"sd","10:28:43",24800
22700,0,100,"sd","10:26:32",24400
22700,0,3600,"sd","10:26:02",24300
22700,0,100,"sd","10:26:02",20700
22700,0,1300,"sd","10:26:02",20600
22700,0,100,"sd","10:23:53",19300
22750,50,500,"sd","10:21:55",19200
22750,50,500,"sd","10:21:25",18700
22750,50,300,"sd","10:21:25",18200
22750,50,100,"sd","10:21:25",17900
22750,50,100,"sd","10:21:25",17800
22800,100,200,"bu","10:17:00",17700
22800,100,100,"bu","10:17:00",17500
22800,100,700,"bu","10:02:44",17400
22850,150,2500,"bu","09:53:54",16700
22900,200,900,"bu","09:53:54",14200
22900,200,300,"bu","09:53:54",13300
22850,150,500,"bu","09:53:54",13000
22850,150,2500,"sd","09:52:52",12500
22850,150,5000,"sd","09:50:54",10000
22850,150,1000,"sd","09:50:46",5000
22850,150,500,"sd","09:50:33",4000
22850,150,1000,"sd","09:50:32",3500
22850,150,2000,"bu","09:41:13",2500
22900,200,500,"bu","09:15:01",500
