"price","change","match_qtty","side","time","total_vol"
27050,-400,31700,"unknown","14:45:00",2015300
27000,-450,3200,"sd","14:29:52",1983600
27000,-450,500,"sd","14:29:52",1980400
27000,-450,300,"sd","14:29:52",1979900
27000,-450,900,"sd","14:29:37",1979600
27000,-450,1900,"sd","14:29:13",1978700
27000,-450,1100,"sd","14:29:13",1976800
27050,-400,200,"bu","14:29:06",1975700
27050,-400,1000,"bu","14:28:28",1975500
27000,-450,300,"sd","14:28:06",1974500
27000,-450,100,"bu","14:27:55",1974200
27000,-450,1500,"bu","14:27:55",1974100
27000,-450,1000,"bu","14:27:55",1972600
27000,-450,1000,"bu","14:27:55",1971600
27000,-450,15000,"bu","14:27:55",1970600
26950,-500,1900,"sd","14:27:41",1955600
26950,-500,100,"sd","14:27:41",1953700
26950,-500,100,"sd","14:27:41",1953600
26950,-500,400,"sd","14:27:41",1953500
26950,-500,1100,"sd","14:27:41",1953100
26950,-500,300,"sd","14:27:41",1952000
26950,-500,1500,"sd","14:27:05",1951700
27000,-450,1000,"bu","14:26:41",1950200
27000,-450,100,"bu","14:25:38",1949200
27000,-450,1000,"bu","14:25:38",1949100
27000,-450,1300,"bu","14:25:38",1948100
26950,-500,500,"sd","14:25:02",1946800
26950,-500,1000,"sd","14:25:02",1946300
26950,-500,1000,"sd","14:24:57",1945300
26950,-500,500,"sd","14:24:57",1944300
26950,-500,1000,"sd","14:24:46",1943800
26950,-500,1500,"sd","14:24:43",1942800
27000,-450,2000,"bu","14:24:27",1941300
27000,-450,200,"sd","14:24:12",1939300
27000,-450,200,"sd","14:24:11",1939100
27000,-450,200,"sd","14:24:11",1938900
27000,-450,4600,"sd","14:24:11",1938700
27000,-450,6500,"sd","14:24:11",1934100
27000,-450,1000,"sd","14:23:52",1927600
27000,-450,400,"sd","14:23:48",1926600
27000,-450,400,"sd","14:23:43",1926200
27000,-450,4000,"bu","14:23:19",1925800
27000,-450,200,"bu","14:23:19",1921800
27000,-450,100,"bu","14:23:19",1921600
27000,-450,10000,"bu","14:23:19",1921500
27000,-450,2000,"bu","14:23:19",1911500
27000,-450,200,"bu","14:23:19",1909500
27000,-450,2200,"bu","14:23:19",1909300
27000,-450,2000,"bu","14:23:08",1907100
27000,-450,5000,"bu","14:22:23",1905100
27000,-450,2000,"bu","14:21:52",1900100
27000,-450,100,"bu","14:21:43",1898100
27000,-450,200,"bu","14:20:59",1898000
27000,-450,1400,"sd","14:20:54",1897800
27000,-450,1000,"sd","14:20:54",1896400
27000,-450,100,"sd","14:20:54",1895400
27000,-450,1000,"sd","14:20:54",1895300
27000,-450,100,"sd","14:20:54",1894300
27000,-450,200,"sd","14:20:54",1894200
27000,-450,1500,"sd","14:20:54",1894000
27000,-450,5000,"sd","14:20:54",1892500
27000,-450,100,"sd","14:20:54",1887500
27000,-450,800,"sd","14:20:54",1887400
27000,-450,5000,"sd","14:20:54",1886600
27000,-450,5000,"sd","14:20:54",1881600
27000,-450,200,"sd","14:20:54",1876600
27000,-450,500,"sd","14:20:54",1876400
27000,-450,1100,"sd","14:20:54",1875900
27000,-450,15500,"sd","14:20:54",1874800
27000,-450,2500,"sd","14:20:52",1859300
27000,-450,5000,"sd","14:20:52",1856800
27000,-450,2500,"sd","14:20:52",1851800
27050,-400,500,"bu","14:20:15",1849300
27050,-400,900,"bu","14:20:11",1848800
27050,-400,3600,"bu","14:20:09",1847900
27050,-400,1400,"bu","14:20:09",1844300
27050,-400,5000,"bu","14:19:51",1842900
27050,-400,5000,"sd","14:19:44",1837900
27050,-400,400,"sd","14:19:44",1832900
27050,-400,2500,"sd","14:19:44",1832500
27050,-400,100,"sd","14:19:44",1830000
27050,-400,100,"sd","14:19:44",1829900
27050,-400,2500,"sd","14:19:44",1829800
27050,-400,3000,"sd","14:19:44",1827300
27050,-400,7000,"sd","14:19:36",1824300
27050,-400,13000,"sd","14:19:36",1817300
27050,-400,1800,"sd","14:18:55",1804300
27050,-400,4200,"sd","14:18:44",1802500
27050,-400,1400,"sd","14:18:44",1798300
27050,-400,4400,"sd","14:18:44",1796900
27050,-400,5000,"bu","14:16:45",1792500
27050,-400,600,"bu","14:16:45",1787500
27050,-400,500,"bu","14:16:41",1786900
27050,-400,2000,"bu","14:16:36",1786400
27050,-400,1900,"bu","14:16:26",1784400
27050,-400,18100,"bu","14:16:26",1782500
27000,-450,100,"sd","14:16:22",1764400
27000,-450,100,"sd","14:16:14",1764300
27000,-450,300,"sd","14:13:49",1764200
27000,-450,1200,"sd","14:13:49",1763900
27000,-450,3000,"sd","14:13:49",1762700
27000,-450,1200,"sd","14:13:16",1759700
27000,-450,2900,"sd","14:13:16",1758500
27000,-450,100,"sd","14:13:16",1755600
27000,-450,100,"sd","14:13:16",1755500
27000,-450,200,"sd","14:13:16",1755400
27000,-450,500,"sd","14:13:16",1755200
27000,-450,1500,"sd","14:13:04",1754700
27000,-450,1200,"sd","14:13:04",1753200
27000,-450,1200,"sd","14:13:04",1752000
27000,-450,1100,"sd","14:13:04",1750800
27050,-400,1900,"bu","14:12:21",1749700
27050,-400,2000,"bu","14:12:21",1747800
27050,-400,1100,"bu","14:12:21",1745800
27000,-450,3900,"sd","14:12:11",1744700
27000,-450,200,"sd","14:12:11",1740800
27000,-450,900,"sd","14:12:11",1740600
27000,-450,1000,"bu","14:12:03",1739700
27000,-450,100,"bu","14:12:03",1738700
27000,-450,2000,"bu","14:11:59",1738600
27000,-450,2500,"bu","14:11:56",1736600
27000,-450,5400,"bu","14:11:42",1734100
27000,-450,2600,"bu","14:11:42",1728700
26950,-500,3000,"sd","14:11:21",1726100
26950,-500,500,"bu","14:11:20",1723100
26950,-500,2000,"bu","14:11:19",1722600
26950,-500,500,"bu","14:11:19",1720600
26950,-500,200,"bu","14:11:09",1720100
26950,-500,400,"bu","14:11:02",1719900
26950,-500,300,"bu","14:10:55",1719500
26950,-500,200,"bu","14:10:49",1719200
26950,-500,2400,"bu","14:10:48",1719000
26950,-500,300,"unknown","14:10:48",1716600
26950,-500,200,"sd","14:10:48",1716300
27000,-450,400,"bu","14:10:46",1716100
27000,-450,700,"bu","14:10:46",1715700
26950,-500,5000,"bu","14:10:36",1715000
