"price","change","match_qtty","side","time","total_vol"
11000,0,1000,"bu","14:45:01",21400
11000,0,2000,"bu","14:26:58",20400
11000,0,400,"sd","14:26:23",18400
11000,0,3600,"sd","14:25:46",18000
11000,0,400,"bu","14:25:08",14400
11000,0,1600,"sd","14:24:47",14000
11000,0,2000,"bu","14:22:22",12400
11000,0,400,"bu","14:20:49",10400
11000,0,1600,"sd","14:20:11",10000
11000,0,500,"bu","14:19:22",8400
11000,0,1500,"bu","14:18:10",7900
11000,0,1500,"bu","14:16:07",6400
11000,0,500,"sd","14:08:58",4900
11000,0,2000,"sd","14:05:27",4400
11000,0,1000,"bu","13:42:21",2400
11000,0,1000,"bu","13:36:54",1400
10900,-100,100,"bu","13:27:56",400
10800,-200,300,"sd","13:02:18",300
