"price","change","match_qtty","side","time","total_vol"
18000,-100,100,"bu","14:59:45",118200
18000,-100,100,"bu","14:58:44",118100
18000,-100,1000,"bu","14:57:10",118000
18000,-100,100,"bu","14:48:50",117000
18000,-100,200,"bu","14:46:57",116900
18000,-100,100,"bu","14:39:39",116700
18000,-100,400,"sd","14:39:15",116600
18000,-100,500,"sd","14:38:44",116200
18100,0,500,"bu","14:30:14",115700
18100,0,1000,"bu","14:29:44",115200
18100,0,13500,"bu","14:29:35",114200
18000,-100,3000,"bu","14:29:32",100700
18000,-100,1000,"bu","14:29:18",97700
18000,-100,400,"bu","14:28:17",96700
18000,-100,200,"bu","14:28:07",96300
18000,-100,200,"bu","14:27:14",96100
18000,-100,2000,"bu","14:26:46",95900
17900,-200,200,"bu","14:24:30",93900
17900,-200,2000,"bu","14:23:32",93700
17700,-400,1000,"unknown","14:10:21",91700
17700,-400,3000,"bu","14:09:33",90700
17700,-400,100,"bu","14:07:45",87700
17700,-400,200,"bu","14:07:35",87600
17700,-400,900,"bu","14:07:34",87400
17700,-400,100,"bu","14:07:05",86500
17700,-400,1000,"bu","14:03:54",86400
17700,-400,700,"bu","14:03:01",85400
17700,-400,1000,"bu","14:02:23",84700
17600,-500,300,"sd","13:59:28",83700
17600,-500,500,"sd","13:57:27",83400
17600,-500,800,"bu","13:56:11",82900
17600,-500,1000,"bu","13:56:05",82100
17600,-500,500,"bu","13:55:55",81100
17600,-500,5000,"bu","13:55:54",80600
17600,-500,1000,"bu","13:55:44",75600
17600,-500,2000,"bu","13:55:27",74600
17600,-500,5000,"bu","13:55:14",72600
17600,-500,1000,"bu","13:54:23",67600
17500,-600,3300,"sd","13:48:42",66600
17500,-600,200,"sd","13:47:36",63300
17500,-600,200,"sd","13:43:52",63100
17500,-600,200,"sd","13:41:29",62900
17500,-600,1400,"sd","13:37:08",62700
17600,-500,400,"bu","13:30:55",61300
17600,-500,500,"bu","13:30:45",60900
17600,-500,300,"bu","13:29:27",60400
17600,-500,300,"bu","13:29:11",60100
17600,-500,3300,"bu","13:25:45",59800
17500,-600,2000,"sd","13:25:08",56500
17500,-600,4700,"bu","13:18:23",54500
17500,-600,200,"bu","13:16:44",49800
17500,-600,400,"bu","13:16:07",49600
17500,-600,300,"bu","13:15:54",49200
17500,-600,2600,"bu","13:15:48",48900
17500,-600,100,"bu","13:13:28",46300
17500,-600,1000,"bu","13:12:54",46200
17500,-600,2000,"bu","13:05:45",45200
17500,-600,2000,"bu","13:02:42",43200
17500,-600,1100,"bu","13:00:24",41200
17500,-600,5700,"sd","13:00:04",40100
17600,-500,100,"bu","13:00:03",34400
17600,-500,3000,"bu","11:22:56",34300
17600,-500,100,"bu","11:21:04",31300
17500,-600,500,"sd","11:14:12",31200
17500,-600,3000,"sd","11:13:46",30700
17500,-600,100,"unknown","11:11:04",27700
17500,-600,400,"bu","11:09:49",27600
17500,-600,2600,"bu","11:07:54",27200
17500,-600,2400,"sd","11:07:28",24600
17600,-500,600,"bu","11:06:31",22200
17600,-500,300,"sd","10:55:34",21600
17700,-400,2000,"bu","10:53:39",21300
17600,-500,500,"sd","10:52:36",19300
17600,-500,100,"sd","10:50:28",18800
17600,-500,6000,"sd","10:50:03",18700
17600,-500,500,"sd","10:45:18",12700
17600,-500,1800,"sd","10:43:39",12200
17700,-400,5000,"sd","10:32:10",10400
17700,-400,400,"sd","10:22:54",5400
17700,-400,300,"sd","10:22:38",5000
17900,-200,200,"bu","09:58:48",4700
17700,-400,2500,"sd","09:56:42",4500
17900,-200,300,"bu","09:53:39",2000
18000,-100,500,"bu","09:44:45",1700
17900,-200,100,"sd","09:43:39",1200
17900,-200,100,"sd","09:33:39",1100
18000,-100,1000,"bu","09:29:17",1000
