"price","change","match_qtty","side","time","total_vol"
22900,300,100,"unknown","14:45:00",6100
22400,-200,1000,"bu","11:07:08",6000
22400,-200,2000,"sd","10:58:43",5000
22400,-200,1000,"sd","10:54:48",3000
22500,-100,600,"unknown","10:27:01",2000
22500,-100,300,"sd","10:22:57",1400
22500,-100,400,"unknown","10:14:28",1100
22500,-100,100,"bu","10:12:42",700
22500,-100,300,"bu","10:04:49",600
22500,-100,100,"sd","10:03:22",300
22500,-100,100,"unknown","09:55:43",200
22600,0,100,"sd","09:46:34",100
