"price","change","match_qtty","side","time","total_vol"
15500,400,5400,"unknown","14:45:02",242800
15400,300,4100,"sd","14:29:46",237400
15500,400,100,"bu","14:28:19",233300
15400,300,1000,"sd","14:27:05",233200
15400,300,4000,"bu","14:26:47",232200
15400,300,100,"sd","14:24:40",228200
15400,300,4000,"sd","14:21:00",228100
15400,300,2000,"bu","14:20:41",224100
15400,300,100,"bu","14:20:40",222100
15400,300,300,"bu","14:19:30",222000
15400,300,700,"bu","14:18:40",221700
15400,300,500,"sd","14:17:30",221000
15500,400,200,"bu","14:15:15",220500
15400,300,200,"bu","14:14:59",220300
15400,300,5200,"bu","14:14:52",220100
15400,300,100,"bu","14:14:40",214900
15300,200,1500,"sd","14:13:19",214800
15300,200,100,"sd","14:12:39",213300
15400,300,100,"bu","14:11:08",213200
15400,300,500,"sd","14:09:56",213100
15400,300,4000,"sd","14:09:19",212600
15400,300,1000,"sd","14:08:55",208600
15500,400,100,"bu","14:08:32",207600
15400,300,5000,"sd","14:08:31",207500
15400,300,500,"sd","14:08:07",202500
15400,300,5600,"bu","14:07:10",202000
15400,300,4600,"bu","14:07:04",196400
15400,300,200,"bu","14:06:19",191800
15400,300,2000,"bu","14:04:45",191600
15400,300,100,"bu","14:02:15",189600
15400,300,500,"bu","14:01:46",189500
15300,200,5600,"bu","14:00:35",189000
15300,200,2000,"bu","14:00:16",183400
15200,100,100,"sd","14:00:05",181400
15200,100,100,"sd","13:59:13",181300
15200,100,2000,"sd","13:58:33",181200
15200,100,500,"sd","13:58:11",179200
15200,100,1500,"sd","13:57:32",178700
15200,100,1000,"sd","13:57:30",177200
15300,200,200,"bu","13:54:02",176200
15300,200,500,"bu","13:53:52",176000
15300,200,400,"bu","13:52:57",175500
15300,200,500,"bu","13:51:33",175100
15300,200,200,"bu","13:51:07",174600
15200,100,2200,"sd","13:44:00",174400
15300,200,5000,"bu","13:37:13",172200
15300,200,1100,"bu","13:35:13",167200
15300,200,600,"bu","13:35:00",166100
15300,200,1100,"bu","13:34:48",165500
15300,200,5000,"sd","13:34:29",164400
15400,300,100,"bu","13:33:19",159400
15300,200,100,"sd","13:32:50",159300
15300,200,900,"sd","13:32:45",159200
15300,200,2100,"bu","13:32:18",158300
15300,200,900,"bu","13:32:14",156200
15300,200,5000,"bu","13:32:04",155300
15300,200,2000,"bu","13:31:53",150300
15300,200,5000,"bu","13:28:25",148300
15300,200,3000,"bu","13:27:40",143300
15300,200,200,"bu","13:25:43",140300
15200,100,3000,"sd","13:24:22",140100
15200,100,1600,"bu","13:24:08",137100
15200,100,500,"bu","13:22:26",135500
15100,0,600,"sd","13:22:18",135000
15200,100,200,"bu","13:21:29",134400
15200,100,300,"unknown","13:16:59",134200
15200,100,200,"sd","13:16:29",133900
15200,100,700,"bu","13:15:28",133700
15200,100,1300,"sd","13:13:56",133000
15200,100,5000,"sd","13:13:50",131700
15200,100,2200,"bu","13:12:45",126700
15300,200,1000,"bu","13:06:25",124500
15300,200,500,"bu","13:05:49",123500
15300,200,50000,"bu","13:05:04",123000
15100,0,1000,"sd","13:02:54",73000
15200,100,200,"bu","11:25:43",72000
15100,0,100,"bu","11:17:48",71800
15100,0,300,"sd","11:16:16",71700
15100,0,800,"bu","11:06:34",71400
15100,0,300,"bu","11:01:17",70600
15100,0,200,"bu","11:00:56",70300
15100,0,2000,"bu","11:00:40",70100
15100,0,3000,"bu","11:00:09",68100
15100,0,100,"bu","10:59:44",65100
15100,0,3000,"bu","10:59:34",65000
15100,0,500,"bu","10:59:29",62000
15100,0,2000,"bu","10:59:24",61500
15100,0,300,"bu","10:59:12",59500
15100,0,200,"bu","10:58:56",59200
15100,0,2000,"bu","10:52:08",59000
15100,0,2200,"bu","10:51:44",57000
15100,0,100,"bu","10:50:11",54800
15100,0,3000,"bu","10:48:06",54700
15100,0,1000,"sd","10:46:34",51700
15100,0,2500,"sd","10:45:36",50700
15100,0,500,"bu","10:44:58",48200
15100,0,3000,"sd","10:43:17",47700
15100,0,3100,"unknown","10:36:36",44700
15100,0,1900,"bu","10:35:51",41600
15100,0,5000,"sd","10:34:39",39700
15100,0,100,"sd","10:34:16",34700
15100,0,600,"sd","10:32:00",34600
15100,0,5000,"sd","10:31:37",34000
15200,100,100,"bu","10:06:06",29000
15200,100,1400,"bu","10:03:29",28900
15200,100,1000,"bu","09:58:24",27500
15200,100,3200,"sd","09:55:54",26500
15200,100,2000,"sd","09:55:50",23300
15200,100,2000,"sd","09:55:00",21300
15200,100,3000,"sd","09:53:31",19300
15300,200,800,"unknown","09:37:57",16300
15300,200,300,"sd","09:37:16",15500
15300,200,1000,"sd","09:37:05",15200
15300,200,100,"sd","09:36:23",14200
15300,200,7000,"sd","09:36:03",14100
15300,200,200,"sd","09:33:15",7100
15300,200,3600,"sd","09:32:51",6900
15300,200,200,"sd","09:28:43",3300
15300,200,2000,"sd","09:28:07",3100
15300,200,100,"sd","09:28:03",1100
15300,200,100,"sd","09:27:54",1000
15300,200,100,"sd","09:27:46",900
15300,200,100,"sd","09:27:34",800
15300,200,100,"sd","09:27:21",700
15300,200,100,"sd","09:26:39",600
15300,200,100,"sd","09:26:31",500
15300,200,100,"sd","09:26:24",400
15300,200,100,"sd","09:26:22",300
15200,100,100,"sd","09:21:02",200
15200,100,100,"sd","09:19:54",100
