"price","change","match_qtty","side","time","total_vol"
14500,-900,100,"bu","14:19:28",10500
14500,-900,1100,"unknown","13:52:30",10400
14500,-900,100,"bu","11:23:00",9300
14500,-900,300,"bu","11:21:40",9200
14500,-900,1000,"bu","11:17:32",8900
14500,-900,100,"bu","11:12:29",7900
14500,-900,100,"bu","11:08:59",7800
14500,-900,100,"bu","11:08:39",7700
14500,-900,100,"bu","11:08:10",7600
14600,-800,200,"bu","11:06:48",7500
14600,-800,400,"bu","11:06:27",7300
14600,-800,100,"bu","11:06:00",6900
14600,-800,100,"bu","11:05:23",6800
14600,-800,100,"bu","11:03:51",6700
14700,-700,500,"bu","11:03:31",6600
14800,-600,500,"bu","10:59:11",6100
14800,-600,2800,"sd","10:47:00",5600
15000,-400,1100,"unknown","10:35:28",2800
15000,-400,400,"sd","10:29:34",1700
15000,-400,100,"unknown","10:00:28",1300
15000,-400,500,"bu","09:52:38",1200
15000,-400,700,"bu","09:49:44",700
