"price","change","match_qtty","side","time","total_vol"
23350,-550,110700,"unknown","14:45:00",1320100
23350,-550,1000,"sd","14:29:50",1209400
23350,-550,500,"sd","14:29:50",1208400
23350,-550,500,"sd","14:29:50",1207900
23350,-550,400,"sd","14:29:50",1207400
23350,-550,500,"sd","14:29:50",1207000
23350,-550,100,"sd","14:29:46",1206500
23350,-550,1400,"sd","14:29:38",1206400
23350,-550,700,"sd","14:29:38",1205000
23350,-550,2000,"sd","14:29:38",1204300
23350,-550,2500,"sd","14:29:38",1202300
23400,-500,2400,"sd","14:29:38",1199800
23400,-500,1000,"bu","14:29:37",1197400
23400,-500,100,"bu","14:29:37",1196400
23400,-500,1500,"bu","14:29:37",1196300
23400,-500,500,"bu","14:29:30",1194800
23400,-500,800,"bu","14:29:30",1194300
23350,-550,400,"sd","14:29:13",1193500
23400,-500,200,"bu","14:29:13",1193100
23350,-550,100,"bu","14:29:13",1192900
23350,-550,100,"sd","14:29:13",1192800
23350,-550,1000,"sd","14:29:05",1192700
23350,-550,500,"sd","14:29:05",1191700
23350,-550,1500,"sd","14:29:05",1191200
23350,-550,500,"bu","14:28:50",1189700
23350,-550,500,"bu","14:28:44",1189200
23300,-600,500,"sd","14:28:24",1188700
23300,-600,300,"sd","14:28:24",1188200
23350,-550,200,"sd","14:28:24",1187900
23350,-550,200,"sd","14:28:24",1187700
23350,-550,300,"bu","14:28:21",1187500
23350,-550,500,"bu","14:28:19",1187200
23350,-550,100,"bu","14:27:58",1186700
23400,-500,500,"bu","14:27:46",1186600
23400,-500,500,"bu","14:27:28",1186100
23300,-600,1600,"sd","14:27:22",1185600
23300,-600,2000,"sd","14:27:22",1184000
23350,-550,1000,"sd","14:27:22",1182000
23350,-550,400,"sd","14:27:22",1181000
23350,-550,500,"sd","14:27:10",1180600
23350,-550,300,"sd","14:27:04",1180100
23350,-550,100,"sd","14:27:00",1179800
23350,-550,700,"bu","14:26:48",1179700
23350,-550,200,"bu","14:26:43",1179000
23350,-550,300,"bu","14:26:43",1178800
23350,-550,2000,"sd","14:26:34",1178500
23350,-550,500,"sd","14:26:34",1176500
23350,-550,100,"sd","14:26:34",1176000
23350,-550,500,"sd","14:26:34",1175900
23400,-500,700,"bu","14:26:16",1175400
23400,-500,100,"bu","14:26:16",1174700
23400,-500,200,"bu","14:26:16",1174600
23400,-500,100,"bu","14:26:11",1174400
23400,-500,600,"bu","14:25:53",1174300
23400,-500,100,"bu","14:25:44",1173700
23400,-500,2000,"bu","14:24:50",1173600
23400,-500,100,"sd","14:24:21",1171600
23400,-500,700,"sd","14:24:21",1171500
23400,-500,200,"sd","14:24:14",1170800
23400,-500,100,"bu","14:24:10",1170600
23400,-500,100,"sd","14:24:02",1170500
23400,-500,1000,"bu","14:23:55",1170400
23400,-500,300,"bu","14:23:35",1169400
