"price","change","match_qtty","side","time","total_vol"
600,0,1900,"sd","14:59:53",574800
700,100,3000,"bu","14:58:52",572900
700,100,5000,"bu","14:58:30",569900
700,100,200,"bu","14:52:35",564900
700,100,100,"bu","14:47:01",564700
600,0,300,"sd","14:41:43",564600
600,0,6000,"sd","14:37:43",564300
700,100,100,"bu","14:32:31",558300
700,100,200,"bu","14:31:40",558200
600,0,7000,"sd","14:21:23",558000
700,100,100,"bu","14:18:59",551000
600,0,6000,"sd","14:18:34",550900
600,0,15000,"sd","14:18:24",544900
700,100,100,"bu","14:14:29",529900
700,100,100,"bu","14:11:28",529800
600,0,3600,"bu","14:10:52",529700
600,0,50000,"bu","14:10:27",526100
600,0,28500,"bu","14:10:21",476100
600,0,355300,"bu","14:09:29",447600
600,0,1000,"bu","14:03:40",92300
600,0,2000,"bu","14:00:15",91300
500,-100,500,"sd","13:55:31",89300
500,-100,200,"sd","13:53:33",88800
600,0,200,"bu","13:42:11",88600
500,-100,10000,"sd","13:38:28",88400
500,-100,2000,"sd","13:37:35",78400
600,0,800,"bu","13:26:58",76400
500,-100,10000,"sd","13:21:09",75600
600,0,4900,"bu","13:17:29",65600
600,0,2000,"bu","13:16:31",60700
600,0,100,"bu","13:12:25",58700
600,0,100,"bu","13:10:27",58600
500,-100,3300,"sd","13:03:10",58500
600,0,100,"bu","13:03:02",55200
600,0,2900,"bu","13:00:02",55100
500,-100,6000,"sd","11:02:07",52200
600,0,300,"bu","10:59:44",46200
600,0,400,"bu","10:53:14",45900
600,0,100,"bu","10:52:08",45500
600,0,100,"bu","10:44:14",45400
500,-100,600,"sd","10:41:12",45300
600,0,100,"bu","10:39:51",44700
500,-100,3000,"sd","10:30:13",44600
600,0,400,"bu","10:26:44",41600
600,0,3000,"bu","10:24:50",41200
600,0,100,"bu","10:22:24",38200
500,-100,600,"sd","10:19:13",38100
600,0,200,"bu","10:17:55",37500
500,-100,200,"sd","10:16:51",37300
600,0,400,"bu","10:16:32",37100
600,0,1000,"bu","10:13:17",36700
600,0,3000,"bu","10:09:30",35700
600,0,3000,"bu","10:08:36",32700
600,0,3000,"bu","10:08:01",29700
600,0,100,"bu","10:07:22",26700
600,0,200,"bu","10:04:06",26600
500,-100,2000,"sd","10:03:25",26400
500,-100,100,"sd","09:59:23",24400
600,0,1600,"bu","09:56:32",24300
600,0,2300,"bu","09:51:19",22700
600,0,100,"bu","09:49:38",20400
600,0,100,"bu","09:47:34",20300
600,0,1000,"bu","09:45:53",20200
600,0,1000,"bu","09:41:33",19200
600,0,1000,"bu","09:35:33",18200
600,0,2000,"bu","09:34:39",17200
600,0,200,"bu","09:33:07",15200
600,0,100,"bu","09:27:58",15000
600,0,100,"bu","09:24:00",14900
600,0,2000,"bu","09:20:51",14800
600,0,500,"bu","09:16:49",12800
600,0,100,"bu","09:11:15",12300
600,0,800,"bu","09:04:30",12200
600,0,1000,"bu","09:04:01",11400
600,0,400,"bu","09:02:15",10400
600,0,10000,"bu","09:00:06",10000
