"price","change","match_qtty","side","time","total_vol"
3850,50,120100,"bu","14:45:03",1396300
3840,40,500,"bu","14:29:46",1276200
3840,40,5000,"bu","14:29:20",1275700
3830,30,1000,"sd","14:29:08",1270700
3840,40,200,"bu","14:29:01",1269700
3830,30,1000,"sd","14:28:55",1269500
3840,40,600,"bu","14:28:54",1268500
3830,30,100,"sd","14:28:43",1267900
3830,30,2000,"sd","14:28:06",1267800
3830,30,100,"bu","14:27:53",1265800
3830,30,100,"bu","14:27:47",1265700
3830,30,1800,"bu","14:27:28",1265600
3830,30,200,"bu","14:27:28",1263800
3830,30,1000,"sd","14:26:33",1263600
3830,30,800,"sd","14:26:33",1262600
3830,30,500,"sd","14:25:30",1261800
3830,30,2000,"sd","14:25:21",1261300
3830,30,3200,"sd","14:24:53",1259300
3830,30,3000,"sd","14:24:42",1256100
3830,30,500,"bu","14:23:48",1253100
3830,30,1000,"sd","14:23:08",1252600
3830,30,10000,"bu","14:22:21",1251600
3840,40,100,"bu","14:20:53",1241600
3840,40,100,"bu","14:20:53",1241500
3840,40,400,"sd","14:20:10",1241400
3840,40,200,"sd","14:19:39",1241000
3840,40,600,"bu","14:19:20",1240800
3840,40,2300,"bu","14:19:20",1240200
3830,30,500,"bu","14:19:20",1237900
3830,30,1000,"bu","14:19:20",1237400
3800,0,800,"bu","14:19:08",1236400
3800,0,1800,"bu","14:19:08",1235600
3800,0,1000,"bu","14:18:56",1233800
3790,-10,100,"sd","14:17:40",1232800
3800,0,500,"sd","14:17:38",1232700
3800,0,100,"sd","14:17:38",1232200
3800,0,200,"sd","14:17:38",1232100
3800,0,2000,"sd","14:17:38",1231900
3800,0,1800,"sd","14:17:38",1229900
3800,0,300,"sd","14:17:38",1228100
3800,0,100,"sd","14:17:38",1227800
3800,0,200,"sd","14:17:38",1227700
3800,0,1000,"sd","14:17:38",1227500
3800,0,6000,"sd","14:17:38",1226500
3810,10,200,"bu","14:17:29",1220500
3810,10,1000,"bu","14:16:59",1220300
3810,10,600,"bu","14:16:27",1219300
3810,10,100,"sd","14:15:53",1218700
3810,10,200,"sd","14:15:53",1218600
3810,10,2600,"sd","14:15:53",1218400
3810,10,2000,"sd","14:15:20",1215800
3810,10,100,"sd","14:15:15",1213800
3810,10,1100,"sd","14:15:07",1213700
3810,10,100,"sd","14:14:56",1212600
3810,10,3000,"sd","14:14:46",1212500
3810,10,100,"bu","14:14:35",1209500
3820,20,4000,"sd","14:13:05",1209400
3840,40,500,"sd","14:12:29",1205400
3840,40,100,"sd","14:12:29",1204900
3840,40,2100,"sd","14:12:29",1204800
3840,40,100,"sd","14:12:24",1202700
3840,40,2800,"bu","14:12:05",1202600
3840,40,100,"bu","14:12:05",1199800
3840,40,4900,"bu","14:12:05",1199700
3840,40,100,"bu","14:11:26",1194800
3850,50,2100,"bu","14:10:50",1194700
3830,30,27500,"sd","14:10:47",1192600
3840,40,100,"sd","14:10:47",1165100
3840,40,2000,"sd","14:10:47",1165000
3840,40,400,"sd","14:10:47",1163000
3850,50,500,"sd","14:10:26",1162600
3850,50,4000,"sd","14:10:26",1162100
3850,50,3000,"bu","14:10:19",1158100
3850,50,11000,"bu","14:10:19",1155100
3850,50,2000,"bu","14:10:19",1144100
3850,50,500,"bu","14:10:14",1142100
3850,50,200,"bu","14:09:43",1141600
3850,50,800,"bu","14:09:43",1141400
3850,50,100,"bu","14:09:21",1140600
3850,50,100,"bu","14:09:20",1140500
3850,50,1000,"bu","14:09:20",1140400
3850,50,200,"bu","14:09:18",1139400
3830,30,400,"sd","14:09:14",1139200
3830,30,6600,"sd","14:09:14",1138800
3850,50,800,"bu","14:09:02",1132200
3850,50,1500,"bu","14:09:02",1131400
3850,50,2300,"bu","14:09:02",1129900
3850,50,500,"bu","14:09:02",1127600
3850,50,400,"bu","14:09:02",1127100
3850,50,20000,"bu","14:09:02",1126700
3850,50,200,"bu","14:09:02",1106700
3840,40,1300,"bu","14:09:02",1106500
3840,40,2000,"bu","14:09:02",1105200
3840,40,100,"bu","14:09:02",1103200
3840,40,700,"bu","14:09:02",1103100
3830,30,500,"bu","14:08:58",1102400
3830,30,2000,"bu","14:08:58",1101900
3830,30,900,"bu","14:08:58",1099900
3830,30,5000,"bu","14:08:37",1099000
3830,30,100,"bu","14:08:30",1094000
3830,30,100,"bu","14:08:30",1093900
3810,10,3000,"bu","14:08:17",1093800
3810,10,300,"bu","14:08:12",1090800
3800,0,200,"bu","14:07:35",1090500
3800,0,1100,"bu","14:07:35",1090300
3800,0,1000,"bu","14:07:33",1089200
3800,0,2000,"bu","14:07:25",1088200
3800,0,900,"bu","14:07:21",1086200
3800,0,1000,"bu","14:07:21",1085300
3800,0,2000,"bu","14:07:21",1084300
3800,0,56000,"bu","14:07:21",1082300
3800,0,3000,"bu","14:07:21",1026300
3800,0,200,"bu","14:07:21",1023300
3800,0,23000,"bu","14:07:21",1023100
3800,0,2000,"bu","14:07:21",1000100
3800,0,1000,"bu","14:07:21",998100
3800,0,1000,"bu","14:07:21",997100
3800,0,8000,"bu","14:07:21",996100
3800,0,500,"bu","14:07:21",988100
3800,0,1300,"bu","14:07:21",987600
3800,0,100,"bu","14:07:21",986300
3800,0,3000,"bu","14:07:17",986200
3800,0,100,"bu","14:07:08",983200
3800,0,2000,"bu","14:07:00",983100
3800,0,100,"bu","14:06:42",981100
3800,0,100,"bu","14:06:41",981000
3800,0,1000,"bu","14:05:57",980900
3800,0,200,"bu","14:05:00",979900
3770,-30,1500,"sd","14:03:23",979700
3750,-50,600,"sd","14:00:37",978200
3750,-50,200,"sd","14:00:37",977600
3750,-50,3500,"sd","14:00:37",977400
3750,-50,3000,"sd","14:00:37",973900
3750,-50,10000,"sd","14:00:37",970900
3750,-50,1000,"sd","14:00:37",960900
3750,-50,1000,"sd","14:00:37",959900
3750,-50,600,"sd","14:00:37",958900
3760,-40,100,"sd","14:00:37",958300
3750,-50,2700,"sd","14:00:01",958200
3750,-50,5500,"sd","14:00:01",955500
3750,-50,200,"sd","14:00:01",950000
3750,-50,500,"sd","14:00:01",949800
3750,-50,4500,"sd","14:00:01",949300
3750,-50,400,"sd","14:00:01",944800
3760,-40,1100,"sd","14:00:01",944400
3760,-40,100,"sd","14:00:01",943300
3800,0,100,"bu","13:58:54",943200
3790,-10,3000,"bu","13:58:32",943100
3790,-10,2900,"bu","13:58:21",940100
3750,-50,100,"sd","13:58:05",937200
3750,-50,200,"sd","13:57:52",937100
3790,-10,100,"bu","13:57:52",936900
3790,-10,2000,"bu","13:56:57",936800
3790,-10,5000,"bu","13:56:57",934800
3750,-50,100,"sd","13:56:21",929800
3780,-20,5000,"bu","13:56:21",929700
3790,-10,1000,"bu","13:55:01",924700
3790,-10,400,"bu","13:55:01",923700
3790,-10,1600,"bu","13:55:01",923300
3790,-10,5000,"bu","13:55:01",921700
3790,-10,200,"bu","13:52:57",916700
3750,-50,200,"sd","13:52:21",916500
3750,-50,1200,"sd","13:52:08",916300
3750,-50,500,"sd","13:51:46",915100
3750,-50,7800,"bu","13:51:43",914600
3750,-50,300,"sd","13:51:28",906800
3750,-50,1900,"sd","13:51:28",906500
3750,-50,3100,"bu","13:50:31",904600
3780,-20,900,"sd","13:50:09",901500
3780,-20,3000,"bu","13:50:06",900600
3780,-20,1000,"bu","13:50:06",897600
3780,-20,100,"bu","13:50:06",896600
3740,-60,500,"sd","13:49:53",896500
3740,-60,100,"sd","13:49:53",896000
3740,-60,2000,"sd","13:49:53",895900
3750,-50,500,"sd","13:49:53",893900
3780,-20,3900,"bu","13:49:21",893400
3780,-20,600,"bu","13:49:21",889500
3770,-30,5000,"bu","13:49:21",888900
3770,-30,2000,"bu","13:49:21",883900
3760,-40,3000,"bu","13:49:21",881900
3760,-40,100,"bu","13:49:21",878900
3750,-50,400,"bu","13:49:21",878800
3750,-50,10000,"bu","13:48:42",878400
3750,-50,1000,"bu","13:48:42",868400
3750,-50,2500,"bu","13:48:42",867400
3750,-50,9800,"bu","13:48:42",864900
3750,-50,1700,"bu","13:48:42",855100
3740,-60,100,"sd","13:47:40",853400
3750,-50,2000,"sd","13:47:02",853300
3750,-50,300,"sd","13:47:02",851300
3750,-50,9900,"sd","13:46:27",851000
3750,-50,1700,"sd","13:46:27",841100
3750,-50,1000,"sd","13:46:27",839400
3750,-50,1000,"sd","13:46:27",838400
3750,-50,200,"sd","13:46:27",837400
3750,-50,200,"sd","13:46:27",837200
3750,-50,100,"sd","13:46:27",837000
3750,-50,200,"sd","13:46:27",836900
3750,-50,2000,"sd","13:46:27",836700
3750,-50,100,"sd","13:46:27",834700
3750,-50,100,"sd","13:46:27",834600
3750,-50,33500,"sd","13:46:27",834500
3750,-50,2000,"sd","13:46:25",801000
3750,-50,500,"sd","13:46:25",799000
3750,-50,2500,"sd","13:46:25",798500
3750,-50,10000,"sd","13:46:15",796000
3750,-50,1900,"sd","13:46:14",786000
3750,-50,1000,"sd","13:46:14",784100
3750,-50,300,"sd","13:46:14",783100
3750,-50,200,"sd","13:46:14",782800
3750,-50,100,"sd","13:46:14",782600
3750,-50,900,"sd","13:46:14",782500
3750,-50,200,"sd","13:46:14",781600
3750,-50,5400,"sd","13:46:14",781400
3750,-50,20000,"sd","13:46:08",776000
3750,-50,21100,"sd","13:46:05",756000
3750,-50,10000,"sd","13:45:49",734900
3750,-50,2700,"sd","13:45:46",724900
3760,-40,200,"bu","13:45:40",722200
3750,-50,1500,"sd","13:45:40",722000
3750,-50,7100,"sd","13:44:35",720500
3750,-50,3000,"sd","13:44:34",713400
3750,-50,70000,"sd","13:44:11",710400
3760,-40,100,"bu","13:44:09",640400
3760,-40,200,"sd","13:44:09",640300
3760,-40,100,"sd","13:44:09",640100
3760,-40,2500,"sd","13:44:09",640000
3770,-30,2000,"bu","13:44:07",637500
3760,-40,7500,"sd","13:43:59",635500
3760,-40,100,"sd","13:43:59",628000
3760,-40,1000,"sd","13:43:59",627900
3760,-40,200,"sd","13:43:59",626900
3760,-40,1100,"sd","13:43:59",626700
3760,-40,100,"sd","13:43:59",625600
3760,-40,100,"sd","13:43:59",625500
3760,-40,1900,"sd","13:43:59",625400
3760,-40,2100,"sd","13:43:48",623500
3770,-30,100,"bu","13:42:15",621400
3770,-30,600,"sd","13:42:13",621300
3770,-30,1000,"sd","13:42:13",620700
3770,-30,100,"sd","13:42:13",619700
3780,-20,2400,"bu","13:39:36",619600
3780,-20,300,"bu","13:39:26",617200
3780,-20,600,"sd","13:35:51",616900
3780,-20,100,"sd","13:35:51",616300
3780,-20,100,"sd","13:35:51",616200
3780,-20,900,"sd","13:35:51",616100
3790,-10,200,"bu","13:34:59",615200
3790,-10,200,"bu","13:34:23",615000
3790,-10,100,"bu","13:34:12",614800
3790,-10,300,"sd","13:31:54",614700
3790,-10,1000,"sd","13:31:54",614400
3790,-10,300,"bu","13:31:29",613400
3790,-10,1000,"bu","13:31:29",613100
3790,-10,1700,"bu","13:31:29",612100
3790,-10,100,"bu","13:31:26",610400
3790,-10,1000,"bu","13:31:13",610300
3780,-20,100,"sd","13:30:55",609300
3780,-20,100,"sd","13:30:55",609200
3780,-20,100,"sd","13:29:10",609100
3780,-20,100,"sd","13:28:46",609000
3790,-10,1000,"sd","13:28:31",608900
3790,-10,200,"sd","13:28:31",607900
3790,-10,100,"sd","13:28:14",607700
3790,-10,100,"sd","13:27:24",607600
3790,-10,600,"bu","13:27:07",607500
3790,-10,100,"bu","13:26:41",606900
3790,-10,100,"sd","13:25:21",606800
3800,0,100,"bu","13:23:51",606700
3800,0,400,"bu","13:23:48",606600
3800,0,1000,"bu","13:22:33",606200
3800,0,300,"bu","13:22:25",605200
3790,-10,200,"bu","13:22:25",604900
3800,0,200,"bu","13:20:33",604700
3800,0,300,"bu","13:20:33",604500
