"price","change","match_qtty","side","time","total_vol"
5300,150,3000,"bu","14:45:02",20000
5190,40,500,"bu","14:17:55",17000
5200,50,1000,"bu","14:15:44",16500
5040,-110,300,"bu","13:59:17",15500
5040,-110,100,"bu","13:59:16",15200
5040,-110,200,"sd","13:58:35",15100
5050,-100,400,"sd","13:58:35",14900
5050,-100,200,"sd","13:16:11",14500
5100,-50,100,"sd","13:16:11",14300
5100,-50,100,"sd","13:16:11",14200
5100,-50,100,"sd","10:55:36",14100
5100,-50,2400,"sd","10:55:36",14000
5100,-50,1800,"sd","10:55:36",11600
5110,-40,200,"sd","10:55:13",9800
5120,-30,2400,"sd","10:53:48",9600
5130,-20,1000,"sd","10:52:55",7200
5150,0,1000,"sd","10:49:48",6200
5150,0,2000,"sd","10:49:48",5200
5150,0,600,"sd","10:49:48",3200
5150,0,100,"sd","10:49:48",2600
5200,50,500,"sd","10:49:23",2500
5300,150,1000,"bu","10:22:37",2000
5300,150,1000,"sd","10:13:31",1000
